,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Louisiana Tech,12,139,199,40,378,31.5
1,2,Marshall,12,117,214,22,353,29.4
2,3,Arizona,13,168,170,43,381,29.3
3,4,Nevada,13,189,162,25,376,28.9
4,5,Baylor,13,169,176,23,368,28.3
5,6,Ball State,13,151,181,31,363,27.9
6,7,Texas A&M,13,149,180,28,357,27.5
7,8,Oregon,13,204,136,16,356,27.4
8,9,Oklahoma,13,115,224,15,354,27.2
9,10,Texas Tech,13,114,208,27,349,26.8
10,11,Oklahoma State,13,149,177,20,346,26.6
11,12,Clemson,13,148,179,16,343,26.4
12,13,Troy,12,112,170,25,307,25.6
13,14,West Virginia,13,119,188,23,330,25.4
14,15,Arizona State,13,146,160,23,329,25.3
15,16,Syracuse,13,133,170,25,328,25.2
16,17,Arkansas State,13,159,136,23,318,24.5
17,18,North Carolina,12,117,159,16,292,24.3
18,18,Houston,12,92,175,25,292,24.3
19,20,Tennessee,12,94,178,17,289,24.1
20,21,Akron,12,80,180,27,287,23.9
21,22,Oregon State,13,101,180,29,310,23.8
22,22,Louisiana-Monroe,13,94,183,32,309,23.8
23,24,Western Michigan,12,101,161,22,284,23.7
24,25,UCLA,14,130,170,31,331,23.6
25,25,Nebraska,14,180,121,29,330,23.6
26,25,Army,12,236,37,10,283,23.6
27,28,Rice,13,147,140,19,306,23.5
28,28,Fresno State,13,111,172,22,305,23.5
29,30,Northern Illinois,14,163,144,19,326,23.3
30,31,Ohio,13,134,142,26,302,23.2
31,32,Tulsa,14,171,126,26,323,23.1
32,32,BYU,13,122,158,20,300,23.1
33,34,Florida State,14,145,163,14,322,23.0
34,35,Louisville,13,106,173,18,297,22.8
35,36,Indiana,12,84,159,29,272,22.7
36,37,Toledo,13,133,141,20,294,22.6
37,37,San Jose State,13,79,200,15,294,22.6
38,39,UAB,12,93,150,27,270,22.5
39,39,Penn State,12,91,156,23,270,22.5
40,41,Mississippi,13,138,134,19,291,22.4
41,42,Air Force,13,224,50,16,290,22.3
42,43,Northwestern,13,161,111,17,289,22.2
43,43,Duke,13,92,167,29,288,22.2
44,45,East Carolina,13,104,159,22,285,21.9
45,46,Kansas State,13,139,126,18,283,21.8
46,46,North Carolina State,13,96,174,13,283,21.8
47,48,Alabama,14,160,131,12,303,21.6
48,48,Georgia Tech,14,229,59,14,302,21.6
49,48,Notre Dame,13,127,137,17,281,21.6
50,48,Texas,13,120,144,17,281,21.6
51,48,USC,13,92,150,39,281,21.6
