,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Alabama,14,20,5,18,0,0,153,10.9
1,2,Notre Dame,13,16,18,16,0,0,166,12.8
2,3,BYU,13,22,10,20,0,0,182,14.0
3,4,Rutgers,13,20,15,17,1,0,184,14.2
4,5,Florida,13,21,14,18,1,0,188,14.5
5,6,Florida State,14,23,15,21,0,1,206,14.7
6,7,Utah State,13,21,19,17,0,0,200,15.4
7,8,Boise State,13,27,6,23,1,0,205,15.8
8,9,Michigan State,13,20,24,20,0,0,212,16.3
9,10,Bowling Green,13,25,14,22,1,1,218,16.8
10,11,Stanford,14,28,15,26,1,0,241,17.2
11,12,LSU,13,29,10,24,0,0,228,17.5
12,13,South Carolina,13,27,17,24,0,0,237,18.2
13,14,Cincinnati,13,26,19,21,3,0,240,18.5
14,15,Vanderbilt,13,27,18,23,2,0,243,18.7
15,16,Penn State,12,28,11,26,0,1,229,19.1
16,16,Wisconsin,14,33,13,29,1,0,268,19.1
17,18,Georgia,14,34,13,30,1,0,275,19.6
18,19,Connecticut,12,27,17,25,0,0,238,19.8
19,19,Michigan,13,28,21,25,1,0,258,19.8
20,21,Northern Illinois,14,34,15,27,1,0,278,19.9
21,22,Oregon State,13,34,10,32,0,1,268,20.6
22,23,Pittsburgh,13,33,15,29,1,0,274,21.1
23,24,San Jose State,13,35,12,31,0,0,277,21.3
24,25,Oregon,13,35,13,32,0,0,281,21.6
25,26,Texas A&M,13,36,12,29,1,0,283,21.8
26,27,UCF,14,40,11,36,0,0,309,22.1
27,28,Kansas State,13,34,16,30,2,1,288,22.2
28,29,Northwestern,13,35,15,28,4,1,293,22.5
29,30,TCU,13,35,17,31,1,0,294,22.6
30,31,Ohio State,12,33,14,26,3,1,274,22.8
31,31,Virginia Tech,13,35,17,34,1,0,297,22.8
32,33,Iowa,12,32,18,29,0,0,275,22.9
33,34,Mississippi State,13,37,15,36,0,0,303,23.3
34,35,Tulsa,14,44,9,36,2,0,331,23.6
35,36,Louisville,13,40,10,37,1,0,309,23.8
36,36,Fresno State,13,40,9,35,3,1,310,23.8
37,38,Iowa State,13,37,17,32,2,1,311,23.9
38,39,Washington,13,38,17,31,2,0,314,24.2
39,40,USC,13,39,16,34,0,0,316,24.3
40,40,Arizona State,13,41,10,36,2,0,316,24.3
41,42,San Diego State,13,43,7,36,1,0,317,24.4
42,43,Arkansas State,13,39,15,33,2,1,318,24.5
43,43,Kent State,14,42,16,39,1,1,343,24.5
44,45,Minnesota,13,40,14,39,0,0,321,24.7
45,46,Syracuse,13,39,17,37,0,0,322,24.8
46,46,Ohio,13,41,11,41,0,1,322,24.8
47,46,Clemson,13,39,17,38,0,0,323,24.8
48,49,Utah,12,40,8,37,0,0,301,25.1
49,50,Western Kentucky,13,41,15,38,1,0,331,25.5
50,50,Oklahoma,13,41,16,33,2,0,331,25.5
51,52,North Carolina State,13,41,14,33,3,3,333,25.6
52,53,North Carolina,12,38,15,33,1,0,308,25.7
53,53,Navy,13,41,17,37,0,0,334,25.7
54,53,SMU,13,43,12,38,1,0,334,25.7
55,56,Maryland,12,40,16,38,0,0,326,27.2
56,57,South Florida,12,39,20,33,1,0,329,27.4
57,58,Mississippi,13,44,17,40,1,1,359,27.6
58,58,Nebraska,14,49,13,47,1,2,386,27.6
59,58,UCLA,14,50,13,43,2,0,386,27.6
60,61,North Texas,12,44,10,40,0,0,334,27.8
61,62,Middle Tennessee,12,43,12,40,0,1,336,28.0
62,63,Louisiana-Lafayette,13,42,24,41,0,0,365,28.1
63,64,Oklahoma State,13,46,15,42,2,0,367,28.2
64,65,Auburn,12,44,10,44,0,1,340,28.3
65,65,Georgia Tech,14,51,12,44,3,2,396,28.3
66,67,Missouri,12,45,9,40,1,1,341,28.4
67,67,Toledo,13,46,16,39,2,1,369,28.4
68,69,Buffalo,12,43,15,39,0,0,342,28.5
69,70,Virginia,12,44,14,39,0,1,347,28.9
70,71,Air Force,13,48,14,41,3,0,377,29.0
71,72,Louisiana-Monroe,13,50,11,46,0,0,379,29.2
72,72,Texas,13,46,20,40,1,1,380,29.2
73,74,South Alabama,13,46,20,45,1,0,383,29.5
74,75,Western Michigan,12,43,19,39,1,0,356,29.7
75,75,Boston College,12,43,19,41,0,0,356,29.7
76,77,UTEP,12,46,12,43,1,0,357,29.8
77,78,Rice,13,53,8,44,2,0,390,30.0
78,79,New Mexico,13,54,5,50,2,0,393,30.2
79,80,Memphis,12,44,19,42,0,0,363,30.3
80,80,Colorado State,12,46,13,44,1,1,363,30.3
81,82,Arkansas,12,47,13,44,0,0,365,30.4
82,83,Miami (Florida),12,44,19,39,2,1,366,30.5
83,83,Troy,12,46,16,38,2,0,366,30.5
84,85,Florida Atlantic,12,47,14,46,0,0,370,30.8
85,86,Kentucky,12,48,13,41,2,0,372,31.0
86,87,Temple,11,44,11,40,2,1,343,31.2
87,87,Purdue,13,51,17,47,1,0,406,31.2
88,89,East Carolina,13,52,16,49,1,0,411,31.6
89,90,Florida International,12,49,12,44,2,1,380,31.7
90,91,Wake Forest,12,48,16,46,0,0,382,31.8
91,91,Texas Tech,13,51,19,50,0,0,413,31.8
92,93,Ball State,13,53,15,43,4,1,416,32.0
93,94,Illinois,12,50,11,50,0,1,385,32.1
94,95,Central Michigan,13,54,15,52,0,0,421,32.4
95,96,UTSA,10,42,11,41,0,0,326,32.6
96,96,UNLV,13,54,15,51,1,1,424,32.6
97,98,California,12,53,9,50,1,0,397,33.1
98,99,Wyoming,12,53,11,50,0,0,401,33.4
99,100,Texas State,12,53,11,51,0,0,402,33.5
100,101,Washington State,12,52,13,47,2,1,404,33.7
101,102,Nevada,13,57,14,49,3,0,439,33.8
102,103,Miami (Ohio),12,55,11,52,1,1,419,34.9
103,104,Indiana,12,55,13,54,0,0,423,35.3
104,104,Army,12,56,11,55,0,0,424,35.3
105,104,Arizona,13,60,13,56,2,0,459,35.3
106,107,Akron,12,53,19,49,2,0,428,35.7
107,107,Tennessee,12,53,20,46,2,0,428,35.7
108,107,Hawai'i,12,60,4,54,1,0,428,35.7
109,110,Houston,12,55,16,52,1,0,432,36.0
110,110,Duke,13,60,17,57,0,0,468,36.0
111,112,Kansas,12,54,19,52,0,0,433,36.1
112,113,Baylor,13,65,10,64,0,0,484,37.2
113,114,UAB,12,57,15,53,3,2,450,37.5
114,115,Eastern Michigan,12,57,18,55,0,0,451,37.6
115,116,Southern Mississippi,12,60,13,55,0,0,454,37.8
116,117,West Virginia,13,64,14,61,1,3,495,38.1
117,118,Tulane,12,59,17,56,0,0,461,38.4
118,119,Louisiana Tech,12,61,12,56,2,0,462,38.5
119,120,New Mexico State,12,61,17,56,0,0,473,39.4
120,121,Massachusetts,12,65,9,63,1,0,482,40.2
121,122,Idaho,12,69,9,66,1,0,509,42.4
122,123,Marshall,12,69,13,62,1,0,517,43.1
123,124,Colorado,12,73,15,67,1,0,552,46.0
