,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Missouri,12,21,1.75
1,1,Boise State,13,21,1.62
2,3,Utah,12,20,1.67
3,3,Georgia,14,20,1.43
4,5,San Jose State,13,19,1.46
5,5,Fresno State,13,19,1.46
6,5,SMU,13,19,1.46
7,5,UCLA,14,19,1.36
8,9,Oregon,13,18,1.38
9,9,Arizona,13,18,1.38
10,11,South Carolina,13,17,1.31
11,11,Nevada,13,17,1.31
12,11,Rice,13,17,1.31
13,14,Middle Tennessee,12,16,1.33
14,14,Louisiana Tech,12,16,1.33
15,14,New Mexico,13,16,1.23
16,14,UCF,14,16,1.14
17,14,Northern Illinois,14,16,1.14
18,19,Wyoming,12,15,1.25
19,19,Boston College,12,15,1.25
20,19,Troy,12,15,1.25
21,19,Houston,12,15,1.25
22,19,Washington,13,15,1.15
23,19,Kansas State,13,15,1.15
24,19,Navy,13,15,1.15
25,19,Alabama,14,15,1.07
26,19,Stanford,14,15,1.07
27,28,UTSA,10,14,1.40
28,28,Memphis,12,14,1.17
29,28,Washington State,12,14,1.17
30,28,California,12,14,1.17
31,28,Wake Forest,12,14,1.17
32,28,Colorado State,12,14,1.17
33,28,Maryland,12,14,1.17
34,28,Cincinnati,13,14,1.08
35,28,South Alabama,13,14,1.08
36,28,Western Kentucky,13,14,1.08
37,28,Duke,13,14,1.08
38,28,BYU,13,14,1.08
39,28,Tulsa,14,14,1.00
40,41,Miami (Florida),12,13,1.08
41,41,Western Michigan,12,13,1.08
42,41,Eastern Michigan,12,13,1.08
43,41,Colorado,12,13,1.08
44,41,Illinois,12,13,1.08
45,41,West Virginia,13,13,1.00
46,41,Oklahoma State,13,13,1.00
47,41,Arizona State,13,13,1.00
48,41,Florida,13,13,1.00
49,41,UNLV,13,13,1.00
50,41,Northwestern,13,13,1.00
51,41,Vanderbilt,13,13,1.00
52,41,TCU,13,13,1.00
53,41,Purdue,13,13,1.00
54,41,Mississippi,13,13,1.00
55,41,Iowa State,13,13,1.00
56,41,Baylor,13,13,1.00
57,41,Louisiana-Lafayette,13,13,1.00
58,41,Nebraska,14,13,0.93
59,41,Kent State,14,13,0.93
60,61,Massachusetts,12,12,1.00
61,61,Idaho,12,12,1.00
62,61,Michigan,13,12,0.92
63,61,Arkansas State,13,12,0.92
64,61,Louisville,13,12,0.92
65,61,Oregon State,13,12,0.92
66,61,Ohio,13,12,0.92
67,61,Rutgers,13,12,0.92
68,61,Virginia Tech,13,12,0.92
69,61,East Carolina,13,12,0.92
70,61,Syracuse,13,12,0.92
71,61,Texas,13,12,0.92
72,61,Toledo,13,12,0.92
73,61,Mississippi State,13,12,0.92
74,61,Georgia Tech,14,12,0.86
75,76,Penn State,12,11,0.92
76,76,Ohio State,12,11,0.92
77,76,Florida International,12,11,0.92
78,76,North Carolina,12,11,0.92
79,76,Iowa,12,11,0.92
80,76,Southern Mississippi,12,11,0.92
81,76,Marshall,12,11,0.92
82,76,Hawai'i,12,11,0.92
83,76,San Diego State,13,11,0.85
84,76,Bowling Green,13,11,0.85
85,76,Air Force,13,11,0.85
86,76,Clemson,13,11,0.85
87,76,Wisconsin,14,11,0.79
88,89,UAB,12,10,0.83
89,89,South Florida,12,10,0.83
90,89,Virginia,12,10,0.83
91,89,Kentucky,12,10,0.83
92,89,USC,13,10,0.77
93,89,LSU,13,10,0.77
94,89,Texas A&M,13,10,0.77
95,89,Minnesota,13,10,0.77
96,97,Temple,11,9,0.82
97,97,Auburn,12,9,0.75
98,97,New Mexico State,12,9,0.75
99,97,Connecticut,12,9,0.75
100,97,Michigan State,13,9,0.69
101,97,Louisiana-Monroe,13,9,0.69
102,97,North Carolina State,13,9,0.69
103,97,Florida State,14,9,0.64
104,105,Arkansas,12,8,0.67
105,105,Akron,12,8,0.67
106,105,Florida Atlantic,12,8,0.67
107,105,Kansas,12,8,0.67
108,105,Tennessee,12,8,0.67
109,105,Tulane,12,8,0.67
110,105,UTEP,12,8,0.67
111,105,Notre Dame,13,8,0.62
112,105,Pittsburgh,13,8,0.62
113,114,North Texas,12,7,0.58
114,114,Texas State,12,7,0.58
115,116,Buffalo,12,6,0.50
116,116,Army,12,6,0.50
117,116,Indiana,12,6,0.50
118,116,Utah State,13,6,0.46
119,116,Ball State,13,6,0.46
120,121,Miami (Ohio),12,5,0.42
121,121,Oklahoma,13,5,0.38
122,123,Central Michigan,13,4,0.31
123,124,Texas Tech,13,3,0.23
