,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Hawai'i,12,16,8,4,3,3,3,3
1,2,Texas State,12,15,6,3,2,0,0,0
2,3,Kansas State,13,13,7,4,3,2,2,2
3,3,Middle Tennessee,12,13,6,4,3,2,2,1
4,5,Oklahoma,13,12,4,1,1,1,1,1
5,5,Purdue,13,12,6,3,1,1,1,1
6,7,Miami (Florida),12,11,6,5,4,4,3,2
7,7,Western Kentucky,13,11,7,3,0,0,0,0
8,9,Georgia Tech,14,10,3,3,2,2,2,2
9,9,North Carolina State,13,10,7,4,3,3,3,2
10,9,Oklahoma State,13,10,6,3,3,2,2,1
11,9,Rice,13,10,6,2,1,1,1,1
12,9,Southern Mississippi,12,10,7,2,1,1,1,1
13,9,UCF,14,10,5,3,3,3,3,3
14,15,Air Force,13,9,1,0,0,0,0,0
15,15,Ball State,13,9,2,0,0,0,0,0
16,15,Florida International,12,9,3,2,2,1,1,1
17,15,Florida State,14,9,3,2,2,1,1,1
18,15,Kentucky,12,9,2,2,0,0,0,0
19,15,New Mexico,13,9,2,2,2,2,2,2
20,15,North Carolina,12,9,3,1,1,1,1,1
21,15,Pittsburgh,13,9,1,1,1,0,0,0
22,15,Stanford,14,9,1,1,1,0,0,0
23,15,Temple,11,9,4,2,2,2,1,1
24,15,USC,13,9,5,3,3,3,2,1
25,15,Virginia Tech,13,9,4,3,2,2,1,1
26,27,BYU,13,8,4,0,0,0,0,0
27,27,Central Michigan,13,8,1,1,1,0,0,0
28,27,Cincinnati,13,8,4,1,0,0,0,0
29,27,Colorado,12,8,4,2,1,1,1,1
30,27,Kent State,14,8,6,4,3,3,3,3
31,27,LSU,13,8,5,1,1,1,1,0
32,27,Louisiana-Monroe,13,8,1,1,0,0,0,0
33,27,Nebraska,14,8,2,1,1,1,1,0
34,27,New Mexico State,12,8,2,1,1,1,1,1
35,27,San Jose State,13,8,4,3,3,2,2,2
36,27,TCU,13,8,3,3,1,0,0,0
37,27,Texas,13,8,5,3,3,3,1,1
38,27,Tulsa,14,8,4,3,3,1,1,1
39,27,UCLA,14,8,4,2,0,0,0,0
40,27,Utah,12,8,4,4,4,4,4,4
41,27,Utah State,13,8,1,1,0,0,0,0
42,27,West Virginia,13,8,5,2,2,1,1,1
43,44,Boise State,13,7,4,1,0,0,0,0
44,44,Buffalo,12,7,2,1,0,0,0,0
45,44,California,12,7,2,1,0,0,0,0
46,44,Eastern Michigan,12,7,2,0,0,0,0,0
47,44,Fresno State,13,7,1,0,0,0,0,0
48,44,Maryland,12,7,4,2,2,2,2,2
49,44,Michigan,13,7,0,0,0,0,0,0
50,44,Mississippi,13,7,3,1,1,1,1,1
51,44,Mississippi State,13,7,3,1,1,1,1,1
52,44,San Diego State,13,7,4,3,2,2,2,2
53,44,Tennessee,12,7,3,2,2,1,1,1
54,44,Toledo,13,7,5,4,3,3,3,1
55,44,Washington,13,7,0,0,0,0,0,0
56,44,Western Michigan,12,7,3,0,0,0,0,0
57,58,Georgia,14,6,3,1,1,1,1,1
58,58,Houston,12,6,2,2,1,0,0,0
59,58,Iowa,12,6,2,1,1,1,1,1
60,58,Louisiana Tech,12,6,4,3,3,2,2,2
61,58,Massachusetts,12,6,1,1,1,0,0,0
62,58,Memphis,12,6,4,3,1,1,1,1
63,58,Missouri,12,6,4,3,2,2,2,1
64,58,Navy,13,6,1,1,1,1,1,1
65,58,Northern Illinois,14,6,2,1,1,1,1,1
66,58,Oregon,13,6,2,2,2,1,1,1
67,58,SMU,13,6,4,0,0,0,0,0
68,58,Vanderbilt,13,6,3,2,0,0,0,0
69,70,Akron,12,5,1,0,0,0,0,0
70,70,Arkansas State,13,5,0,0,0,0,0,0
71,70,Army,12,5,0,0,0,0,0,0
72,70,Auburn,12,5,3,1,1,1,1,1
73,70,Baylor,13,5,2,1,1,1,0,0
74,70,Colorado State,12,5,2,1,1,1,0,0
75,70,Florida,13,5,2,2,2,1,1,1
76,70,Illinois,12,5,3,0,0,0,0,0
77,70,Kansas,12,5,1,0,0,0,0,0
78,70,Michigan State,13,5,0,0,0,0,0,0
79,70,Nevada,13,5,1,0,0,0,0,0
80,70,Ohio,13,5,2,1,1,1,1,1
81,70,Oregon State,13,5,0,0,0,0,0,0
82,70,Rutgers,13,5,2,2,0,0,0,0
83,70,South Carolina,13,5,1,1,0,0,0,0
84,70,Texas A&M,13,5,2,2,1,1,0,0
85,70,Texas Tech,13,5,4,2,2,2,2,2
86,70,UAB,12,5,2,1,0,0,0,0
87,70,UNLV,13,5,2,0,0,0,0,0
88,70,UTEP,12,5,4,2,2,2,2,2
89,70,Virginia,12,5,3,2,1,1,0,0
90,91,Arizona State,13,4,2,1,1,1,1,1
91,91,Clemson,13,4,0,0,0,0,0,0
92,91,Connecticut,12,4,0,0,0,0,0,0
93,91,Indiana,12,4,2,2,2,1,1,1
94,91,Iowa State,13,4,1,0,0,0,0,0
95,91,Louisiana-Lafayette,13,4,1,0,0,0,0,0
96,91,Minnesota,13,4,3,0,0,0,0,0
97,91,Northwestern,13,4,4,1,0,0,0,0
98,91,Notre Dame,13,4,0,0,0,0,0,0
99,91,South Alabama,13,4,1,1,1,0,0,0
100,91,Troy,12,4,0,0,0,0,0,0
101,91,UTSA,10,4,1,1,1,1,1,0
102,91,Washington State,12,4,3,3,2,1,1,1
103,91,Wisconsin,14,4,2,0,0,0,0,0
104,105,Alabama,14,3,2,1,1,1,1,1
105,105,Arkansas,12,3,1,0,0,0,0,0
106,105,Bowling Green,13,3,1,1,0,0,0,0
107,105,East Carolina,13,3,1,1,1,1,1,1
108,105,Florida Atlantic,12,3,0,0,0,0,0,0
109,105,Louisville,13,3,1,0,0,0,0,0
110,105,Marshall,12,3,0,0,0,0,0,0
111,105,North Texas,12,3,0,0,0,0,0,0
112,105,Ohio State,12,3,0,0,0,0,0,0
113,105,Tulane,12,3,0,0,0,0,0,0
114,105,Wyoming,12,3,1,0,0,0,0,0
115,116,Boston College,12,2,1,0,0,0,0,0
116,116,Duke,13,2,1,0,0,0,0,0
117,116,Idaho,12,2,1,1,1,1,1,1
118,116,South Florida,12,2,1,0,0,0,0,0
119,116,Syracuse,13,2,0,0,0,0,0,0
120,121,Arizona,13,1,1,1,0,0,0,0
121,121,Miami (Ohio),12,1,1,0,0,0,0,0
122,121,Penn State,12,1,1,0,0,0,0,0
123,124,Wake Forest,12,0,0,0,0,0,0,0
