,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,North Texas,12,5.0,27,0.42
1,2,UTSA,10,7.0,30,0.70
2,3,Tulsa,14,8.0,53,0.57
3,3,Tennessee,12,8.0,58,0.67
4,3,Middle Tennessee,12,8.0,72,0.67
5,6,Boise State,13,9.0,46,0.69
6,6,Air Force,13,9.0,47,0.69
7,8,Louisiana Tech,12,10.0,55,0.83
8,9,Army,12,11.0,53,0.92
9,9,Rutgers,13,11.0,75,0.85
10,9,North Carolina,12,11.0,75,0.92
11,9,New Mexico,13,11.0,79,0.85
12,13,Oklahoma State,13,12.0,70,0.92
13,14,Louisiana-Lafayette,13,13.0,69,1.00
14,15,Georgia Tech,14,14.0,77,1.00
15,15,Kansas State,13,14.0,89,1.08
16,15,Ball State,13,14.0,92,1.08
17,18,Cincinnati,13,15.0,92,1.15
18,18,Bowling Green,13,15.0,95,1.15
19,18,Troy,12,15.0,99,1.25
20,18,Central Michigan,13,15.0,101,1.15
21,18,Arkansas State,13,15.0,110,1.15
22,18,Oklahoma,13,15.0,128,1.15
23,24,Syracuse,13,16.0,92,1.23
24,24,Northwestern,13,16.0,95,1.23
25,24,Texas,13,16.0,123,1.23
26,27,Northern Illinois,14,17.0,81,1.21
27,27,Indiana,12,17.0,81,1.42
28,27,USC,13,17.0,111,1.31
29,27,Miami (Florida),12,17.0,127,1.42
30,31,Arizona,13,18.0,96,1.39
31,31,Notre Dame,13,18.0,106,1.39
32,31,Nevada,13,18.0,121,1.39
33,31,Utah State,13,18.0,122,1.39
34,31,Michigan,13,18.0,131,1.39
35,31,Arkansas,12,18.0,132,1.50
36,31,Houston,12,18.0,136,1.50
37,38,Stanford,14,19.0,92,1.36
38,38,Baylor,13,19.0,92,1.46
39,38,Oregon,13,19.0,121,1.46
40,38,Mississippi State,13,19.0,130,1.46
41,38,Texas Tech,13,19.0,142,1.46
42,38,Duke,13,19.0,147,1.46
43,44,Iowa State,13,20.0,117,1.54
44,44,Western Michigan,12,20.0,127,1.67
45,44,Temple,11,20.0,136,1.82
46,47,South Florida,12,21.0,146,1.75
47,47,Kent State,14,21.0,148,1.50
48,47,Minnesota,13,21.0,162,1.62
49,47,Penn State,12,21.0,183,1.75
50,51,Eastern Michigan,12,22.0,146,1.83
51,51,Iowa,12,22.0,156,1.83
52,51,Michigan State,13,22.0,167,1.69
53,54,Texas A&M,13,23.0,139,1.77
54,54,Memphis,12,23.0,139,1.92
55,54,UCF,14,23.0,147,1.64
56,54,West Virginia,13,23.0,150,1.77
57,54,Navy,13,23.0,170,1.77
58,54,Alabama,14,23.0,178,1.64
59,60,Vanderbilt,13,24.0,179,1.85
60,60,Akron,12,24.0,194,2.00
61,60,Idaho,12,24.0,195,2.00
62,63,UNLV,13,25.0,148,1.92
63,63,Utah,12,25.0,152,2.08
64,63,Western Kentucky,13,25.0,154,1.92
65,63,Virginia Tech,13,25.0,156,1.92
66,63,Kansas,12,25.0,180,2.08
67,63,Purdue,13,25.0,185,1.92
68,63,Virginia,12,25.0,194,2.08
69,70,Toledo,13,26.0,127,2.00
70,70,Kentucky,12,26.0,174,2.17
71,70,Florida State,14,26.0,183,1.86
72,70,San Jose State,13,26.0,195,2.00
73,70,Wyoming,12,26.0,211,2.17
74,75,Florida Atlantic,12,27.0,138,2.25
75,75,Louisiana-Monroe,13,27.0,165,2.08
76,75,Georgia,14,27.0,168,1.93
77,75,Wake Forest,12,27.0,180,2.25
78,75,Ohio,13,27.0,213,2.08
79,80,Buffalo,12,28.0,141,2.33
80,80,Texas State,12,28.0,151,2.33
81,80,Marshall,12,28.0,176,2.33
82,80,Wisconsin,14,28.0,238,2.00
83,84,Ohio State,12,29.0,185,2.42
84,84,TCU,13,29.0,197,2.23
85,84,Missouri,12,29.0,206,2.42
86,84,Southern Mississippi,12,29.0,206,2.42
87,84,Fresno State,13,29.0,207,2.23
88,84,East Carolina,13,29.0,209,2.23
89,90,UTEP,12,30.0,173,2.50
90,90,Colorado State,12,30.0,173,2.50
91,90,BYU,13,30.0,203,2.31
92,93,Clemson,13,31.0,211,2.39
93,93,Louisville,13,31.0,224,2.39
94,95,Massachusetts,12,32.0,206,2.67
95,95,Tulane,12,32.0,240,2.67
96,95,LSU,13,32.0,241,2.46
97,98,Connecticut,12,33.0,210,2.75
98,98,Rice,13,33.0,232,2.54
99,98,South Alabama,13,33.0,244,2.54
100,98,Oregon State,13,33.0,244,2.54
101,102,SMU,13,34.0,183,2.62
102,102,Mississippi,13,34.0,222,2.62
103,102,Boston College,12,34.0,233,2.83
104,105,San Diego State,13,35.0,202,2.69
105,105,Nebraska,14,35.0,250,2.50
106,107,Florida International,12,37.0,219,3.08
107,107,Miami (Ohio),12,37.0,238,3.08
108,107,Auburn,12,37.0,238,3.08
109,110,Arizona State,13,38.0,230,2.92
110,110,Washington,13,38.0,250,2.92
111,110,South Carolina,13,38.0,260,2.92
112,110,Pittsburgh,13,38.0,292,2.92
113,114,Illinois,12,39.0,249,3.25
114,114,North Carolina State,13,39.0,253,3.00
115,114,Florida,13,39.0,283,3.00
116,117,California,12,40.0,262,3.33
117,117,Hawai'i,12,40.0,280,3.33
118,117,Maryland,12,40.0,294,3.33
119,120,New Mexico State,12,42.0,272,3.50
120,120,UAB,12,42.0,313,3.50
121,122,Colorado,12,50.0,321,4.17
122,123,UCLA,14,52.0,302,3.71
123,124,Washington State,12,57.0,366,4.75
