,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Louisiana Tech,12,118,1142,9.8,95.2
1,2,Arizona,13,124,1218,9.5,93.7
2,3,Washington State,12,102,952,8.5,79.3
3,4,South Florida,12,99,923,8.3,76.9
4,5,California,12,101,919,8.4,76.6
5,6,USC,13,112,988,8.6,76.0
6,7,Ball State,13,96,927,7.4,71.3
7,8,New Mexico State,12,85,817,7.1,68.1
8,9,Syracuse,13,99,864,7.6,66.5
9,10,Oregon State,13,93,859,7.2,66.1
10,11,Massachusetts,12,92,778,7.7,64.8
11,12,Minnesota,13,95,834,7.3,64.2
12,13,Colorado,12,84,769,7.0,64.1
13,14,UTSA,10,69,637,6.9,63.7
14,15,Boston College,12,85,753,7.1,62.8
15,16,South Alabama,13,93,814,7.2,62.6
16,17,Hawai'i,12,76,748,6.3,62.3
17,18,Troy,12,87,740,7.3,61.7
18,19,UCLA,14,92,859,6.6,61.4
19,20,UNLV,13,81,797,6.2,61.3
20,21,West Virginia,13,88,796,6.8,61.2
21,22,Houston,12,80,726,6.7,60.5
22,23,Texas State,12,71,725,5.9,60.4
23,24,Indiana,12,72,721,6.0,60.1
24,25,Utah,12,88,713,7.3,59.4
25,26,Louisiana-Monroe,13,85,760,6.5,58.5
26,27,Western Michigan,12,81,694,6.8,57.8
27,27,Miami (Ohio),12,72,694,6.0,57.8
28,29,Texas A&M,13,90,744,6.9,57.2
29,30,UAB,12,70,680,5.8,56.7
30,31,Cincinnati,13,83,736,6.4,56.6
31,32,BYU,13,82,735,6.3,56.5
32,32,SMU,13,80,734,6.2,56.5
33,32,Buffalo,12,68,678,5.7,56.5
34,35,Central Michigan,13,84,732,6.5,56.3
35,36,Temple,11,68,618,6.2,56.2
36,37,Stanford,14,85,781,6.1,55.8
37,38,Nevada,13,83,722,6.4,55.5
38,39,Marshall,12,80,665,6.7,55.4
39,40,Michigan,13,84,719,6.5,55.3
40,41,Vanderbilt,13,89,716,6.8,55.1
41,42,Florida International,12,76,659,6.3,54.9
42,42,Nebraska,14,78,769,5.6,54.9
43,44,Iowa State,13,83,711,6.4,54.7
44,45,Virginia Tech,13,91,710,7.0,54.6
45,45,Duke,13,80,710,6.2,54.6
46,47,Miami (Florida),12,82,652,6.8,54.3
47,47,Tulane,12,68,652,5.7,54.3
48,49,Arkansas State,13,89,698,6.8,53.7
49,50,Louisiana-Lafayette,13,89,696,6.8,53.5
50,50,Wyoming,12,72,642,6.0,53.5
51,52,Tulsa,14,88,748,6.3,53.4
52,53,Texas Tech,13,72,689,5.5,53.0
53,54,North Carolina,12,74,633,6.2,52.8
54,54,Southern Mississippi,12,66,633,5.5,52.8
55,56,Toledo,13,73,682,5.6,52.5
56,57,Rice,13,75,681,5.8,52.4
57,58,Rutgers,13,81,679,6.2,52.2
58,59,Oregon,13,70,677,5.4,52.1
59,60,Connecticut,12,73,624,6.1,52.0
60,61,Utah State,13,79,675,6.1,51.9
61,62,Ohio State,12,68,621,5.7,51.8
62,63,Washington,13,78,672,6.0,51.7
63,64,Arizona State,13,79,671,6.1,51.6
64,64,East Carolina,13,75,671,5.8,51.6
65,66,Bowling Green,13,85,670,6.5,51.5
66,67,Western Kentucky,13,76,666,5.8,51.2
67,68,Penn State,12,71,595,5.9,49.6
68,69,Akron,12,71,594,5.9,49.5
69,70,Kansas,12,59,593,4.9,49.4
70,71,Ohio,13,69,640,5.3,49.2
71,72,Iowa,12,64,585,5.3,48.8
72,72,Colorado State,12,60,585,5.0,48.8
73,74,Florida,13,77,632,5.9,48.6
74,75,Idaho,12,79,582,6.6,48.5
75,75,Mississippi State,13,70,631,5.4,48.5
76,77,Baylor,13,76,628,5.8,48.3
77,78,Northwestern,13,74,626,5.7,48.2
78,78,Maryland,12,65,578,5.4,48.2
79,80,New Mexico,13,77,621,5.9,47.8
80,80,Texas,13,67,622,5.2,47.8
81,82,Purdue,13,76,618,5.8,47.5
82,83,Louisville,13,74,614,5.7,47.2
83,84,Kent State,14,70,659,5.0,47.1
84,85,North Texas,12,70,564,5.8,47.0
85,86,Missouri,12,74,563,6.2,46.9
86,87,Fresno State,13,72,605,5.5,46.5
87,88,Oklahoma State,13,80,598,6.2,46.0
88,89,Arkansas,12,66,551,5.5,45.9
89,90,Wake Forest,12,68,549,5.7,45.8
90,91,Clemson,13,72,590,5.5,45.4
91,91,San Diego State,13,66,590,5.1,45.4
92,93,Northern Illinois,14,66,629,4.7,44.9
93,94,Florida Atlantic,12,63,525,5.3,43.8
94,95,Eastern Michigan,12,60,524,5.0,43.7
95,96,Pittsburgh,13,68,565,5.2,43.5
96,97,TCU,13,60,556,4.6,42.8
97,98,Virginia,12,66,508,5.5,42.3
98,99,Florida State,14,69,589,4.9,42.1
99,100,Mississippi,13,69,543,5.3,41.8
100,100,Notre Dame,13,67,543,5.2,41.8
101,102,Boise State,13,67,542,5.2,41.7
102,103,Tennessee,12,62,497,5.2,41.4
103,104,South Carolina,13,62,536,4.8,41.2
104,105,Middle Tennessee,12,54,492,4.5,41.0
105,106,UTEP,12,56,488,4.7,40.7
106,107,Kansas State,13,59,527,4.5,40.5
107,108,Alabama,14,67,565,4.8,40.4
108,109,LSU,13,72,524,5.5,40.3
109,109,North Carolina State,13,67,524,5.2,40.3
110,111,Kentucky,12,64,477,5.3,39.8
111,111,Georgia,14,70,557,5.0,39.8
112,113,Illinois,12,58,475,4.8,39.6
113,113,Wisconsin,14,64,554,4.6,39.6
114,115,Memphis,12,53,471,4.4,39.3
115,116,Georgia Tech,14,67,535,4.8,38.2
116,117,Air Force,13,63,492,4.8,37.8
117,118,Army,12,50,451,4.2,37.6
118,119,Michigan State,13,56,483,4.3,37.2
119,120,Oklahoma,13,62,482,4.8,37.1
120,121,Navy,13,53,464,4.1,35.7
121,122,San Jose State,13,50,455,3.8,35.0
122,123,Auburn,12,51,410,4.3,34.2
123,124,UCF,14,55,438,3.9,31.3
