,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Clemson,13,59,56,94.92,43,72.88,13,22.03
1,2,Louisiana-Lafayette,13,57,54,94.74,43,75.44,11,19.30
2,3,Michigan,13,46,43,93.48,29,63.04,14,30.43
3,4,Oklahoma State,13,72,67,93.06,48,66.67,19,26.39
4,5,Louisville,13,57,53,92.98,37,64.91,16,28.07
5,6,East Carolina,13,54,50,92.59,39,72.22,11,20.37
6,7,Wake Forest,12,25,23,92.00,19,76.00,4,16.00
7,8,Florida State,14,71,65,91.55,50,70.42,15,21.13
8,9,Oregon State,13,58,53,91.38,41,70.69,12,20.69
9,10,Mississippi,13,45,41,91.11,30,66.67,11,24.44
10,11,Oklahoma,13,67,61,91.04,46,68.66,15,22.39
11,12,Oregon,13,73,66,90.41,59,80.82,7,9.59
12,13,Alabama,14,62,56,90.32,46,74.19,10,16.13
13,13,Temple,11,31,28,90.32,20,64.52,8,25.81
14,15,San Diego State,13,50,45,90.00,36,72.00,9,18.00
15,16,Ohio State,12,51,45,88.24,39,76.47,6,11.76
16,16,South Florida,12,34,30,88.24,18,52.94,12,35.29
17,18,Virginia Tech,13,41,36,87.80,21,51.22,15,36.59
18,19,Northwestern,13,57,50,87.72,34,59.65,16,28.07
19,20,Marshall,12,64,56,87.50,47,73.44,9,14.06
20,20,Central Michigan,13,48,42,87.50,30,62.50,12,25.00
21,20,Colorado State,12,24,21,87.50,16,66.67,5,20.83
22,23,Kansas State,13,71,62,87.32,45,63.38,17,23.94
23,24,Arkansas State,13,62,54,87.10,41,66.13,13,20.97
24,25,Texas A&M,13,68,59,86.76,50,73.53,9,13.24
25,25,Texas Tech,13,68,59,86.76,45,66.18,14,20.59
26,27,Miami (Florida),12,52,45,86.54,27,51.92,18,34.62
27,28,Wyoming,12,37,32,86.49,27,72.97,5,13.51
28,29,Tennessee,12,59,51,86.44,36,61.02,15,25.42
29,30,Indiana,12,51,44,86.27,34,66.67,10,19.61
30,30,Stanford,14,51,44,86.27,31,60.78,13,25.49
31,32,Eastern Michigan,12,29,25,86.21,18,62.07,7,24.14
32,33,Georgia,14,50,43,86.00,38,76.00,5,10.00
33,34,UCF,14,62,53,85.48,45,72.58,8,12.90
34,34,Nebraska,14,62,53,85.48,39,62.90,14,22.58
35,36,LSU,13,53,45,84.91,27,50.94,18,33.96
36,37,Louisiana Tech,12,84,71,84.52,63,75.00,8,9.52
37,38,UAB,12,45,38,84.44,29,64.44,9,20.00
38,39,Connecticut,12,32,27,84.38,15,46.88,12,37.50
39,40,Texas,13,63,53,84.13,44,69.84,9,14.29
40,41,Ball State,13,69,58,84.06,42,60.87,16,23.19
41,42,Louisiana-Monroe,13,50,42,84.00,38,76.00,4,8.00
42,43,Cincinnati,13,49,41,83.67,30,61.22,11,22.45
43,44,Nevada,13,72,60,83.33,51,70.83,9,12.50
44,44,Duke,13,54,45,83.33,31,57.41,14,25.93
45,44,Rice,13,54,45,83.33,31,57.41,14,25.93
46,47,West Virginia,13,59,49,83.05,41,69.49,8,13.56
47,48,Houston,12,53,44,83.02,28,52.83,16,30.19
48,49,Minnesota,13,41,34,82.93,25,60.98,9,21.95
49,50,Baylor,13,69,57,82.61,45,65.22,12,17.39
50,50,Florida,13,46,38,82.61,24,52.17,14,30.43
51,52,Fresno State,13,57,47,82.46,36,63.16,11,19.30
52,52,Pittsburgh,13,57,47,82.46,35,61.40,12,21.05
53,54,Wisconsin,14,51,42,82.35,34,66.67,8,15.69
54,54,Utah State,13,51,42,82.35,33,64.71,9,17.65
55,56,Middle Tennessee,12,45,37,82.22,22,48.89,15,33.33
56,57,San Jose State,13,56,46,82.14,32,57.14,14,25.00
57,57,Auburn,12,28,23,82.14,14,50.00,9,32.14
58,59,Boise State,13,61,50,81.97,35,57.38,15,24.59
59,60,UCLA,14,66,54,81.82,40,60.61,14,21.21
60,60,North Carolina State,13,44,36,81.82,27,61.36,9,20.45
61,60,Michigan State,13,44,36,81.82,23,52.27,13,29.55
62,63,Texas State,12,38,31,81.58,24,63.16,7,18.42
63,64,Kent State,14,54,44,81.48,30,55.56,14,25.93
64,64,Idaho,12,27,22,81.48,13,48.15,9,33.33
65,66,Akron,12,43,35,81.40,29,67.44,6,13.95
66,67,Syracuse,13,59,48,81.36,36,61.02,12,20.34
67,68,South Carolina,13,48,39,81.25,31,64.58,8,16.67
68,69,UTSA,10,37,30,81.08,19,51.35,11,29.73
69,70,North Carolina,12,63,51,80.95,39,61.90,12,19.05
70,71,Western Kentucky,13,52,42,80.77,34,65.38,8,15.38
71,72,Northern Illinois,14,71,57,80.28,50,70.42,7,9.86
72,73,Georgia Tech,14,65,52,80.00,43,66.15,9,13.85
73,73,Notre Dame,13,60,48,80.00,29,48.33,19,31.67
74,73,Virginia,12,40,32,80.00,24,60.00,8,20.00
75,73,Colorado,12,35,28,80.00,22,62.86,6,17.14
76,77,Tulsa,14,69,55,79.71,45,65.22,10,14.49
77,78,Toledo,13,54,43,79.63,24,44.44,19,35.19
78,79,UNLV,13,39,31,79.49,22,56.41,9,23.08
79,80,Navy,13,48,38,79.17,29,60.42,9,18.75
80,80,New Mexico State,12,24,19,79.17,18,75.00,1,4.17
81,82,Ohio,13,62,49,79.03,33,53.23,16,25.81
82,83,Penn State,12,57,45,78.95,31,54.39,14,24.56
83,83,California,12,38,30,78.95,18,47.37,12,31.58
84,83,Iowa,12,38,30,78.95,18,47.37,12,31.58
85,86,Arizona State,13,71,56,78.87,44,61.97,12,16.90
86,87,Troy,12,52,41,78.85,29,55.77,12,23.08
87,88,Arizona,13,79,62,78.48,50,63.29,12,15.19
88,89,SMU,13,51,40,78.43,25,49.02,15,29.41
89,90,BYU,13,64,50,78.13,40,62.50,10,15.63
90,91,Purdue,13,49,38,77.55,31,63.27,7,14.29
91,92,Utah,12,40,31,77.50,26,65.00,5,12.50
92,93,Tulane,12,31,24,77.42,13,41.94,11,35.48
93,94,New Mexico,13,48,37,77.08,29,60.42,8,16.67
94,94,South Alabama,13,48,37,77.08,23,47.92,14,29.17
95,96,Missouri,12,39,30,76.92,20,51.28,10,25.64
96,97,Western Michigan,12,51,39,76.47,31,60.78,8,15.69
97,97,Mississippi State,13,51,39,76.47,31,60.78,8,15.69
98,97,Southern Mississippi,12,34,26,76.47,20,58.82,6,17.65
99,100,Vanderbilt,13,50,38,76.00,25,50.00,13,26.00
100,101,Iowa State,13,41,31,75.61,27,65.85,4,9.76
101,101,Boston College,12,41,31,75.61,17,41.46,14,34.15
102,103,Miami (Ohio),12,45,34,75.56,23,51.11,11,24.44
103,104,Air Force,13,52,39,75.00,35,67.31,4,7.69
104,104,Washington,13,52,39,75.00,33,63.46,6,11.54
105,104,Florida International,12,40,30,75.00,23,57.50,7,17.50
106,107,USC,13,55,41,74.55,33,60.00,8,14.55
107,108,Washington State,12,39,29,74.36,21,53.85,8,20.51
108,109,Illinois,12,31,23,74.19,19,61.29,4,12.90
109,110,Memphis,12,41,30,73.17,26,63.41,4,9.76
110,111,TCU,13,57,41,71.93,28,49.12,13,22.81
111,112,Maryland,12,32,23,71.88,17,53.13,6,18.75
112,112,Rutgers,13,32,23,71.88,16,50.00,7,21.88
113,114,Florida Atlantic,12,39,28,71.79,23,58.97,5,12.82
114,114,Kansas,12,39,28,71.79,18,46.15,10,25.64
115,116,Army,12,49,35,71.43,26,53.06,9,18.37
116,116,Arkansas,12,49,35,71.43,23,46.94,12,24.49
117,116,North Texas,12,42,30,71.43,21,50.00,9,21.43
118,119,Hawai'i,12,38,27,71.05,19,50.00,8,21.05
119,120,Kentucky,12,34,24,70.59,19,55.88,5,14.71
120,121,UTEP,12,40,28,70.00,19,47.50,9,22.50
121,122,Buffalo,12,36,25,69.44,19,52.78,6,16.67
122,123,Massachusetts,12,32,22,68.75,13,40.63,9,28.13
