,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Kent State,14,63,3134,49.75,7,11.11,4,3
1,2,Oregon,13,54,2899,53.69,10,18.52,0,4
2,3,Tennessee,12,80,4531,56.64,24,30.00,4,0
3,4,Kansas State,13,61,3461,56.74,19,31.15,2,1
4,5,San Jose State,13,59,3352,56.81,11,18.64,3,1
5,6,Bowling Green,13,52,3002,57.73,12,23.08,0,0
6,7,Utah,12,57,3320,58.25,25,43.86,1,1
7,8,Toledo,13,69,4021,58.28,14,20.29,2,3
8,9,West Virginia,13,86,5030,58.49,27,31.40,2,3
9,10,Ohio,13,65,3814,58.68,16,24.62,4,0
10,11,Hawai'i,12,73,4285,58.70,13,17.81,1,2
11,12,LSU,13,51,2997,58.76,15,29.41,3,1
12,13,California,12,73,4294,58.82,15,20.55,1,0
13,14,Iowa State,13,66,3885,58.86,27,40.91,2,0
14,15,Western Michigan,12,72,4239,58.88,17,23.61,2,1
15,16,Florida,13,45,2657,59.04,7,15.56,2,0
16,17,Florida State,14,48,2835,59.06,14,29.17,3,4
17,18,Oregon State,13,54,3199,59.24,17,31.48,1,3
18,19,USC,13,64,3797,59.33,23,35.94,1,2
19,20,Michigan,13,59,3503,59.37,11,18.64,5,2
20,21,Buffalo,12,70,4173,59.61,24,34.29,1,0
21,21,East Carolina,13,75,4471,59.61,24,32.00,0,2
22,23,Florida International,12,71,4234,59.63,12,16.90,0,0
23,24,Northern Illinois,14,60,3580,59.67,21,35.00,1,2
24,24,Oklahoma State,13,72,4296,59.67,21,29.17,3,1
25,26,UCF,14,59,3522,59.69,20,33.90,0,3
26,27,Purdue,13,78,4659,59.73,17,21.79,1,2
27,28,Illinois,12,73,4362,59.75,23,31.51,2,0
28,29,Middle Tennessee,12,66,3955,59.92,21,31.82,1,1
29,30,Memphis,12,73,4376,59.95,16,21.92,5,2
30,31,UNLV,13,77,4628,60.10,19,24.68,2,0
31,32,Western Kentucky,13,62,3727,60.11,16,25.81,1,2
32,32,Ball State,13,76,4568,60.11,22,28.95,5,3
33,34,Maryland,12,69,4151,60.16,23,33.33,4,0
34,35,Georgia,14,60,3610,60.17,21,35.00,1,2
