,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Ohio State,12,14,74,88,7.33
1,2,Oregon,13,25,62,87,6.69
2,3,TCU,13,21,65,86,6.62
3,4,SMU,13,21,63,84,6.46
4,4,Utah State,13,14,70,84,6.46
5,4,Northern Illinois,14,15,69,84,6.00
6,4,Stanford,14,15,69,84,6.00
7,8,Texas A&M,13,12,70,82,6.31
8,9,Cincinnati,13,16,62,78,6.00
9,9,Kent State,14,23,55,78,5.57
10,11,Michigan State,13,14,63,77,5.92
11,12,Houston,12,19,57,76,6.33
12,12,Northwestern,13,13,63,76,5.85
13,12,Alabama,14,18,58,76,5.43
14,15,Arizona State,13,21,54,75,5.77
15,15,Purdue,13,14,61,75,5.77
16,17,BYU,13,12,62,74,5.69
17,18,Rutgers,13,18,55,73,5.62
18,18,Wisconsin,14,8,65,73,5.21
19,20,East Carolina,13,10,62,72,5.54
20,21,LSU,13,18,53,71,5.46
21,21,Baylor,13,18,53,71,5.46
22,21,Toledo,13,17,54,71,5.46
23,21,Iowa State,13,14,57,71,5.46
24,25,Minnesota,13,13,57,70,5.38
25,25,Arizona,13,12,58,70,5.38
26,25,Florida State,14,11,59,70,5.00
27,28,Florida,13,20,49,69,5.31
28,28,North Carolina State,13,16,53,69,5.31
29,28,San Jose State,13,15,54,69,5.31
30,28,Ohio,13,13,56,69,5.31
31,28,Nebraska,14,13,56,69,4.93
32,28,Tulsa,14,12,57,69,4.93
33,34,Fresno State,13,22,46,68,5.23
34,34,USC,13,19,49,68,5.23
35,36,Kansas State,13,18,49,67,5.15
36,36,Mississippi,13,15,52,67,5.15
37,38,Oregon State,13,20,46,66,5.08
38,39,North Carolina,12,16,49,65,5.42
39,39,Boston College,12,10,55,65,5.42
40,39,Virginia Tech,13,13,52,65,5.00
41,39,Vanderbilt,13,11,54,65,5.00
42,39,UCLA,14,15,50,65,4.64
43,44,Florida International,12,10,54,64,5.33
44,44,Connecticut,12,6,58,64,5.33
45,46,Oklahoma State,13,11,52,63,4.85
46,47,Louisiana Tech,12,10,52,62,5.17
47,47,Nevada,13,6,56,62,4.77
48,49,Miami (Florida),12,11,50,61,5.08
49,49,Boise State,13,18,43,61,4.69
50,51,Mississippi State,13,19,41,60,4.62
51,51,Central Michigan,13,13,47,60,4.62
52,51,West Virginia,13,10,50,60,4.62
53,51,UNLV,13,9,51,60,4.62
54,55,South Carolina,13,15,44,59,4.54
55,55,Arkansas State,13,13,46,59,4.54
56,55,Louisville,13,11,48,59,4.54
57,55,Rice,13,11,48,59,4.54
58,59,Louisiana-Monroe,13,16,42,58,4.46
59,59,Pittsburgh,13,15,43,58,4.46
60,59,Clemson,13,13,45,58,4.46
61,62,Tulane,12,15,42,57,4.75
62,62,Hawai'i,12,9,48,57,4.75
63,62,Washington,13,17,40,57,4.38
64,62,Louisiana-Lafayette,13,13,44,57,4.38
65,66,Penn State,12,10,46,56,4.67
66,66,Western Kentucky,13,13,43,56,4.31
67,66,Texas Tech,13,8,48,56,4.31
68,66,Georgia Tech,14,16,40,56,4.00
69,66,UCF,14,11,45,56,4.00
70,71,Virginia,12,4,51,55,4.58
71,71,San Diego State,13,14,41,55,4.23
72,71,Oklahoma,13,13,42,55,4.23
73,71,Bowling Green,13,10,45,55,4.23
74,75,Utah,12,8,46,54,4.50
75,75,UTEP,12,7,47,54,4.50
76,75,Georgia,14,13,41,54,3.86
77,78,California,12,14,39,53,4.42
78,78,Buffalo,12,13,40,53,4.42
79,78,Western Michigan,12,8,45,53,4.42
80,78,Arkansas,12,6,47,53,4.42
81,78,Maryland,12,4,49,53,4.42
82,83,Texas State,12,14,38,52,4.33
83,83,Colorado State,12,7,45,52,4.33
84,83,South Alabama,13,11,41,52,4.00
85,86,Washington State,12,15,36,51,4.25
86,86,Massachusetts,12,13,38,51,4.25
87,86,Wake Forest,12,11,40,51,4.25
88,86,New Mexico,13,11,40,51,3.92
89,86,Duke,13,11,40,51,3.92
90,91,Missouri,12,7,43,50,4.17
91,91,Notre Dame,13,16,34,50,3.85
92,93,Ball State,13,7,42,49,3.77
93,94,Iowa,12,10,38,48,4.00
94,95,Tennessee,12,12,35,47,3.92
95,95,North Texas,12,11,36,47,3.92
96,95,Kansas,12,11,36,47,3.92
97,95,Marshall,12,9,38,47,3.92
98,99,Idaho,12,9,37,46,3.83
99,99,Indiana,12,7,39,46,3.83
100,99,Texas,13,15,31,46,3.54
101,102,Wyoming,12,6,38,44,3.67
102,103,Miami (Ohio),12,12,31,43,3.58
103,103,Troy,12,6,37,43,3.58
104,105,UTSA,10,10,32,42,4.20
105,105,Southern Mississippi,12,5,37,42,3.50
106,105,New Mexico State,12,4,38,42,3.50
107,105,Auburn,12,2,40,42,3.50
108,109,Air Force,13,8,33,41,3.15
109,110,Illinois,12,7,33,40,3.33
110,110,Kentucky,12,5,35,40,3.33
111,112,Florida Atlantic,12,8,30,38,3.17
112,112,Akron,12,5,33,38,3.17
113,114,Army,12,7,29,36,3.00
114,114,Syracuse,13,9,27,36,2.77
115,116,Temple,11,4,31,35,3.18
116,116,Eastern Michigan,12,7,28,35,2.92
117,118,Memphis,12,8,26,34,2.83
118,118,UAB,12,6,28,34,2.83
119,118,South Florida,12,2,32,34,2.83
120,121,Navy,13,8,25,33,2.54
121,122,Colorado,12,3,29,32,2.67
122,123,Middle Tennessee,12,12,17,29,2.42
123,124,Michigan,13,7,21,28,2.15
