,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Oregon,13,25,488,4,1.92
1,2,Kent State,14,23,154,2,1.64
2,3,Fresno State,13,22,374,6,1.69
3,4,SMU,13,21,557,8,1.62
4,4,Arizona State,13,21,383,3,1.62
5,4,TCU,13,21,276,2,1.62
6,7,Oregon State,13,20,284,1,1.54
7,7,Florida,13,20,276,2,1.54
8,9,Houston,12,19,286,2,1.58
9,9,Mississippi State,13,19,349,2,1.46
10,9,USC,13,19,256,2,1.46
11,12,Baylor,13,18,316,3,1.38
12,12,LSU,13,18,274,3,1.38
13,12,Kansas State,13,18,270,2,1.38
14,12,Boise State,13,18,213,2,1.38
15,12,Rutgers,13,18,173,2,1.38
16,12,Alabama,14,18,221,1,1.29
17,18,Toledo,13,17,394,4,1.31
18,18,Washington,13,17,204,1,1.31
19,20,North Carolina,12,16,180,2,1.33
20,20,Cincinnati,13,16,303,2,1.23
21,20,North Carolina State,13,16,192,1,1.23
22,20,Notre Dame,13,16,172,0,1.23
23,20,Louisiana-Monroe,13,16,137,2,1.23
24,20,Georgia Tech,14,16,131,1,1.14
25,26,Tulane,12,15,321,1,1.25
26,26,Washington State,12,15,202,0,1.25
27,26,San Jose State,13,15,250,1,1.15
28,26,South Carolina,13,15,246,2,1.15
29,26,Mississippi,13,15,199,0,1.15
30,26,Pittsburgh,13,15,158,0,1.15
31,26,Texas,13,15,107,2,1.15
32,26,Stanford,14,15,359,4,1.07
33,26,Northern Illinois,14,15,187,0,1.07
34,26,UCLA,14,15,129,0,1.07
35,36,Ohio State,12,14,164,2,1.17
36,36,California,12,14,157,1,1.17
37,36,Texas State,12,14,92,0,1.17
38,36,Iowa State,13,14,300,3,1.08
39,36,Purdue,13,14,237,3,1.08
40,36,San Diego State,13,14,219,3,1.08
41,36,Utah State,13,14,191,1,1.08
42,36,Michigan State,13,14,157,0,1.08
43,44,Massachusetts,12,13,223,1,1.08
44,44,Buffalo,12,13,153,1,1.08
45,44,Northwestern,13,13,243,2,1.00
46,44,Arkansas State,13,13,227,0,1.00
47,44,Central Michigan,13,13,178,2,1.00
48,44,Western Kentucky,13,13,141,1,1.00
49,44,Clemson,13,13,136,1,1.00
50,44,Minnesota,13,13,125,2,1.00
51,44,Oklahoma,13,13,124,1,1.00
52,44,Louisiana-Lafayette,13,13,114,1,1.00
53,44,Virginia Tech,13,13,100,0,1.00
54,44,Ohio,13,13,51,1,1.00
55,44,Nebraska,14,13,205,3,0.93
56,44,Georgia,14,13,161,1,0.93
57,58,Middle Tennessee,12,12,263,2,1.00
58,58,Tennessee,12,12,113,1,1.00
59,58,Miami (Ohio),12,12,85,1,1.00
60,58,Arizona,13,12,236,1,0.92
61,58,Texas A&M,13,12,204,2,0.92
62,58,BYU,13,12,149,1,0.92
63,58,Tulsa,14,12,67,1,0.86
64,65,Kansas,12,11,141,1,0.92
65,65,Miami (Florida),12,11,123,1,0.92
66,65,Wake Forest,12,11,45,1,0.92
67,65,North Texas,12,11,45,0,0.92
68,65,Vanderbilt,13,11,320,2,0.85
69,65,New Mexico,13,11,233,2,0.85
70,65,Rice,13,11,159,2,0.85
71,65,South Alabama,13,11,152,0,0.85
72,65,Oklahoma State,13,11,146,0,0.85
73,65,Louisville,13,11,89,1,0.85
74,65,Duke,13,11,86,2,0.85
75,65,UCF,14,11,246,2,0.79
76,65,Florida State,14,11,172,0,0.79
77,78,UTSA,10,10,56,0,1.00
78,78,Penn State,12,10,201,0,0.83
79,78,Iowa,12,10,147,2,0.83
80,78,Louisiana Tech,12,10,111,2,0.83
81,78,Florida International,12,10,81,0,0.83
82,78,Boston College,12,10,80,0,0.83
83,78,Bowling Green,13,10,147,2,0.77
84,78,West Virginia,13,10,123,0,0.77
85,78,East Carolina,13,10,88,1,0.77
86,87,Idaho,12,9,112,0,0.75
87,87,Hawai'i,12,9,79,1,0.75
88,87,Marshall,12,9,73,1,0.75
89,87,Syracuse,13,9,106,1,0.69
90,87,UNLV,13,9,97,0,0.69
91,92,Florida Atlantic,12,8,102,1,0.67
92,92,Utah,12,8,96,1,0.67
93,92,Memphis,12,8,48,2,0.67
94,92,Western Michigan,12,8,8,0,0.67
95,92,Air Force,13,8,208,1,0.62
96,92,Texas Tech,13,8,200,1,0.62
97,92,Navy,13,8,60,2,0.62
98,92,Wisconsin,14,8,180,1,0.57
99,100,Colorado State,12,7,165,3,0.58
100,100,Missouri,12,7,124,1,0.58
101,100,Army,12,7,119,0,0.58
102,100,Indiana,12,7,113,0,0.58
103,100,Eastern Michigan,12,7,100,1,0.58
104,100,Illinois,12,7,97,1,0.58
105,100,UTEP,12,7,20,0,0.58
106,100,Michigan,13,7,127,1,0.54
107,100,Ball State,13,7,53,0,0.54
108,109,Wyoming,12,6,264,1,0.50
109,109,Troy,12,6,123,1,0.50
110,109,UAB,12,6,71,1,0.50
111,109,Connecticut,12,6,36,1,0.50
112,109,Arkansas,12,6,34,0,0.50
113,109,Nevada,13,6,107,1,0.46
114,115,Southern Mississippi,12,5,77,2,0.42
115,115,Akron,12,5,62,1,0.42
116,115,Kentucky,12,5,32,0,0.42
117,118,Temple,11,4,71,1,0.36
118,118,Virginia,12,4,77,0,0.33
119,118,Maryland,12,4,44,0,0.33
120,118,New Mexico State,12,4,-5,0,0.33
121,122,Colorado,12,3,37,0,0.25
122,123,Auburn,12,2,72,1,0.17
123,123,South Florida,12,2,29,0,0.17
