,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Alabama,14,440,1069,2.43,10,31.43,76.36
1,2,BYU,13,412,1130,2.74,5,31.69,86.92
2,3,Florida State,14,469,1287,2.74,10,33.50,91.93
3,4,Florida,13,413,1229,2.98,12,31.77,94.54
4,5,Stanford,14,446,1358,3.04,15,31.86,97.00
5,6,Rutgers,13,460,1263,2.75,6,35.38,97.15
6,7,Connecticut,12,430,1175,2.73,10,35.83,97.92
7,8,Michigan State,13,391,1282,3.28,6,30.08,98.62
8,9,LSU,13,440,1321,3.00,14,33.85,101.62
9,10,TCU,13,422,1370,3.25,11,32.46,105.38
10,11,Notre Dame,13,396,1374,3.47,4,30.46,105.69
11,12,Bowling Green,13,413,1385,3.35,14,31.77,106.54
12,13,Utah State,13,493,1479,3.00,6,37.92,113.77
13,14,Ohio State,12,392,1393,3.55,14,32.67,116.08
14,15,SMU,13,418,1533,3.67,14,32.15,117.92
15,16,Tulsa,14,520,1674,3.22,20,37.14,119.57
16,17,South Carolina,13,504,1569,3.11,9,38.77,120.69
17,18,San Jose State,13,442,1589,3.60,16,34.00,122.23
18,19,Arkansas,12,440,1489,3.38,21,36.67,124.08
19,20,UTSA,10,343,1254,3.66,16,34.30,125.40
20,21,Kansas State,13,431,1654,3.84,13,33.15,127.23
21,22,Northwestern,13,440,1659,3.77,16,33.85,127.62
22,23,Utah,12,415,1538,3.71,19,34.58,128.17
23,24,Penn State,12,435,1541,3.54,10,36.25,128.42
24,25,Wisconsin,14,472,1805,3.82,14,33.71,128.93
25,26,Mississippi,13,483,1681,3.48,17,37.15,129.31
26,27,Maryland,12,445,1552,3.49,13,37.08,129.33
27,28,Oregon State,13,422,1683,3.99,19,32.46,129.46
28,29,San Diego State,13,486,1735,3.57,16,37.38,133.46
29,30,Virginia Tech,13,485,1743,3.59,13,37.31,134.08
30,31,Cincinnati,13,459,1763,3.84,10,35.31,135.62
31,32,Pittsburgh,13,461,1773,3.85,14,35.46,136.38
32,33,Western Kentucky,13,456,1779,3.90,15,35.08,136.85
33,34,Kent State,14,507,1936,3.82,15,36.21,138.29
34,35,Texas A&M,13,487,1814,3.72,18,37.46,139.54
35,36,Memphis,12,425,1675,3.94,15,35.42,139.58
36,37,Florida International,12,428,1690,3.95,23,35.67,140.83
37,38,Oklahoma State,13,490,1842,3.76,19,37.69,141.69
38,39,Vanderbilt,13,482,1848,3.83,17,37.08,142.15
39,40,Louisiana-Monroe,13,467,1849,3.96,21,35.92,142.23
40,41,North Carolina,12,474,1712,3.61,20,39.50,142.67
41,42,Syracuse,13,473,1866,3.95,13,36.38,143.54
42,43,Louisiana-Lafayette,13,472,1870,3.96,20,36.31,143.85
43,44,Georgia Tech,14,472,2019,4.28,27,33.71,144.21
44,45,Virginia,12,436,1739,3.99,17,36.33,144.92
45,45,Oregon,13,470,1884,4.01,15,36.15,144.92
46,47,Boise State,13,512,1900,3.71,20,39.38,146.15
47,48,Northern Illinois,14,587,2050,3.49,21,41.93,146.43
48,49,Louisville,13,449,1924,4.29,14,34.54,148.00
49,50,Missouri,12,451,1791,3.97,26,37.58,149.25
50,51,South Florida,12,494,1799,3.64,21,41.17,149.92
51,52,Michigan,13,514,1957,3.81,9,39.54,150.54
52,53,North Carolina State,13,494,2012,4.07,20,38.00,154.77
53,54,East Carolina,13,467,2015,4.31,21,35.92,155.00
54,55,Western Michigan,12,462,1862,4.03,21,38.50,155.17
55,56,Buffalo,12,501,1865,3.72,22,41.75,155.42
56,57,UCF,14,544,2182,4.01,21,38.86,155.86
57,58,Clemson,13,486,2030,4.18,16,37.38,156.15
58,59,Arkansas State,13,498,2033,4.08,15,38.31,156.38
59,60,Ohio,13,467,2077,4.45,12,35.92,159.77
60,61,West Virginia,13,548,2079,3.79,23,42.15,159.92
61,62,Washington,13,471,2081,4.42,17,36.23,160.08
62,63,Kentucky,12,481,1940,4.03,25,40.08,161.67
63,64,Iowa,12,473,1945,4.11,16,39.42,162.08
64,65,Washington State,12,490,1959,4.00,21,40.83,163.25
65,65,North Texas,12,394,1959,4.97,22,32.83,163.25
66,67,South Alabama,13,513,2138,4.17,21,39.46,164.46
67,68,UCLA,14,561,2315,4.13,20,40.07,165.36
68,69,Mississippi State,13,504,2153,4.27,16,38.77,165.62
69,70,Wake Forest,12,489,1993,4.08,22,40.75,166.08
70,71,USC,13,533,2171,4.07,17,41.00,167.00
71,72,California,12,477,2032,4.26,18,39.75,169.33
72,73,Fresno State,13,550,2227,4.05,20,42.31,171.31
73,74,Minnesota,13,478,2236,4.68,22,36.77,172.00
74,75,New Mexico,13,428,2274,5.31,19,32.92,174.92
75,76,Texas Tech,13,523,2282,4.36,20,40.23,175.54
76,77,Iowa State,13,531,2299,4.33,19,40.85,176.85
77,78,Baylor,13,511,2323,4.55,28,39.31,178.69
78,79,Purdue,13,500,2365,4.73,24,38.46,181.92
79,80,Georgia,14,616,2550,4.14,17,44.00,182.14
80,81,UAB,12,477,2187,4.58,33,39.75,182.25
81,82,Toledo,13,445,2370,5.33,19,34.23,182.31
82,83,Arizona State,13,559,2377,4.25,17,43.00,182.85
83,84,Troy,12,469,2222,4.74,17,39.08,185.17
84,85,Louisiana Tech,12,470,2228,4.74,25,39.17,185.67
85,86,Middle Tennessee,12,490,2259,4.61,21,40.83,188.25
86,87,Tennessee,12,477,2266,4.75,25,39.75,188.83
87,88,Hawai'i,12,522,2281,4.37,34,43.50,190.08
88,89,Rice,13,506,2479,4.90,30,38.92,190.69
89,90,Texas,13,538,2488,4.62,29,41.38,191.38
90,91,Central Michigan,13,511,2492,4.88,28,39.31,191.69
91,92,Nebraska,14,566,2695,4.76,26,40.43,192.50
92,93,Houston,12,521,2313,4.44,23,43.42,192.75
93,94,Oklahoma,13,485,2509,5.17,27,37.31,193.00
94,95,Navy,13,523,2516,4.81,23,40.23,193.54
95,96,Illinois,12,514,2327,4.53,28,42.83,193.92
96,97,UTEP,12,481,2332,4.85,24,40.08,194.33
97,98,Kansas,12,451,2352,5.22,26,37.58,196.00
98,99,Idaho,12,459,2364,5.15,37,38.25,197.00
99,100,Auburn,12,484,2371,4.90,23,40.33,197.58
100,101,Air Force,13,575,2584,4.49,27,44.23,198.77
101,102,Temple,11,468,2193,4.69,21,42.55,199.36
102,103,Duke,13,524,2625,5.01,26,40.31,201.92
103,104,Florida Atlantic,12,504,2425,4.81,23,42.00,202.08
104,105,Marshall,12,526,2439,4.64,30,43.83,203.25
105,106,Colorado State,12,521,2440,4.68,19,43.42,203.33
106,107,Arizona,13,585,2680,4.58,33,45.00,206.15
107,108,UNLV,13,585,2692,4.60,29,45.00,207.08
108,108,Ball State,13,522,2692,5.16,24,40.15,207.08
109,110,Southern Mississippi,12,500,2490,4.98,34,41.67,207.50
110,111,Akron,12,517,2533,4.90,22,43.08,211.08
111,112,Nevada,13,539,2754,5.11,27,41.46,211.85
112,113,Boston College,12,550,2559,4.65,20,45.83,213.25
113,114,Miami (Florida),12,526,2615,4.97,29,43.83,217.92
114,115,New Mexico State,12,470,2657,5.65,27,39.17,221.42
115,116,Tulane,12,528,2675,5.07,30,44.00,222.92
116,117,Massachusetts,12,511,2697,5.28,33,42.58,224.75
117,118,Colorado,12,458,2712,5.92,28,38.17,226.00
118,119,Indiana,12,554,2776,5.01,29,46.17,231.33
119,120,Texas State,12,490,2782,5.68,25,40.83,231.83
120,121,Wyoming,12,531,2788,5.25,23,44.25,232.33
121,121,Army,12,509,2788,5.48,35,42.42,232.33
122,123,Miami (Ohio),12,529,2893,5.47,35,44.08,241.08
123,124,Eastern Michigan,12,510,3199,6.27,34,42.50,266.58
