,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Alabama,14,63,115,14,192,13.7
1,2,Florida State,14,81,102,20,203,14.5
2,3,Michigan State,13,63,101,26,190,14.6
3,4,BYU,13,63,106,22,191,14.7
4,5,Bowling Green,13,75,104,18,197,15.2
5,6,Connecticut,12,69,112,13,194,16.2
6,7,Wisconsin,14,90,129,15,234,16.7
7,8,Notre Dame,13,74,131,16,221,17.0
8,8,TCU,13,77,124,20,221,17.0
9,10,Boise State,13,108,99,18,225,17.3
10,11,Florida,13,74,120,32,226,17.4
11,12,Rutgers,13,83,123,22,228,17.5
12,13,San Jose State,13,84,128,17,229,17.6
13,13,Fresno State,13,110,95,24,229,17.6
14,13,Tulsa,14,101,124,22,247,17.6
15,16,Maryland,12,87,112,13,212,17.7
16,17,South Carolina,13,109,105,17,231,17.8
17,17,Virginia Tech,13,92,113,27,232,17.8
18,19,Nebraska,14,116,107,30,253,18.1
19,19,Stanford,14,86,144,24,254,18.1
20,21,Vanderbilt,13,107,113,16,236,18.2
21,21,Louisville,13,108,107,22,237,18.2
22,21,Michigan,13,116,101,20,237,18.2
23,24,Ohio State,12,67,122,30,219,18.3
24,24,Penn State,12,84,118,18,220,18.3
25,26,Washington,13,98,113,28,239,18.4
26,27,LSU,13,81,126,33,240,18.5
27,27,Utah State,13,90,116,34,240,18.5
28,29,Virginia,12,90,114,19,223,18.6
29,30,Oregon State,13,97,123,23,243,18.7
30,31,Clemson,13,99,125,21,245,18.8
31,32,Minnesota,13,114,109,24,247,19.0
32,32,Arizona State,13,129,99,19,247,19.0
33,34,Buffalo,12,93,119,17,229,19.1
34,34,Pittsburgh,13,99,125,24,248,19.1
35,34,North Carolina State,13,111,118,19,248,19.1
36,34,Georgia,14,143,104,20,267,19.1
37,38,Syracuse,13,96,135,20,251,19.3
38,38,Mississippi,13,97,138,16,251,19.3
39,38,Oklahoma,13,112,120,19,251,19.3
40,38,Georgia Tech,14,111,144,15,270,19.3
41,42,Hawai'i,12,119,92,22,233,19.4
42,43,Utah,12,84,124,27,235,19.6
43,43,Illinois,12,133,89,13,235,19.6
44,43,Western Kentucky,13,103,123,29,255,19.6
45,46,Florida Atlantic,12,117,98,21,236,19.7
46,47,Iowa,12,97,123,17,237,19.8
47,48,South Alabama,13,106,122,33,261,20.1
48,49,Texas Tech,13,133,111,19,263,20.2
49,50,Florida International,12,95,130,18,243,20.3
