,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Rutgers,13,8,0.62
1,1,UCLA,14,8,0.57
2,3,Marshall,12,7,0.58
3,3,Texas,13,7,0.54
4,5,Ohio State,12,6,0.50
5,5,Buffalo,12,6,0.50
6,5,Florida,13,6,0.46
7,5,Utah State,13,6,0.46
8,5,BYU,13,6,0.46
9,5,SMU,13,6,0.46
10,5,Georgia,14,6,0.43
11,12,Southern Mississippi,12,5,0.42
12,12,South Alabama,13,5,0.38
13,12,Purdue,13,5,0.38
14,15,UTSA,10,4,0.40
15,15,Memphis,12,4,0.33
16,15,UAB,12,4,0.33
17,15,New Mexico State,12,4,0.33
18,15,Kentucky,12,4,0.33
19,15,UTEP,12,4,0.33
20,15,Hawai'i,12,4,0.33
21,15,Maryland,12,4,0.33
22,15,USC,13,4,0.31
23,15,Washington,13,4,0.31
24,15,UNLV,13,4,0.31
25,15,Rice,13,4,0.31
26,15,Ball State,13,4,0.31
27,15,Tulsa,14,4,0.29
28,29,Auburn,12,3,0.25
29,29,South Florida,12,3,0.25
30,29,North Carolina,12,3,0.25
31,29,Boston College,12,3,0.25
32,29,Colorado,12,3,0.25
33,29,Cincinnati,13,3,0.23
34,29,Oklahoma State,13,3,0.23
35,29,Arizona State,13,3,0.23
36,29,Duke,13,3,0.23
37,29,East Carolina,13,3,0.23
38,29,Bowling Green,13,3,0.23
39,29,Kansas State,13,3,0.23
40,29,Syracuse,13,3,0.23
41,29,Louisiana-Lafayette,13,3,0.23
42,29,Alabama,14,3,0.21
43,29,UCF,14,3,0.21
44,45,Temple,11,2,0.18
45,45,Miami (Florida),12,2,0.17
46,45,Wyoming,12,2,0.17
47,45,Western Michigan,12,2,0.17
48,45,Penn State,12,2,0.17
49,45,Arkansas,12,2,0.17
50,45,Massachusetts,12,2,0.17
51,45,Louisiana Tech,12,2,0.17
52,45,Kansas,12,2,0.17
53,45,Tennessee,12,2,0.17
54,45,Tulane,12,2,0.17
55,45,Connecticut,12,2,0.17
56,45,Louisiana-Monroe,13,2,0.15
57,45,Western Kentucky,13,2,0.15
58,45,Fresno State,13,2,0.15
59,45,LSU,13,2,0.15
60,45,San Diego State,13,2,0.15
61,45,Texas A&M,13,2,0.15
62,45,Air Force,13,2,0.15
63,45,Iowa State,13,2,0.15
64,45,Clemson,13,2,0.15
65,45,Mississippi State,13,2,0.15
66,45,Wisconsin,14,2,0.14
67,68,Michigan State,13,1,0.08
68,68,Middle Tennessee,12,1,0.08
69,68,Michigan,13,1,0.08
70,68,Arkansas State,13,1,0.08
71,68,Central Michigan,13,1,0.08
72,68,South Carolina,13,1,0.08
73,68,Louisville,13,1,0.08
74,68,Oregon,13,1,0.08
75,68,Oregon State,13,1,0.08
76,68,North Carolina State,13,1,0.08
77,68,Notre Dame,13,1,0.08
78,68,San Jose State,13,1,0.08
79,68,Washington State,12,1,0.08
80,68,Ohio,13,1,0.08
81,68,California,12,1,0.08
82,68,Florida Atlantic,12,1,0.08
83,68,Virginia Tech,13,1,0.08
84,68,Wake Forest,12,1,0.08
85,68,Northwestern,13,1,0.08
86,68,Vanderbilt,13,1,0.08
87,68,Utah,12,1,0.08
88,68,TCU,13,1,0.08
89,68,Boise State,13,1,0.08
90,68,Idaho,12,1,0.08
91,68,Iowa,12,1,0.08
92,68,Mississippi,13,1,0.08
93,68,Missouri,12,1,0.08
94,68,Troy,12,1,0.08
95,68,Houston,12,1,0.08
96,68,Minnesota,13,1,0.08
97,68,Indiana,12,1,0.08
98,68,Illinois,12,1,0.08
99,68,Pittsburgh,13,1,0.08
100,68,Georgia Tech,14,1,0.07
101,68,Nebraska,14,1,0.07
