,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Army,12,806,4438,5.51,32,67.17,369.83
1,2,Air Force,13,804,4111,5.11,39,61.85,316.23
2,3,Oregon,13,686,4098,5.97,48,52.77,315.23
3,4,Georgia Tech,14,808,4357,5.39,48,57.71,311.21
4,5,New Mexico,13,688,3916,5.69,34,52.92,301.23
5,6,Navy,13,700,3620,5.17,28,53.85,278.46
6,7,Nevada,13,674,3523,5.23,41,51.85,271.00
7,8,Nebraska,14,662,3547,5.36,33,47.29,253.36
8,9,Tulsa,14,689,3440,4.99,41,49.21,245.71
9,10,Ohio State,12,559,2907,5.20,37,46.58,242.25
10,11,Texas A&M,13,533,3147,5.90,46,41.00,242.08
11,12,Northern Illinois,14,613,3335,5.44,44,43.79,238.21
12,13,Wisconsin,14,635,3309,5.21,38,45.36,236.36
13,14,Baylor,13,597,3012,5.05,38,45.92,231.69
14,15,Arizona,13,544,2961,5.44,33,41.85,227.77
15,16,Alabama,14,570,3185,5.59,37,40.71,227.50
16,17,Louisiana Tech,12,521,2726,5.23,47,43.42,227.17
17,18,Kent State,14,584,3161,5.41,36,41.71,225.79
18,19,Northwestern,13,595,2932,4.93,31,45.77,225.54
19,20,San Diego State,13,578,2869,4.96,30,44.46,220.69
20,21,Oklahoma State,13,519,2799,5.39,35,39.92,215.31
21,22,Kansas,12,558,2540,4.55,19,46.50,211.67
22,23,Arkansas State,13,540,2700,5.00,31,41.54,207.69
23,24,Florida State,14,513,2882,5.62,40,36.64,205.86
24,25,Arizona State,13,599,2669,4.46,27,46.08,205.31
25,26,Utah State,13,473,2653,5.61,30,36.38,204.08
26,27,Ohio,13,596,2643,4.43,24,45.85,203.31
27,28,Ball State,13,543,2642,4.87,24,41.77,203.23
28,29,Rice,13,625,2623,4.20,26,48.08,201.77
29,30,Cincinnati,13,492,2619,5.32,25,37.85,201.46
30,31,Temple,11,468,2213,4.73,21,42.55,201.18
31,32,Kansas State,13,526,2522,4.79,42,40.46,194.00
32,33,North Carolina,12,457,2326,5.09,28,38.08,193.83
33,34,Louisiana-Lafayette,13,480,2515,5.24,33,36.92,193.46
34,35,Toledo,13,521,2512,4.82,21,40.08,193.23
35,36,Clemson,13,588,2489,4.23,26,45.23,191.46
36,37,UCLA,14,599,2671,4.46,29,42.79,190.79
37,38,Notre Dame,13,506,2462,4.87,23,38.92,189.38
38,39,Florida,13,539,2440,4.53,22,41.46,187.69
39,40,Syracuse,13,555,2431,4.38,21,42.69,187.00
40,41,Michigan,13,502,2389,4.76,27,38.62,183.77
41,42,California,12,451,2196,4.87,18,37.58,183.00
42,43,Georgia,14,525,2556,4.87,32,37.50,182.57
43,44,Western Kentucky,13,506,2367,4.68,21,38.92,182.08
44,45,UCF,14,527,2545,4.83,33,37.64,181.79
45,46,Texas State,12,413,2152,5.21,24,34.42,179.33
46,47,Middle Tennessee,12,468,2120,4.53,19,39.00,176.67
47,47,Buffalo,12,486,2120,4.36,13,40.50,176.67
48,49,Texas,13,493,2270,4.60,33,37.92,174.62
49,50,Stanford,14,549,2440,4.44,23,39.21,174.29
50,51,Mississippi,13,553,2262,4.09,25,42.54,174.00
51,52,LSU,13,527,2258,4.28,29,40.54,173.69
52,53,North Texas,12,478,2077,4.35,17,39.83,173.08
53,54,West Virginia,13,469,2222,4.74,21,36.08,170.92
54,55,Marshall,12,480,2030,4.23,24,40.00,169.17
55,56,Boise State,13,478,2186,4.57,25,36.77,168.15
56,57,Troy,12,457,2007,4.39,22,38.08,167.25
57,58,Vanderbilt,13,524,2162,4.13,25,40.31,166.31
58,59,Purdue,13,475,2135,4.49,16,36.54,164.23
59,60,Eastern Michigan,12,448,1950,4.35,13,37.33,162.50
60,61,Oklahoma,13,434,2103,4.85,30,33.38,161.77
61,62,Tennessee,12,413,1924,4.66,18,34.42,160.33
62,63,Southern Mississippi,12,478,1857,3.88,17,39.83,154.75
63,64,Bowling Green,13,453,1994,4.40,19,34.85,153.38
64,65,BYU,13,505,1991,3.94,22,38.85,153.15
65,66,TCU,13,512,1977,3.86,13,39.38,152.08
66,67,South Florida,12,426,1824,4.28,14,35.50,152.00
67,68,Fresno State,13,471,1975,4.19,19,36.23,151.92
68,68,Minnesota,13,517,1975,3.82,14,39.77,151.92
69,70,Memphis,12,489,1821,3.72,18,40.75,151.75
70,71,Houston,12,393,1809,4.60,18,32.75,150.75
71,72,USC,13,392,1958,4.99,12,30.15,150.62
72,73,UTSA,10,351,1504,4.28,13,35.10,150.40
73,74,Central Michigan,13,415,1952,4.70,22,31.92,150.15
74,75,Iowa State,13,465,1951,4.20,10,35.77,150.08
75,76,Western Michigan,12,404,1794,4.44,17,33.67,149.50
76,77,Michigan State,13,492,1942,3.95,13,37.85,149.38
77,78,UNLV,13,452,1938,4.29,16,34.77,149.08
78,79,UTEP,12,455,1782,3.92,13,37.92,148.50
79,80,Auburn,12,438,1781,4.07,16,36.50,148.42
80,81,Virginia Tech,13,507,1896,3.74,18,39.00,145.85
81,82,Florida International,12,489,1744,3.57,20,40.75,145.33
82,83,Miami (Florida),12,371,1737,4.68,19,30.92,144.75
83,84,Mississippi State,13,424,1874,4.42,18,32.62,144.15
84,85,Penn State,12,475,1727,3.64,18,39.58,143.92
85,86,Washington,13,466,1851,3.97,19,35.85,142.38
86,87,Louisiana-Monroe,13,450,1847,4.10,24,34.62,142.08
87,88,Texas Tech,13,399,1819,4.56,15,30.69,139.92
88,89,Kentucky,12,403,1665,4.13,13,33.58,138.75
89,90,Missouri,12,453,1662,3.67,16,37.75,138.50
90,91,South Carolina,13,491,1800,3.67,19,37.77,138.46
91,92,East Carolina,13,459,1760,3.83,23,35.31,135.38
92,93,Utah,12,446,1605,3.60,17,37.17,133.75
93,94,Pittsburgh,13,489,1730,3.54,19,37.62,133.08
94,95,SMU,13,400,1716,4.29,22,30.77,132.00
95,96,Indiana,12,398,1560,3.92,21,33.17,130.00
96,97,Colorado State,12,399,1546,3.87,12,33.25,128.83
97,98,Virginia,12,417,1542,3.70,10,34.75,128.50
98,99,Illinois,12,443,1534,3.46,12,36.92,127.83
99,100,Duke,13,439,1628,3.71,18,33.77,125.23
100,101,Oregon State,13,442,1617,3.66,26,34.00,124.38
101,102,Wyoming,12,441,1492,3.38,13,36.75,124.33
102,103,South Alabama,13,489,1606,3.28,10,37.62,123.54
103,104,Iowa,12,404,1476,3.65,15,33.67,123.00
104,105,Louisville,13,462,1595,3.45,23,35.54,122.69
105,106,Rutgers,13,431,1578,3.66,6,33.15,121.38
106,107,Arkansas,12,367,1424,3.88,12,30.58,118.67
107,108,Akron,12,365,1373,3.76,9,30.42,114.42
108,109,San Jose State,13,446,1475,3.31,17,34.31,113.46
109,110,North Carolina State,13,471,1444,3.07,12,36.23,111.08
110,111,Florida Atlantic,12,410,1327,3.24,12,34.17,110.58
111,112,UAB,12,416,1323,3.18,19,34.67,110.25
112,113,Colorado,12,426,1318,3.09,16,35.50,109.83
113,114,Hawai'i,12,439,1303,2.97,12,36.58,108.58
114,115,Maryland,12,472,1236,2.62,11,39.33,103.00
115,116,Wake Forest,12,402,1206,3.00,15,33.50,100.50
116,117,New Mexico State,12,389,1171,3.01,11,32.42,97.58
117,118,Massachusetts,12,410,1099,2.68,8,34.17,91.58
118,119,Boston College,12,345,1091,3.16,7,28.75,90.92
119,120,Idaho,12,350,1056,3.02,3,29.17,88.00
120,121,Connecticut,12,419,1055,2.52,10,34.92,87.92
121,122,Miami (Ohio),12,339,1039,3.06,7,28.25,86.58
122,123,Tulane,12,280,475,1.70,3,23.33,39.58
123,124,Washington State,12,252,349,1.38,6,21.00,29.08
