,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Penn State,12,47.0,227,3.92
1,2,Army,12,49.0,151,4.08
2,2,Ball State,13,49.0,171,3.77
3,2,Western Michigan,12,49.0,202,4.08
4,5,UTSA,10,50.0,145,5.00
5,6,Louisiana Tech,12,52.0,152,4.33
6,6,Tennessee,12,52.0,185,4.33
7,6,Texas,13,52.0,240,4.00
8,9,Middle Tennessee,12,53.0,159,4.42
9,10,UNLV,13,54.0,216,4.15
10,11,Syracuse,13,55.0,174,4.23
11,12,Miami (Florida),12,56.0,205,4.67
12,13,Notre Dame,13,57.0,189,4.39
13,13,Arkansas,12,57.0,264,4.75
14,15,Northern Illinois,14,58.0,175,4.14
15,15,Indiana,12,58.0,180,4.83
16,15,Kansas State,13,58.0,207,4.46
17,15,Troy,12,58.0,211,4.83
18,15,Duke,13,58.0,246,4.46
19,20,Louisiana-Lafayette,13,59.0,184,4.54
20,20,Baylor,13,59.0,185,4.54
21,20,Western Kentucky,13,59.0,228,4.54
22,20,Minnesota,13,59.0,243,4.54
23,20,Michigan State,13,59.0,262,4.54
24,25,Oklahoma State,13,60.0,171,4.62
25,25,Houston,12,60.0,237,5.00
26,25,Oklahoma,13,60.0,239,4.62
27,25,South Florida,12,60.0,258,5.00
28,29,Air Force,13,61.0,154,4.69
29,29,New Mexico,13,61.0,177,4.69
30,29,Idaho,12,61.0,286,5.08
31,32,Central Michigan,13,63.0,213,4.85
32,32,Iowa,12,63.0,229,5.25
33,32,Alabama,14,63.0,288,4.50
34,35,Tulsa,14,64.0,216,4.57
35,35,Michigan,13,64.0,248,4.92
36,35,Eastern Michigan,12,64.0,248,5.33
37,38,Iowa State,13,65.0,228,5.00
38,38,Mississippi State,13,65.0,238,5.00
39,38,Texas State,12,65.0,239,5.42
40,38,Stanford,14,65.0,244,4.64
41,38,Louisiana-Monroe,13,65.0,250,5.00
42,38,Temple,11,65.0,266,5.91
43,44,Texas Tech,13,66.0,253,5.08
44,44,Utah State,13,66.0,279,5.08
45,44,Navy,13,66.0,288,5.08
46,47,Rutgers,13,67.0,199,5.15
47,47,Bowling Green,13,67.0,213,5.15
48,47,Cincinnati,13,67.0,230,5.15
49,47,North Carolina,12,67.0,233,5.58
50,47,Arkansas State,13,67.0,235,5.15
51,52,Georgia,14,68.0,279,4.86
52,52,Ohio State,12,68.0,294,5.67
53,52,Akron,12,68.0,316,5.67
54,55,Arizona,13,69.0,191,5.31
55,55,Kent State,14,69.0,244,4.93
56,55,Colorado State,12,69.0,257,5.75
57,55,Buffalo,12,69.0,265,5.75
58,55,USC,13,69.0,267,5.31
59,55,Kentucky,12,69.0,283,5.75
60,55,BYU,13,69.0,295,5.31
61,55,TCU,13,69.0,300,5.31
62,55,Miami (Ohio),12,69.0,303,5.75
63,55,Virginia,12,69.0,305,5.75
64,55,Ohio,13,69.0,356,5.31
65,66,UTEP,12,70.0,275,5.83
66,67,North Texas,12,71.0,189,5.92
67,67,Boise State,13,71.0,197,5.46
68,67,Utah,12,71.0,255,5.92
69,67,Kansas,12,71.0,289,5.92
70,67,Florida State,14,71.0,296,5.07
71,72,Toledo,13,72.0,227,5.54
72,72,Tulane,12,72.0,338,6.00
73,74,Texas A&M,13,73.0,257,5.62
74,75,Northwestern,13,74.0,224,5.69
75,75,SMU,13,74.0,261,5.69
76,75,UCF,14,74.0,268,5.29
77,75,San Diego State,13,74.0,274,5.69
78,75,LSU,13,74.0,333,5.69
79,80,Purdue,13,75.0,305,5.77
80,80,Clemson,13,75.0,310,5.77
81,80,San Jose State,13,75.0,314,5.77
82,83,Wyoming,12,76.0,339,6.33
83,83,Boston College,12,76.0,362,6.33
84,85,Nevada,13,77.0,267,5.92
85,85,Wake Forest,12,77.0,291,6.42
86,85,East Carolina,13,77.0,295,5.92
87,85,Missouri,12,77.0,326,6.42
88,89,Florida International,12,78.0,369,6.50
89,90,Florida Atlantic,12,79.0,250,6.58
90,90,Oregon State,13,79.0,366,6.08
91,90,Florida,13,79.0,377,6.08
92,93,Georgia Tech,14,80.0,241,5.71
93,94,Marshall,12,81.0,302,6.75
94,94,Connecticut,12,81.0,337,6.75
95,94,Fresno State,13,81.0,350,6.23
96,94,Pittsburgh,13,81.0,393,6.23
97,98,Memphis,12,84.0,277,7.00
98,98,Louisville,13,84.0,350,6.46
99,98,New Mexico State,12,84.0,359,7.00
100,98,South Alabama,13,84.0,366,6.46
101,98,Rice,13,84.0,370,6.46
102,103,Virginia Tech,13,85.0,327,6.54
103,103,Hawai'i,12,85.0,389,7.08
104,103,California,12,85.0,391,7.08
105,103,Nebraska,14,85.0,392,6.07
106,103,UAB,12,85.0,417,7.08
107,108,Southern Mississippi,12,86.0,364,7.17
108,108,Wisconsin,14,86.0,387,6.14
109,110,South Carolina,13,87.0,368,6.69
110,111,Vanderbilt,13,88.0,329,6.77
111,111,North Carolina State,13,88.0,371,6.77
112,113,Arizona State,13,90.0,354,6.92
113,114,Washington,13,91.0,348,7.00
114,114,Washington State,12,91.0,447,7.58
115,116,Auburn,12,93.0,378,7.75
116,117,Oregon,13,95.0,352,7.31
117,117,Mississippi,13,95.0,355,7.31
118,119,Illinois,12,97.0,417,8.08
119,119,Colorado,12,97.0,422,8.08
120,121,West Virginia,13,101.0,359,7.77
121,122,Massachusetts,12,103.0,418,8.58
122,123,Maryland,12,108.0,485,9.00
123,124,UCLA,14,117.0,463,8.36
