,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Buffalo,12,70,2581,36.87,5.8,215.1
1,2,Texas,13,51,1904,37.33,3.9,146.5
2,2,San Diego State,13,57,2128,37.33,4.4,163.7
3,4,Army,12,44,1665,37.84,3.7,138.8
4,5,Pittsburgh,13,65,2468,37.97,5.0,189.8
5,6,Kentucky,12,48,1831,38.15,4.0,152.6
6,7,Bowling Green,13,88,3358,38.16,6.8,258.3
7,8,North Carolina,12,68,2603,38.28,5.7,216.9
8,9,Temple,11,51,1966,38.55,4.6,178.7
9,10,Miami (Florida),12,47,1816,38.64,3.9,151.3
10,11,Penn State,12,65,2520,38.77,5.4,210.0
11,12,Ohio,13,73,2840,38.90,5.6,218.5
12,13,UAB,12,53,2062,38.91,4.4,171.8
13,13,Rutgers,13,77,2996,38.91,5.9,230.5
14,15,Virginia Tech,13,90,3509,38.99,6.9,269.9
15,16,Connecticut,12,87,3399,39.07,7.3,283.3
16,17,Mississippi State,13,63,2464,39.11,4.8,189.5
17,18,Northern Illinois,14,73,2856,39.12,5.2,204.0
18,19,Boston College,12,55,2152,39.13,4.6,179.3
19,20,North Carolina State,13,93,3642,39.16,7.2,280.2
20,21,Kansas State,13,52,2037,39.17,4.0,156.7
21,22,Middle Tennessee,12,38,1489,39.18,3.2,124.1
22,23,North Texas,12,57,2239,39.28,4.8,186.6
23,24,South Florida,12,65,2554,39.29,5.4,212.8
24,25,Eastern Michigan,12,46,1812,39.39,3.8,151.0
25,26,Wisconsin,14,98,3862,39.41,7.0,275.9
26,27,Minnesota,13,67,2646,39.49,5.2,203.5
27,28,Washington,13,57,2252,39.51,4.4,173.2
28,29,Louisville,13,52,2057,39.56,4.0,158.2
29,30,Duke,13,53,2097,39.57,4.1,161.3
30,31,Illinois,12,62,2454,39.58,5.2,204.5
31,32,Clemson,13,74,2932,39.62,5.7,225.5
32,33,Florida Atlantic,12,57,2259,39.63,4.8,188.3
33,34,Southern Mississippi,12,48,1910,39.79,4.0,159.2
34,35,Memphis,12,50,1990,39.80,4.2,165.8
35,36,Iowa State,13,70,2788,39.83,5.4,214.5
36,37,Ball State,13,61,2434,39.90,4.7,187.2
37,38,South Alabama,13,67,2676,39.94,5.2,205.8
38,39,Toledo,13,61,2438,39.97,4.7,187.5
39,39,Iowa,12,58,2318,39.97,4.8,193.2
40,41,Vanderbilt,13,79,3159,39.99,6.1,243.0
41,42,Navy,13,37,1482,40.05,2.8,114.0
42,43,Kent State,14,72,2884,40.06,5.1,206.0
43,43,Fresno State,13,87,3485,40.06,6.7,268.1
44,45,Western Michigan,12,61,2444,40.07,5.1,203.7
45,45,Nebraska,14,87,3486,40.07,6.2,249.0
46,47,Georgia,14,80,3208,40.10,5.7,229.1
47,48,Hawai'i,12,68,2728,40.12,5.7,227.3
48,49,Syracuse,13,69,2771,40.16,5.3,213.2
49,50,SMU,13,69,2779,40.28,5.3,213.8
50,51,Purdue,13,61,2463,40.38,4.7,189.5
51,52,Louisiana-Monroe,13,62,2504,40.39,4.8,192.6
52,53,Missouri,12,75,3035,40.47,6.3,252.9
53,54,Florida International,12,68,2753,40.49,5.7,229.4
54,55,Wake Forest,12,56,2268,40.50,4.7,189.0
55,55,Ohio State,12,68,2754,40.50,5.7,229.5
56,57,USC,13,62,2513,40.53,4.8,193.3
57,58,Maryland,12,68,2757,40.54,5.7,229.8
58,59,East Carolina,13,64,2597,40.58,4.9,199.8
59,60,Colorado,12,47,1908,40.60,3.9,159.0
60,60,UCF,14,65,2639,40.60,4.6,188.5
61,62,Miami (Ohio),12,50,2032,40.64,4.2,169.3
62,63,California,12,56,2280,40.71,4.7,190.0
63,63,UTEP,12,56,2280,40.71,4.7,190.0
64,65,Kansas,12,45,1840,40.89,3.8,153.3
