,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Louisiana Tech,12,2726,4209,1054,6935,6.58,577.9
1,2,Baylor,13,3012,4427,1072,7439,6.94,572.2
2,3,Texas A&M,13,3147,4114,1025,7261,7.08,558.5
3,4,Oklahoma State,13,2799,4312,1014,7111,7.01,547.0
4,5,Oregon,13,4098,2888,1059,6986,6.60,537.4
5,6,Marshall,12,2030,4381,1087,6411,5.90,534.3
6,7,Arizona,13,2961,3879,1082,6840,6.32,526.2
7,8,Nevada,13,3523,3170,1080,6693,6.20,514.8
8,9,Clemson,13,2489,4176,1062,6665,6.28,512.7
9,10,West Virginia,13,2222,4285,1001,6507,6.50,500.5
10,11,Troy,12,2007,3978,966,5985,6.20,498.8
11,12,Oklahoma,13,2103,4379,1005,6482,6.45,498.6
12,13,Texas Tech,13,1819,4627,993,6446,6.49,495.8
13,14,North Carolina,12,2326,3501,898,5827,6.49,485.6
14,15,Houston,12,1809,3941,984,5750,5.84,479.2
15,16,Fresno State,13,1975,4233,1006,6208,6.17,477.5
16,17,Syracuse,13,2431,3761,1029,6192,6.02,476.3
17,18,Tennessee,12,1924,3787,890,5711,6.42,475.9
18,19,Florida State,14,2882,3709,941,6591,7.00,470.8
19,20,Northern Illinois,14,3335,3239,1023,6574,6.43,469.6
20,21,Utah State,13,2653,3445,893,6098,6.83,469.1
21,22,Georgia,14,2556,3991,924,6547,7.09,467.6
22,23,Arkansas State,13,2700,3367,951,6067,6.38,466.7
23,24,UCLA,14,2671,3860,1095,6531,5.96,466.5
24,25,Arizona State,13,2669,3370,1012,6039,5.97,464.5
25,26,Nebraska,14,3547,2904,1040,6451,6.20,460.8
26,27,Ball State,13,2642,3302,1035,5944,5.74,457.2
27,28,Tulsa,14,3440,2960,1160,6400,5.52,457.1
28,29,Louisiana-Lafayette,13,2515,3399,873,5914,6.77,454.9
29,30,San Jose State,13,1475,4325,914,5800,6.35,446.2
30,31,Alabama,14,3185,3052,898,6237,6.95,445.5
31,32,Toledo,13,2512,3276,962,5788,6.02,445.2
32,33,Ohio,13,2643,3139,998,5782,5.79,444.8
33,34,Indiana,12,1560,3744,935,5304,5.67,442.0
34,35,Georgia Tech,14,4357,1818,1002,6175,6.16,441.1
35,36,Cincinnati,13,2619,3104,863,5723,6.63,440.2
36,36,Miami (Florida),12,1737,3545,818,5282,6.46,440.2
37,38,Western Michigan,12,1794,3477,915,5271,5.76,439.3
38,39,Army,12,4438,797,921,5235,5.68,436.3
39,40,Texas,13,2270,3380,891,5650,6.34,434.6
40,41,USC,13,1958,3670,853,5628,6.60,432.9
41,42,Louisiana-Monroe,13,1847,3779,989,5626,5.69,432.8
42,43,Oregon State,13,1617,3992,947,5609,5.92,431.5
43,44,Rice,13,2623,2933,1026,5556,5.42,427.4
44,45,Akron,12,1373,3753,948,5126,5.41,427.2
45,46,Ohio State,12,2907,2178,837,5085,6.08,423.8
46,46,Mississippi,13,2262,3247,962,5509,5.73,423.8
47,48,North Carolina State,13,1444,4031,1040,5475,5.26,421.2
48,49,Arkansas,12,1424,3618,826,5042,6.10,420.2
49,50,UAB,12,1323,3706,895,5029,5.62,419.1
50,51,Louisville,13,1595,3849,918,5444,5.93,418.8
51,51,Air Force,13,4111,1334,955,5445,5.70,418.8
52,53,Penn State,12,1727,3283,931,5010,5.38,417.5
53,54,Notre Dame,13,2462,2896,894,5358,5.99,412.2
54,55,Duke,13,1628,3691,990,5319,5.37,409.2
55,56,East Carolina,13,1760,3551,947,5311,5.61,408.5
56,57,UCF,14,2545,3158,939,5703,6.07,407.4
57,58,Purdue,13,2135,3100,957,5235,5.47,402.7
58,59,Kansas State,13,2522,2701,841,5223,6.21,401.8
59,60,BYU,13,1991,3214,1003,5205,5.19,400.4
60,61,San Diego State,13,2869,2287,887,5156,5.81,396.6
61,62,Virginia,12,1542,3216,891,4758,5.34,396.5
62,63,Northwestern,13,2932,2198,964,5130,5.32,394.6
63,64,Central Michigan,13,1952,3170,828,5122,6.19,394.0
64,65,Wisconsin,14,3309,2197,926,5506,5.95,393.3
65,66,Middle Tennessee,12,2120,2593,812,4713,5.80,392.8
66,67,North Texas,12,2077,2629,853,4706,5.52,392.2
67,68,Boise State,13,2186,2901,872,5087,5.83,391.3
68,68,California,12,2196,2499,817,4695,5.75,391.3
69,70,UTSA,10,1504,2403,680,3907,5.75,390.7
70,71,Pittsburgh,13,1730,3341,884,5071,5.74,390.1
71,72,Wyoming,12,1492,3180,852,4672,5.48,389.3
72,73,TCU,13,1977,3075,914,5052,5.53,388.6
73,74,Kent State,14,3161,2275,942,5436,5.77,388.3
74,75,Western Kentucky,13,2367,2667,841,5034,5.99,387.2
75,76,Miami (Ohio),12,1039,3584,834,4623,5.54,385.3
76,77,Florida International,12,1744,2861,858,4605,5.37,383.8
77,78,Navy,13,3620,1362,872,4982,5.71,383.2
78,79,Michigan,13,2389,2591,820,4980,6.07,383.1
79,80,Mississippi State,13,1874,3091,848,4965,5.85,381.9
80,81,Texas State,12,2152,2405,774,4557,5.89,379.8
81,82,Vanderbilt,13,2162,2774,874,4936,5.65,379.7
82,83,Virginia Tech,13,1896,3002,944,4898,5.19,376.8
83,84,South Carolina,13,1800,3095,856,4895,5.72,376.5
84,85,Buffalo,12,2120,2391,866,4511,5.21,375.9
85,86,Stanford,14,2440,2802,948,5242,5.53,374.4
86,87,LSU,13,2258,2607,883,4865,5.51,374.2
87,88,UTEP,12,1782,2688,831,4470,5.38,372.5
88,89,New Mexico,13,3916,895,842,4811,5.71,370.1
89,90,South Florida,12,1824,2586,836,4410,5.28,367.5
90,90,UNLV,13,1938,2839,919,4777,5.20,367.5
91,92,SMU,13,1716,3059,916,4775,5.21,367.3
92,93,Bowling Green,13,1994,2757,895,4751,5.31,365.5
93,94,Iowa State,13,1951,2783,923,4734,5.13,364.2
94,95,Kansas,12,2540,1784,871,4324,4.96,360.3
95,96,Washington State,12,349,3965,876,4314,4.92,359.5
96,97,Michigan State,13,1942,2729,957,4671,4.88,359.3
97,98,Missouri,12,1662,2615,867,4277,4.93,356.4
98,99,Washington,13,1851,2767,904,4618,5.11,355.2
99,100,Boston College,12,1091,3102,818,4193,5.13,349.4
100,101,Florida Atlantic,12,1327,2851,826,4178,5.06,348.2
101,102,Colorado State,12,1546,2522,750,4068,5.42,339.0
102,103,New Mexico State,12,1171,2853,791,4024,5.09,335.3
103,104,Florida,13,2440,1902,827,4342,5.25,334.0
104,105,Eastern Michigan,12,1950,2054,756,4004,5.30,333.7
105,106,South Alabama,13,1606,2728,938,4334,4.62,333.4
106,107,Rutgers,13,1578,2711,823,4289,5.21,329.9
107,108,Utah,12,1605,2288,797,3893,4.88,324.4
108,109,Southern Mississippi,12,1857,2019,791,3876,4.90,323.0
109,110,Temple,11,2213,1329,689,3542,5.14,322.0
110,111,Minnesota,13,1975,2203,847,4178,4.93,321.4
111,112,Tulane,12,475,3359,816,3834,4.70,319.5
112,113,Memphis,12,1821,1999,772,3820,4.95,318.3
113,113,Connecticut,12,1055,2765,807,3820,4.73,318.3
114,115,Kentucky,12,1665,2115,790,3780,4.78,315.0
115,116,Idaho,12,1056,2690,799,3746,4.69,312.2
116,117,Iowa,12,1476,2249,793,3725,4.70,310.4
117,118,Auburn,12,1781,1879,695,3660,5.27,305.0
118,119,Colorado,12,1318,2309,829,3627,4.38,302.3
119,120,Wake Forest,12,1206,2410,829,3616,4.36,301.3
120,121,Hawai'i,12,1303,2266,837,3569,4.26,297.4
121,122,Illinois,12,1534,2026,797,3560,4.47,296.7
122,123,Maryland,12,1236,2181,776,3417,4.40,284.8
123,124,Massachusetts,12,1099,2240,854,3339,3.91,278.3
