,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Army,12,133,33,11,6,5,2,2,0,0
1,2,Oregon,13,128,43,21,12,8,4,4,2,0
2,3,Georgia Tech,14,116,41,18,8,5,3,2,0,0
3,4,Navy,13,114,27,12,5,2,1,1,0,0
4,5,Air Force,13,111,29,12,8,4,1,0,0,0
5,6,Nebraska,14,110,35,13,9,7,5,4,1,1
6,6,New Mexico,13,110,37,20,13,7,3,2,0,0
7,8,Wisconsin,14,108,36,15,13,9,4,0,0,0
8,9,Alabama,14,107,27,11,4,1,1,1,0,0
9,10,Nevada,13,106,30,11,8,3,1,0,0,0
10,11,Northern Illinois,14,102,27,14,9,5,3,3,1,0
11,12,Florida State,14,99,28,13,7,3,3,2,1,0
12,12,Ohio State,12,99,26,11,5,4,3,1,0,0
13,14,Arizona,13,98,25,8,4,3,3,2,0,0
14,15,Oklahoma State,13,97,24,10,6,3,2,0,0,0
15,16,Ohio,13,93,22,9,6,3,0,0,0,0
16,17,Arizona State,13,92,17,4,1,1,0,0,0,0
17,17,Kent State,14,92,35,19,11,5,4,3,1,0
18,17,Tulsa,14,92,26,13,10,6,5,4,1,0
19,20,Baylor,13,91,25,12,6,3,3,2,1,0
20,21,Florida,13,90,24,14,5,3,2,2,1,0
21,21,Texas A&M,13,90,40,21,8,4,1,1,0,0
22,23,Northwestern,13,88,27,11,5,2,2,2,1,0
23,23,UCLA,14,88,28,13,7,5,3,3,0,0
24,25,Arkansas State,13,87,17,10,3,2,1,1,0,0
25,26,Kansas State,13,86,17,6,2,1,1,1,1,1
26,26,Mississippi,13,86,14,6,3,2,1,0,0,0
27,28,Clemson,13,85,21,5,4,2,1,0,0,0
28,28,San Diego State,13,85,22,13,8,4,3,2,2,0
29,28,West Virginia,13,85,18,9,5,4,2,2,0,0
30,31,Cincinnati,13,84,28,9,6,4,1,1,0,0
31,32,Temple,11,83,23,11,4,2,1,0,0,0
32,33,Louisiana-Lafayette,13,82,18,9,7,4,3,2,0,0
33,34,Louisiana Tech,12,81,19,9,4,2,1,1,1,0
34,35,Kansas,12,80,17,9,7,4,2,0,0,0
35,36,Georgia,14,78,27,11,8,6,3,2,0,0
