,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Arkansas,12,58,3750,64.66,39,67.24,0,1
1,2,UCLA,14,89,5717,64.24,68,76.40,0,2
2,3,Auburn,12,48,3083,64.23,33,68.75,1,1
3,4,Tulane,12,56,3585,64.02,31,55.36,2,2
4,5,Stanford,14,74,4732,63.95,32,43.24,4,0
5,6,North Carolina State,13,73,4659,63.82,41,56.16,0,2
6,7,Rice,13,80,5102,63.78,49,61.25,1,2
7,8,New Mexico,13,64,4070,63.59,29,45.31,4,1
8,9,Memphis,12,55,3497,63.58,36,65.45,4,2
9,10,South Florida,12,56,3558,63.54,37,66.07,1,1
10,11,Temple,11,56,3556,63.50,40,71.43,0,1
11,12,Alabama,14,99,6285,63.48,46,46.46,0,0
12,13,North Texas,12,51,3229,63.31,25,49.02,0,3
13,14,Michigan State,13,60,3792,63.20,29,48.33,2,0
14,15,UAB,12,65,4104,63.14,32,49.23,0,6
15,16,Texas A&M,13,103,6497,63.08,65,63.11,0,1
16,17,Clemson,13,97,6115,63.04,50,51.55,0,1
17,18,Florida,13,72,4538,63.03,33,45.83,2,3
18,19,Cincinnati,13,82,5168,63.02,37,45.12,0,1
19,19,Washington State,12,48,3025,63.02,18,37.50,0,3
20,21,Illinois,12,43,2708,62.98,23,53.49,0,3
21,22,Utah State,13,82,5162,62.95,29,35.37,1,0
22,23,Florida State,14,104,6546,62.94,43,41.35,2,1
23,24,Georgia,14,92,5788,62.91,37,40.22,1,0
24,24,Texas State,12,64,4026,62.91,30,46.88,0,3
25,26,SMU,13,77,4838,62.83,29,37.66,1,2
26,27,East Carolina,13,75,4709,62.79,26,34.67,2,1
27,28,Army,12,53,3327,62.77,29,54.72,1,5
28,29,Iowa,12,51,3195,62.65,21,41.18,0,2
29,30,Duke,13,77,4823,62.64,29,37.66,2,5
30,31,Iowa State,13,64,4008,62.63,23,35.94,0,2
31,32,Notre Dame,13,71,4445,62.61,26,36.62,0,0
32,33,Mississippi,13,80,5007,62.59,35,43.75,1,0
33,34,Oklahoma State,13,110,6870,62.45,75,68.18,1,2
34,34,Florida International,12,58,3622,62.45,29,50.00,1,2
35,36,Houston,12,75,4679,62.39,26,34.67,2,3
36,37,Minnesota,13,55,3427,62.31,27,49.09,0,3
37,38,Virginia,12,54,3360,62.22,25,46.30,0,2
38,39,Oklahoma,13,93,5785,62.20,35,37.63,1,0
39,40,Ohio,13,86,5348,62.19,33,38.37,0,0
40,41,Florida Atlantic,12,50,3106,62.12,14,28.00,0,0
41,42,Nebraska,14,96,5940,61.88,57,59.38,2,0
42,43,Utah,12,61,3774,61.87,25,40.98,0,0
43,44,Tulsa,14,89,5505,61.85,39,43.82,0,0
44,44,Wake Forest,12,46,2845,61.85,25,54.35,2,1
45,46,UCF,14,89,5501,61.81,31,34.83,3,0
46,47,Connecticut,12,47,2900,61.70,16,34.04,1,1
47,48,Tennessee,12,78,4810,61.67,25,32.05,5,1
48,49,Toledo,13,85,5234,61.58,23,27.06,2,2
49,50,Oregon State,13,82,5047,61.55,36,43.90,4,0
