,Rank,Name,Team,Yr,Pos,G,Rush,Recv.,Punt Ret.,Kick Ret.,Plays,Total Yards,Yards/Play,Yards/G
90,91,DeeJay Dallas,Miami (Fl),SO,RB,13,617,85,191,367,147,1260,8.6,96.9
91,92,KeeSean Johnson,Fresno St,SR,WR,14,14,1340,0,0,103,1354,13.1,96.7
92,93,Jeff Thomas,Miami (Fl),SO,WR,11,19,563,221,260,55,1063,19.3,96.6
93,94,David Pindell,U Conn,SR,QB,12,1139,16,0,0,213,1155,5.4,96.3
94,95,D'Andre Swift,Georgia,SO,RB,14,1049,297,0,0,195,1346,6.9,96.1
95,95,Patrick Laird,California,SR,RB,13,961,288,0,0,274,1249,4.6,96.1
96,97,Jordan Cronkrite,S Florida,JR,RB,12,1121,30,0,0,191,1151,6.0,95.9
97,98,Frankie Hickson,Liberty,JR,RB,12,1032,57,0,57,244,1146,4.7,95.5
98,99,Ihmir Smith-Marsette,Iowa,SO,WR,12,71,361,0,707,56,1139,20.3,94.9
99,100,Elijah Mitchell,La-Lafytte,SO,RB,14,977,349,0,0,165,1326,8.0,94.7
