,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Baylor,13,175,176,26,377,29.0
1,2,Houston,14,115,258,20,393,28.1
2,3,Texas A&M,13,134,189,22,345,26.5
3,3,Nevada,13,169,156,19,344,26.5
4,5,Texas Tech,12,103,192,19,314,26.2
5,6,Oklahoma State,13,100,222,16,338,26.0
6,7,Oklahoma,13,117,206,14,337,25.9
7,8,Arizona,12,78,203,28,309,25.8
8,9,Boise State,13,108,202,24,334,25.7
9,10,Stanford,13,131,172,22,325,25.0
10,11,Western Michigan,13,86,204,30,320,24.6
11,11,USC,12,111,155,29,295,24.6
12,13,Missouri,13,175,126,15,316,24.3
13,13,South Florida,12,128,142,22,292,24.3
14,15,Oregon,14,188,131,20,339,24.2
15,16,Northern Illinois,14,158,149,26,333,23.8
16,16,Toledo,13,142,152,15,309,23.8
17,16,Arizona State,13,92,185,32,309,23.8
18,19,BYU,13,123,159,24,306,23.5
19,19,Notre Dame,13,116,162,28,306,23.5
20,19,Northwestern,13,136,150,19,305,23.5
21,22,Southern Mississippi,14,152,149,27,328,23.4
22,22,Ohio,14,156,152,19,327,23.4
23,22,Arkansas State,13,120,169,15,304,23.4
24,25,Wisconsin,14,164,144,18,326,23.3
25,25,Washington State,12,76,174,29,279,23.3
26,27,Air Force,13,204,78,19,301,23.2
27,27,West Virginia,13,91,187,23,301,23.2
28,29,East Carolina,12,82,179,10,271,22.6
29,30,Clemson,14,115,182,18,315,22.5
30,30,Hawai'i,13,67,197,28,292,22.5
31,32,Tulsa,13,125,145,17,287,22.1
32,33,Louisiana-Monroe,12,91,147,25,263,21.9
33,34,TCU,13,134,127,21,282,21.7
34,34,Middle Tennessee,12,104,140,16,260,21.7
35,36,San Diego State,13,114,148,19,281,21.6
36,37,Alabama,13,134,135,11,280,21.5
37,37,California,13,102,145,32,279,21.5
38,37,Arkansas,13,93,166,20,279,21.5
39,40,Navy,12,201,40,14,255,21.3
40,41,Army,12,218,27,9,254,21.2
41,42,Virginia Tech,14,146,133,17,296,21.1
42,42,Georgia,14,121,155,20,296,21.1
43,42,Washington,13,103,148,23,274,21.1
44,45,Utah State,13,163,97,13,273,21.0
45,45,Iowa State,13,124,127,22,273,21.0
46,45,UCF,12,113,128,11,252,21.0
