,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Western Michigan,13,57,57,100.0,4.4,4.4
1,1,Georgia Tech,13,57,57,100.0,4.4,4.4
2,1,Washington,13,57,57,100.0,4.4,4.4
3,1,USC,12,50,50,100.0,4.2,4.2
4,1,Texas Tech,12,50,50,100.0,4.2,4.2
5,1,Missouri,13,53,53,100.0,4.1,4.1
6,1,Northwestern,13,50,50,100.0,3.8,3.8
7,1,Temple,13,50,50,100.0,3.8,3.8
8,1,North Carolina,13,49,49,100.0,3.8,3.8
9,1,Georgia,14,52,52,100.0,3.7,3.7
10,1,Notre Dame,13,48,48,100.0,3.7,3.7
11,1,BYU,13,48,48,100.0,3.7,3.7
12,1,Fresno State,13,47,47,100.0,3.6,3.6
13,1,South Florida,12,42,42,100.0,3.5,3.5
14,1,Michigan State,14,48,48,100.0,3.4,3.4
15,1,Texas,13,44,44,100.0,3.4,3.4
16,1,Iowa,13,44,44,100.0,3.4,3.4
17,1,Florida State,13,44,44,100.0,3.4,3.4
18,1,Miami (Florida),12,39,39,100.0,3.3,3.3
19,1,UCF,12,38,38,100.0,3.2,3.2
20,1,Ball State,12,37,37,100.0,3.1,3.1
21,1,Florida International,13,37,37,100.0,2.8,2.8
22,1,Duke,12,33,33,100.0,2.8,2.8
23,1,Central Michigan,12,32,32,100.0,2.7,2.7
24,1,Illinois,13,34,34,100.0,2.6,2.6
25,1,Marshall,13,33,33,100.0,2.5,2.5
26,1,Florida,13,33,33,100.0,2.5,2.5
27,1,Virginia,13,32,32,100.0,2.5,2.5
28,1,Indiana,12,30,30,100.0,2.5,2.5
29,1,San Jose State,12,30,30,100.0,2.5,2.5
30,1,UNLV,12,24,24,100.0,2.0,2.0
31,1,Florida Atlantic,12,18,18,100.0,1.5,1.5
32,1,New Mexico,12,18,18,100.0,1.5,1.5
33,34,Houston,14,92,91,98.9,6.6,6.5
34,35,Oklahoma State,13,80,79,98.8,6.2,6.1
35,35,Oregon,14,81,80,98.8,5.8,5.7
36,37,Toledo,13,67,66,98.5,5.2,5.1
37,38,Southern Mississippi,14,62,61,98.4,4.4,4.4
38,39,Utah State,13,58,57,98.3,4.5,4.4
39,40,Michigan,13,55,54,98.2,4.2,4.2
40,41,Arizona State,13,53,52,98.1,4.1,4.0
