,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Arizona State,13,16,6,6,3,3,3,3
1,1,Hawai'i,13,16,4,1,0,0,0,0
2,3,TCU,13,15,7,5,5,4,3,2
3,3,UTEP,12,15,7,3,2,1,0,0
4,3,Washington,13,15,6,3,1,0,0,0
5,6,Utah State,13,14,8,3,0,0,0,0
6,7,Auburn,13,13,5,3,3,2,2,1
7,7,Clemson,14,13,3,3,2,2,1,0
8,7,Colorado State,12,13,6,2,1,0,0,0
9,7,Connecticut,12,13,2,2,1,0,0,0
10,7,Iowa State,13,13,7,3,0,0,0,0
11,7,Louisiana Tech,13,13,4,1,1,1,1,0
12,7,New Mexico State,13,13,6,4,3,3,3,3
13,7,UCF,12,13,5,3,2,1,0,0
14,7,Western Kentucky,12,13,6,5,4,4,1,1
15,16,Kansas State,13,12,5,3,3,3,3,2
16,16,Marshall,13,12,3,2,1,0,0,0
17,16,West Virginia,13,12,3,3,3,2,2,2
18,19,Florida International,13,11,5,4,3,1,0,0
19,19,Louisiana-Monroe,12,11,6,4,2,2,2,2
20,19,Michigan State,14,11,5,2,2,0,0,0
21,19,Notre Dame,13,11,4,2,2,2,2,1
22,19,Toledo,13,11,4,2,2,1,1,0
23,19,UCLA,14,11,2,1,1,1,0,0
24,19,UNLV,12,11,5,2,2,2,2,2
25,26,Central Michigan,12,10,1,0,0,0,0,0
26,26,Florida,13,10,4,4,3,2,2,2
27,26,North Carolina,13,10,3,2,1,1,1,1
28,26,Northwestern,13,10,6,1,1,0,0,0
29,26,Ohio,14,10,5,4,4,2,0,0
30,26,Purdue,13,10,8,4,4,4,2,1
31,26,Southern Mississippi,14,10,2,2,1,0,0,0
32,26,Syracuse,12,10,5,2,2,2,1,1
33,26,Texas Tech,12,10,6,1,0,0,0,0
34,26,Utah,13,10,3,1,1,0,0,0
35,26,Western Michigan,13,10,5,1,0,0,0,0
36,37,Arkansas,13,9,2,2,2,2,2,1
37,37,Bowling Green,12,9,3,3,2,2,1,0
38,37,Cincinnati,13,9,4,3,3,2,1,1
39,37,Fresno State,13,9,4,0,0,0,0,0
40,37,Georgia,14,9,4,2,1,0,0,0
41,37,Idaho,12,9,4,2,2,1,1,1
42,37,Minnesota,12,9,4,2,2,2,2,2
43,37,Mississippi,12,9,3,1,0,0,0,0
44,37,Nebraska,13,9,3,2,2,1,1,1
45,37,Oklahoma State,13,9,3,3,2,2,2,2
46,37,Oregon,14,9,5,3,3,2,2,2
47,37,Pittsburgh,13,9,2,2,1,1,1,1
48,37,Temple,13,9,5,2,2,2,1,1
49,37,Washington State,12,9,3,2,0,0,0,0
50,51,Baylor,13,8,4,1,0,0,0,0
51,51,Florida State,13,8,1,1,1,1,0,0
52,51,Kansas,12,8,2,2,0,0,0,0
53,51,New Mexico,12,8,1,1,1,1,1,1
54,51,North Texas,12,8,6,2,1,1,0,0
55,51,Oklahoma,13,8,3,1,0,0,0,0
56,51,San Jose State,12,8,2,1,1,1,1,1
57,51,Tennessee,12,8,3,2,1,0,0,0
58,51,Texas,13,8,3,2,2,2,2,2
59,51,Texas A&M,13,8,1,0,0,0,0,0
60,51,UAB,12,8,2,1,1,1,1,1
61,51,Virginia,13,8,2,0,0,0,0,0
62,63,Arizona,12,7,3,1,1,1,1,0
63,63,BYU,13,7,4,2,1,1,1,1
64,63,Florida Atlantic,12,7,3,2,1,0,0,0
65,63,Houston,14,7,2,1,1,1,1,1
66,63,LSU,14,7,1,1,1,1,1,1
67,63,Louisville,13,7,4,3,1,1,1,1
68,63,Miami (Florida),12,7,3,1,0,0,0,0
69,63,North Carolina State,13,7,3,0,0,0,0,0
70,63,South Carolina,13,7,2,1,0,0,0,0
71,63,Vanderbilt,13,7,2,2,1,1,1,1
72,63,Wisconsin,14,7,3,1,1,0,0,0
73,74,Arkansas State,13,6,4,2,1,0,0,0
74,74,Ball State,12,6,2,1,1,1,0,0
75,74,Boise State,13,6,2,1,1,1,1,1
76,74,Kent State,12,6,2,0,0,0,0,0
77,74,Louisiana-Lafayette,13,6,2,0,0,0,0,0
78,74,Maryland,12,6,0,0,0,0,0,0
79,74,Miami (Ohio),12,6,1,1,1,1,0,0
80,74,Middle Tennessee,12,6,1,0,0,0,0,0
81,74,Nevada,13,6,1,0,0,0,0,0
82,74,Ohio State,13,6,4,1,1,1,1,1
83,74,Oregon State,12,6,2,1,0,0,0,0
84,74,Rutgers,13,6,2,2,2,2,1,1
85,74,South Florida,12,6,4,3,2,1,0,0
86,74,Stanford,13,6,2,2,1,1,1,1
87,74,Troy,12,6,2,1,0,0,0,0
88,74,Tulane,13,6,4,3,2,0,0,0
89,74,Tulsa,13,6,2,1,1,1,1,1
90,74,Wake Forest,13,6,3,2,1,0,0,0
91,92,Air Force,13,5,0,0,0,0,0,0
92,92,Alabama,13,5,1,1,1,1,0,0
93,92,Colorado,13,5,0,0,0,0,0,0
94,92,East Carolina,12,5,1,0,0,0,0,0
95,92,Eastern Michigan,12,5,1,1,0,0,0,0
96,92,Kentucky,12,5,0,0,0,0,0,0
97,92,Missouri,13,5,4,0,0,0,0,0
98,92,Northern Illinois,14,5,2,2,2,2,2,2
99,92,Penn State,13,5,3,3,2,2,2,2
100,92,Rice,12,5,2,0,0,0,0,0
101,92,SMU,13,5,1,1,0,0,0,0
102,92,San Diego State,13,5,4,2,2,2,2,2
103,92,USC,12,5,3,1,1,1,1,0
104,92,Wyoming,13,5,2,0,0,0,0,0
105,106,Boston College,12,4,0,0,0,0,0,0
106,106,Buffalo,12,4,3,3,1,1,1,1
107,106,Indiana,12,4,1,1,1,1,1,1
108,106,Memphis,12,4,1,0,0,0,0,0
109,106,Virginia Tech,14,4,0,0,0,0,0,0
110,111,Army,12,3,0,0,0,0,0,0
111,111,California,13,3,1,1,1,1,1,0
112,111,Iowa,13,3,2,2,2,0,0,0
113,111,Navy,12,3,2,1,1,1,1,1
114,115,Akron,12,2,1,0,0,0,0,0
115,115,Duke,12,2,0,0,0,0,0,0
116,115,Michigan,13,2,0,0,0,0,0,0
117,115,Mississippi State,13,2,2,2,1,0,0,0
118,119,Georgia Tech,13,1,1,1,1,1,0,0
119,120,Illinois,13,0,0,0,0,0,0,0
