,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Rutgers,13,27,22,81.5,2.1,1.7
1,2,Western Kentucky,12,37,31,83.8,3.1,2.6
2,3,Boise State,13,28,24,85.7,2.2,1.8
3,4,Fresno State,13,56,49,87.5,4.3,3.8
4,5,South Carolina,13,25,22,88.0,1.9,1.7
5,6,Miami (Ohio),12,36,32,88.9,3.0,2.7
6,7,Tulsa,13,46,41,89.1,3.5,3.2
7,8,Oregon,14,40,36,90.0,2.9,2.6
8,9,TCU,13,31,28,90.3,2.4,2.2
9,10,San Diego State,13,42,38,90.5,3.2,2.9
10,11,USC,12,32,29,90.6,2.7,2.4
11,12,Florida State,13,22,20,90.9,1.7,1.5
12,12,Wyoming,13,44,40,90.9,3.4,3.1
13,12,Army,12,44,40,90.9,3.7,3.3
14,15,Georgia,14,34,31,91.2,2.4,2.2
15,16,Stanford,13,35,32,91.4,2.7,2.5
16,17,Marshall,13,47,43,91.5,3.6,3.3
17,17,Air Force,13,47,43,91.5,3.6,3.3
18,19,North Texas,12,48,44,91.7,4.0,3.7
19,20,Missouri,13,38,35,92.1,2.9,2.7
20,21,LSU,14,14,13,92.9,1.0,0.9
21,22,Kansas State,13,43,40,93.0,3.3,3.1
22,23,Vanderbilt,13,29,27,93.1,2.2,2.1
23,24,Akron,12,59,55,93.2,4.9,4.6
24,25,Virginia Tech,14,30,28,93.3,2.1,2.0
25,26,Duke,12,47,44,93.6,3.9,3.7
26,27,Oregon State,12,48,45,93.8,4.0,3.8
27,28,BYU,13,33,31,93.9,2.5,2.4
28,29,Florida Atlantic,12,51,48,94.1,4.3,4.0
29,30,SMU,13,35,33,94.3,2.7,2.5
30,30,Toledo,13,53,50,94.3,4.1,3.8
31,30,Rice,12,53,50,94.3,4.4,4.2
32,33,Arizona,12,54,51,94.4,4.5,4.3
33,34,Syracuse,12,38,36,94.7,3.2,3.0
34,35,Baylor,13,58,55,94.8,4.5,4.2
35,36,Colorado,13,59,56,94.9,4.5,4.3
36,36,UNLV,12,59,56,94.9,4.9,4.7
37,38,Houston,14,40,38,95.0,2.9,2.7
38,38,Nevada,13,40,38,95.0,3.1,2.9
39,40,New Mexico State,13,62,59,95.2,4.8,4.5
40,41,Temple,13,22,21,95.5,1.7,1.6
41,41,UCF,12,22,21,95.5,1.8,1.8
42,43,Northern Illinois,14,47,45,95.7,3.4,3.2
43,43,Buffalo,12,46,44,95.7,3.8,3.7
44,45,Penn State,13,24,23,95.8,1.8,1.8
45,46,Minnesota,12,49,47,95.9,4.1,3.9
46,47,Troy,12,50,48,96.0,4.2,4.0
47,48,Ball State,12,52,50,96.2,4.3,4.2
48,49,Notre Dame,13,28,27,96.4,2.2,2.1
49,49,Florida International,13,28,27,96.4,2.2,2.1
50,49,UCLA,14,55,53,96.4,3.9,3.8
51,49,Washington,13,55,53,96.4,4.2,4.1
52,53,Wisconsin,14,30,29,96.7,2.1,2.1
53,53,Michigan State,14,30,29,96.7,2.1,2.1
54,53,South Florida,12,30,29,96.7,2.5,2.4
55,53,Kent State,12,30,29,96.7,2.5,2.4
56,53,Eastern Michigan,12,30,29,96.7,2.5,2.4
57,53,Tulane,13,60,58,96.7,4.6,4.5
58,59,Texas Tech,12,62,60,96.8,5.2,5.0
59,60,Louisville,13,32,31,96.9,2.5,2.4
60,60,Louisiana Tech,13,32,31,96.9,2.5,2.4
61,60,Florida,13,32,31,96.9,2.5,2.4
62,63,Oklahoma,13,34,33,97.1,2.6,2.5
63,64,Kentucky,12,36,35,97.2,3.0,2.9
64,65,Louisiana-Monroe,12,37,36,97.3,3.1,3.0
65,66,Ohio,14,39,38,97.4,2.8,2.7
66,66,West Virginia,13,38,37,97.4,2.9,2.8
67,66,North Carolina State,13,38,37,97.4,2.9,2.8
68,66,Nebraska,13,39,38,97.4,3.0,2.9
69,70,Bowling Green,12,40,39,97.5,3.3,3.3
70,71,Wake Forest,13,41,40,97.6,3.2,3.1
71,71,Purdue,13,41,40,97.6,3.2,3.1
72,71,Oklahoma State,13,42,41,97.6,3.2,3.2
73,71,Northwestern,13,42,41,97.6,3.2,3.2
74,71,Utah State,13,42,41,97.6,3.2,3.2
75,76,Auburn,13,43,42,97.7,3.3,3.2
76,76,Arizona State,13,43,42,97.7,3.3,3.2
77,76,Hawai'i,13,44,43,97.7,3.4,3.3
78,76,San Jose State,12,44,43,97.7,3.7,3.6
79,80,Washington State,12,45,44,97.8,3.8,3.7
80,81,Louisiana-Lafayette,13,48,47,97.9,3.7,3.6
81,81,Western Michigan,13,48,47,97.9,3.7,3.6
82,83,Clemson,14,51,50,98.0,3.6,3.6
83,83,Mississippi,12,49,48,98.0,4.1,4.0
84,83,East Carolina,12,49,48,98.0,4.1,4.0
85,83,Idaho,12,51,50,98.0,4.3,4.2
86,87,Middle Tennessee,12,57,56,98.2,4.8,4.7
87,88,Kansas,12,67,66,98.5,5.6,5.5
88,89,New Mexico,12,69,68,98.6,5.8,5.7
89,90,Alabama,13,11,11,100.0,0.8,0.8
90,90,Michigan,13,26,26,100.0,2.0,2.0
91,90,Miami (Florida),12,26,26,100.0,2.2,2.2
92,90,Mississippi State,13,28,28,100.0,2.2,2.2
93,90,Cincinnati,13,28,28,100.0,2.2,2.2
94,90,Utah,13,28,28,100.0,2.2,2.2
95,90,Arkansas State,13,30,30,100.0,2.3,2.3
96,90,Ohio State,13,30,30,100.0,2.3,2.3
97,90,Southern Mississippi,14,32,32,100.0,2.3,2.3
98,90,Texas,13,31,31,100.0,2.4,2.4
99,90,Illinois,13,31,31,100.0,2.4,2.4
100,90,Boston College,12,30,30,100.0,2.5,2.5
101,90,Pittsburgh,13,32,32,100.0,2.5,2.5
102,90,Iowa,13,34,34,100.0,2.6,2.6
103,90,Tennessee,12,32,32,100.0,2.7,2.7
104,90,Virginia,13,36,36,100.0,2.8,2.8
105,90,California,13,36,36,100.0,2.8,2.8
106,90,North Carolina,13,36,36,100.0,2.8,2.8
107,90,Connecticut,12,35,35,100.0,2.9,2.9
108,90,Arkansas,13,38,38,100.0,2.9,2.9
109,90,Iowa State,13,41,41,100.0,3.2,3.2
110,90,Texas A&M,13,41,41,100.0,3.2,3.2
111,90,Georgia Tech,13,42,42,100.0,3.2,3.2
112,90,UTEP,12,45,45,100.0,3.8,3.8
113,90,Central Michigan,12,45,45,100.0,3.8,3.8
114,90,Colorado State,12,47,47,100.0,3.9,3.9
115,90,Navy,12,47,47,100.0,3.9,3.9
116,90,Memphis,12,50,50,100.0,4.2,4.2
117,90,Maryland,12,52,52,100.0,4.3,4.3
118,90,Indiana,12,53,53,100.0,4.4,4.4
119,90,UAB,12,58,58,100.0,4.8,4.8
