,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Fresno State,13,10,0.77
1,2,Rutgers,13,9,0.69
2,3,USC,12,7,0.58
3,3,Marshall,13,7,0.54
4,3,Boise State,13,7,0.54
5,6,Buffalo,12,6,0.50
6,6,Florida,13,6,0.46
7,6,Southern Mississippi,14,6,0.43
8,9,Oregon State,12,5,0.42
9,9,SMU,13,5,0.38
10,9,Kansas State,13,5,0.38
11,9,Temple,13,5,0.38
12,9,Tulsa,13,5,0.38
13,9,Air Force,13,5,0.38
14,9,Michigan State,14,5,0.36
15,16,Ball State,12,4,0.33
16,16,Middle Tennessee,12,4,0.33
17,16,Memphis,12,4,0.33
18,16,North Texas,12,4,0.33
19,16,Bowling Green,12,4,0.33
20,16,Hawai'i,13,4,0.31
21,16,Wyoming,13,4,0.31
22,16,Louisville,13,4,0.31
23,16,Virginia,13,4,0.31
24,16,TCU,13,4,0.31
25,16,Utah,13,4,0.31
26,16,Oregon,14,4,0.29
27,16,Northern Illinois,14,4,0.29
28,29,Central Michigan,12,3,0.25
29,29,Western Kentucky,12,3,0.25
30,29,Akron,12,3,0.25
31,29,Washington State,12,3,0.25
32,29,UNLV,12,3,0.25
33,29,Eastern Michigan,12,3,0.25
34,29,Missouri,13,3,0.23
35,29,Louisiana-Lafayette,13,3,0.23
36,29,Stanford,13,3,0.23
37,29,Penn State,13,3,0.23
38,29,Auburn,13,3,0.23
39,29,Western Michigan,13,3,0.23
40,29,Washington,13,3,0.23
41,29,Louisiana Tech,13,3,0.23
42,29,Wake Forest,13,3,0.23
43,29,Florida International,13,3,0.23
44,29,Tulane,13,3,0.23
45,29,Purdue,13,3,0.23
46,29,Georgia,14,3,0.21
47,48,UTEP,12,2,0.17
48,48,Maryland,12,2,0.17
49,48,Colorado State,12,2,0.17
50,48,Louisiana-Monroe,12,2,0.17
51,48,South Florida,12,2,0.17
52,48,San Jose State,12,2,0.17
53,48,Boston College,12,2,0.17
54,48,Idaho,12,2,0.17
55,48,Kentucky,12,2,0.17
56,48,Kent State,12,2,0.17
57,48,Rice,12,2,0.17
58,48,Texas,13,2,0.15
59,48,Toledo,13,2,0.15
60,48,Mississippi State,13,2,0.15
61,48,Arkansas State,13,2,0.15
62,48,Alabama,13,2,0.15
63,48,West Virginia,13,2,0.15
64,48,South Carolina,13,2,0.15
65,48,California,13,2,0.15
66,48,San Diego State,13,2,0.15
67,48,Vanderbilt,13,2,0.15
68,48,Nebraska,13,2,0.15
69,48,LSU,14,2,0.14
70,48,Houston,14,2,0.14
71,72,Minnesota,12,1,0.08
72,72,Iowa,13,1,0.08
73,72,Colorado,13,1,0.08
74,72,Miami (Florida),12,1,0.08
75,72,Michigan,13,1,0.08
76,72,Cincinnati,13,1,0.08
77,72,Texas Tech,12,1,0.08
78,72,Pittsburgh,13,1,0.08
79,72,Arizona,12,1,0.08
80,72,North Carolina State,13,1,0.08
81,72,Georgia Tech,13,1,0.08
82,72,Ohio State,13,1,0.08
83,72,UCF,12,1,0.08
84,72,Northwestern,13,1,0.08
85,72,Florida Atlantic,12,1,0.08
86,72,Notre Dame,13,1,0.08
87,72,New Mexico,12,1,0.08
88,72,Florida State,13,1,0.08
89,72,BYU,13,1,0.08
90,72,Nevada,13,1,0.08
91,72,Kansas,12,1,0.08
92,72,Navy,12,1,0.08
93,72,Utah State,13,1,0.08
94,72,Texas A&M,13,1,0.08
95,72,Tennessee,12,1,0.08
96,72,Baylor,13,1,0.08
97,72,Troy,12,1,0.08
98,72,Connecticut,12,1,0.08
99,72,Clemson,14,1,0.07
100,72,UCLA,14,1,0.07
101,72,Virginia Tech,14,1,0.07
