,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Florida State,13,57,2681,47.04,4.4,206.2
1,2,UTEP,12,48,2214,46.13,4.0,184.5
2,3,Idaho,12,89,4099,46.06,7.4,341.6
3,4,Louisiana Tech,13,86,3914,45.51,6.6,301.1
4,5,Oklahoma State,13,49,2229,45.49,3.8,171.5
5,6,Bowling Green,12,57,2583,45.32,4.8,215.3
6,7,Arkansas,13,53,2400,45.28,4.1,184.6
7,8,Oregon,14,49,2204,44.98,3.5,157.4
8,9,Temple,13,48,2145,44.69,3.7,165.0
9,10,UCLA,14,64,2838,44.34,4.6,202.7
10,11,Missouri,13,64,2826,44.16,4.9,217.4
11,12,Oregon State,12,50,2202,44.04,4.2,183.5
12,13,Nebraska,13,60,2626,43.77,4.6,202.0
13,14,San Diego State,13,61,2669,43.75,4.7,205.3
14,15,Utah State,13,59,2578,43.69,4.5,198.3
15,16,Cincinnati,13,64,2790,43.59,4.9,214.6
16,17,Mississippi,12,72,3137,43.57,6.0,261.4
17,18,Colorado State,12,58,2524,43.52,4.8,210.3
18,19,Arizona,12,43,1871,43.51,3.6,155.9
19,20,North Texas,12,74,3218,43.49,6.2,268.2
20,20,Georgia,14,59,2566,43.49,4.2,183.3
21,22,California,13,54,2345,43.43,4.2,180.4
22,23,LSU,14,67,2909,43.42,4.8,207.8
23,24,Washington,13,52,2256,43.38,4.0,173.5
24,25,Kentucky,12,80,3459,43.24,6.7,288.3
25,26,Rice,12,80,3454,43.18,6.7,287.8
26,27,Utah,13,71,3061,43.11,5.5,235.5
27,28,Southern Mississippi,14,57,2443,42.86,4.1,174.5
28,29,San Jose State,12,52,2225,42.79,4.3,185.4
29,30,Kansas,12,64,2738,42.78,5.3,228.2
30,31,Miami (Florida),12,48,2051,42.73,4.0,170.9
31,32,BYU,13,47,1985,42.23,3.6,152.7
32,33,Ball State,12,68,2867,42.16,5.7,238.9
33,34,Iowa State,13,69,2908,42.14,5.3,223.7
34,35,Oklahoma,13,63,2649,42.05,4.8,203.8
35,36,Kent State,12,85,3565,41.94,7.1,297.1
36,37,Mississippi State,13,71,2970,41.83,5.5,228.5
37,38,Texas Tech,12,57,2376,41.68,4.8,198.0
38,39,Memphis,12,96,3993,41.59,8.0,332.8
39,39,Western Kentucky,12,64,2662,41.59,5.3,221.8
40,41,Boise State,13,45,1870,41.56,3.5,143.8
41,42,Clemson,14,67,2783,41.54,4.8,198.8
42,43,Texas A&M,13,54,2236,41.41,4.2,172.0
43,44,Arizona State,13,62,2562,41.32,4.8,197.1
44,45,Duke,12,51,2104,41.25,4.3,175.3
45,46,UCF,12,42,1732,41.24,3.5,144.3
46,47,Iowa,13,53,2182,41.17,4.1,167.8
47,48,Vanderbilt,13,69,2837,41.12,5.3,218.2
48,49,Connecticut,12,80,3288,41.10,6.7,274.0
49,49,Colorado,13,77,3165,41.10,5.9,243.5
50,51,Western Michigan,13,43,1759,40.91,3.3,135.3
51,52,Penn State,13,73,2985,40.89,5.6,229.6
52,53,Stanford,13,37,1511,40.84,2.8,116.2
53,54,Auburn,13,73,2980,40.82,5.6,229.2
54,55,Michigan State,14,65,2651,40.78,4.6,189.4
55,56,Northwestern,13,52,2119,40.75,4.0,163.0
56,57,Wisconsin,14,48,1943,40.48,3.4,138.8
57,58,Houston,14,52,2103,40.44,3.7,150.2
58,59,Tulane,13,76,3073,40.43,5.8,236.4
59,60,Florida Atlantic,12,79,3190,40.38,6.6,265.8
60,61,UAB,12,58,2337,40.29,4.8,194.8
61,62,Rutgers,13,64,2577,40.27,4.9,198.2
62,63,Wyoming,13,75,3015,40.20,5.8,231.9
63,64,Kansas State,13,69,2772,40.17,5.3,213.2
64,65,Ohio State,13,72,2889,40.13,5.5,222.2
65,66,Nevada,13,59,2364,40.07,4.5,181.8
66,67,USC,12,39,1562,40.05,3.3,130.2
67,68,Troy,12,71,2843,40.04,5.9,236.9
68,69,Louisiana-Lafayette,13,80,3196,39.95,6.2,245.8
69,70,Baylor,13,32,1273,39.78,2.5,97.9
70,71,UNLV,12,78,3102,39.77,6.5,258.5
71,71,Florida,13,57,2267,39.77,4.4,174.4
72,73,TCU,13,48,1907,39.73,3.7,146.7
73,74,Middle Tennessee,12,65,2580,39.69,5.4,215.0
74,75,Marshall,13,77,3054,39.66,5.9,234.9
75,76,Florida International,13,71,2804,39.49,5.5,215.7
76,77,Georgia Tech,13,40,1579,39.48,3.1,121.5
77,78,Air Force,13,38,1498,39.42,2.9,115.2
78,79,Purdue,13,70,2756,39.37,5.4,212.0
79,80,Washington State,12,57,2243,39.35,4.8,186.9
80,81,Alabama,13,39,1534,39.33,3.0,118.0
81,82,Ohio,14,56,2199,39.27,4.0,157.1
82,83,Hawai'i,13,57,2236,39.23,4.4,172.0
