,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Oklahoma State,13,27,20,74.07
1,1,Michigan,13,25,20,80.00
2,1,San Jose State,12,21,20,95.24
3,4,Western Michigan,13,32,19,59.38
4,5,Wyoming,13,31,18,58.06
5,5,Memphis,12,28,18,64.29
6,7,Kent State,12,30,17,56.67
7,7,Cincinnati,13,28,17,60.71
8,7,Arizona State,13,28,17,60.71
9,10,Middle Tennessee,12,28,16,57.14
10,10,Toledo,13,25,16,64.00
11,10,North Texas,12,25,16,64.00
12,10,Maryland,12,23,16,69.57
13,14,Stanford,13,29,15,51.72
14,14,Rutgers,13,26,15,57.69
15,14,Marshall,13,21,15,71.43
16,17,Texas Tech,12,29,14,48.28
17,17,Utah,13,26,14,53.85
18,17,Air Force,13,25,14,56.00
19,17,Navy,12,23,14,60.87
20,17,South Florida,12,22,14,63.64
21,17,Texas,13,21,14,66.67
22,17,Colorado State,12,21,14,66.67
23,17,Rice,12,20,14,70.00
24,17,East Carolina,12,19,14,73.68
25,26,San Diego State,13,28,13,46.43
26,26,Washington,13,26,13,50.00
27,26,South Carolina,13,25,13,52.00
28,26,Iowa State,13,22,13,59.09
29,26,TCU,13,22,13,59.09
30,26,Pittsburgh,13,21,13,61.90
31,26,UNLV,12,20,13,65.00
32,26,Connecticut,12,20,13,65.00
33,26,Akron,12,19,13,68.42
34,26,Baylor,13,18,13,72.22
35,36,Georgia,14,32,12,37.50
36,36,Illinois,13,31,12,38.71
37,36,North Carolina State,13,30,12,40.00
38,36,LSU,14,29,12,41.38
39,36,Auburn,13,26,12,46.15
40,36,Oregon,14,23,12,52.17
41,36,UAB,12,20,12,60.00
42,36,Oklahoma,13,20,12,60.00
43,36,Northern Illinois,14,19,12,63.16
44,36,New Mexico State,13,19,12,63.16
45,36,BYU,13,19,12,63.16
46,36,Ohio,14,18,12,66.67
47,36,Penn State,13,16,12,75.00
48,36,Oregon State,12,16,12,75.00
49,50,Louisville,13,26,11,42.31
50,50,Boise State,13,25,11,44.00
51,50,Troy,12,21,11,52.38
52,50,Indiana,12,19,11,57.89
53,50,Utah State,13,19,11,57.89
54,50,Syracuse,12,19,11,57.89
55,50,California,13,18,11,61.11
56,57,Vanderbilt,13,33,10,30.30
57,57,Wisconsin,14,29,10,34.48
58,57,Hawai'i,13,28,10,35.71
59,57,SMU,13,26,10,38.46
60,57,Arkansas State,13,24,10,41.67
61,57,Houston,14,24,10,41.67
62,57,Idaho,12,23,10,43.48
63,57,North Carolina,13,23,10,43.48
64,57,New Mexico,12,22,10,45.45
65,57,Tulsa,13,21,10,47.62
66,57,Louisiana Tech,13,18,10,55.56
67,57,Kansas,12,18,10,55.56
68,57,Kentucky,12,18,10,55.56
69,57,Nevada,13,14,10,71.43
70,71,Iowa,13,26,9,34.62
71,71,Clemson,14,23,9,39.13
72,71,Miami (Florida),12,22,9,40.91
73,71,West Virginia,13,22,9,40.91
74,71,Missouri,13,20,9,45.00
75,71,Washington State,12,20,9,45.00
76,71,Kansas State,13,20,9,45.00
77,71,Purdue,13,20,9,45.00
78,71,Virginia,13,19,9,47.37
79,71,Tennessee,12,19,9,47.37
80,71,Arkansas,13,17,9,52.94
81,71,Louisiana-Lafayette,13,16,9,56.25
82,71,Southern Mississippi,14,16,9,56.25
83,71,Bowling Green,12,16,9,56.25
84,71,Army,12,13,9,69.23
85,86,Texas A&M,13,25,8,32.00
86,86,Mississippi State,13,24,8,33.33
87,86,Colorado,13,20,8,40.00
88,86,USC,12,20,8,40.00
89,86,Northwestern,13,16,8,50.00
90,86,Florida Atlantic,12,16,8,50.00
91,86,Nebraska,13,16,8,50.00
92,86,Wake Forest,13,15,8,53.33
93,86,Louisiana-Monroe,12,13,8,61.54
94,95,Georgia Tech,13,23,7,30.43
95,95,Michigan State,14,22,7,31.82
96,95,Ohio State,13,21,7,33.33
97,95,Tulane,13,21,7,33.33
98,95,Mississippi,12,18,7,38.89
99,95,Alabama,13,18,7,38.89
100,95,Florida State,13,18,7,38.89
101,95,Eastern Michigan,12,16,7,43.75
102,95,Western Kentucky,12,15,7,46.67
103,95,UCLA,14,15,7,46.67
104,95,Virginia Tech,14,15,7,46.67
105,95,Ball State,12,13,7,53.85
106,95,Buffalo,12,13,7,53.85
107,95,Miami (Ohio),12,12,7,58.33
108,95,UTEP,12,9,7,77.78
109,110,Temple,13,18,6,33.33
110,110,Duke,12,17,6,35.29
111,110,Florida,13,15,6,40.00
112,110,Florida International,13,14,6,42.86
113,110,UCF,12,13,6,46.15
114,110,Notre Dame,13,12,6,50.00
115,116,Arizona,12,22,5,22.73
116,116,Minnesota,12,13,5,38.46
117,118,Fresno State,13,17,4,23.53
118,119,Boston College,12,11,3,27.27
119,119,Central Michigan,12,9,3,33.33
