,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Texas A&M,13,51.0,343,3.92
1,2,Cincinnati,13,46.0,325,3.54
2,3,Michigan State,14,45.0,295,3.21
3,3,Oregon,14,45.0,278,3.21
4,5,Pittsburgh,13,43.0,270,3.31
5,6,Florida State,13,41.0,290,3.15
6,6,Virginia Tech,14,41.0,284,2.93
7,6,Illinois,13,41.0,240,3.15
8,9,Oklahoma,13,40.0,288,3.08
9,9,North Carolina State,13,40.0,247,3.08
10,11,Stanford,13,39.0,301,3.00
11,12,LSU,14,38.0,255,2.71
12,12,South Florida,12,38.0,242,3.17
13,14,Rutgers,13,36.0,253,2.77
14,15,Georgia,14,35.0,266,2.50
15,15,Arkansas State,13,35.0,253,2.69
16,15,Hawai'i,13,35.0,250,2.69
17,18,Florida International,13,34.0,260,2.62
18,18,Connecticut,12,34.0,224,2.83
19,20,Louisville,13,33.0,256,2.54
20,20,SMU,13,33.0,236,2.54
21,20,Temple,13,33.0,228,2.54
22,20,California,13,33.0,199,2.54
23,24,Louisiana Tech,13,32.0,206,2.46
24,25,Houston,14,31.0,226,2.21
25,25,Penn State,13,31.0,213,2.39
26,25,South Carolina,13,31.0,202,2.39
27,25,West Virginia,13,31.0,180,2.39
28,29,Alabama,13,30.0,198,2.31
29,29,Oklahoma State,13,30.0,195,2.31
30,29,USC,12,30.0,182,2.50
31,29,Michigan,13,30.0,180,2.31
32,33,Utah,13,29.0,225,2.23
33,33,Arkansas,13,29.0,196,2.23
34,33,Texas,13,29.0,191,2.23
35,33,Colorado,13,29.0,189,2.23
36,37,Northern Illinois,14,28.0,229,2.00
37,37,Syracuse,12,28.0,205,2.33
38,37,Southern Mississippi,14,28.0,205,2.00
39,37,San Diego State,13,28.0,191,2.15
40,37,Washington,13,28.0,188,2.15
41,37,Florida,13,28.0,184,2.15
42,37,Western Michigan,13,28.0,177,2.15
43,37,Louisiana-Lafayette,13,28.0,171,2.15
44,45,Western Kentucky,12,27.0,203,2.25
45,45,Tulane,13,27.0,183,2.08
46,45,Tulsa,13,27.0,176,2.08
47,45,Vanderbilt,13,27.0,172,2.08
48,45,Mississippi State,13,27.0,165,2.08
49,45,Marshall,13,27.0,164,2.08
50,45,Missouri,13,27.0,163,2.08
51,52,Louisiana-Monroe,12,26.0,183,2.17
52,52,Kent State,12,26.0,180,2.17
53,52,North Texas,12,26.0,154,2.17
54,52,Colorado State,12,26.0,139,2.17
55,56,Utah State,13,25.0,191,1.92
56,56,Maryland,12,25.0,175,2.08
57,56,Notre Dame,13,25.0,155,1.92
58,56,North Carolina,13,25.0,154,1.92
59,56,Wisconsin,14,25.0,140,1.79
60,56,Miami (Ohio),12,25.0,128,2.08
61,56,TCU,13,25.0,122,1.92
62,63,Arizona State,13,24.0,179,1.85
63,63,Clemson,14,24.0,175,1.71
64,63,UTEP,12,24.0,169,2.00
65,63,Boise State,13,24.0,146,1.85
66,63,Oregon State,12,24.0,137,2.00
67,63,Miami (Florida),12,24.0,127,2.00
68,63,Nevada,13,24.0,119,1.85
69,70,Toledo,13,23.0,194,1.77
70,70,Eastern Michigan,12,23.0,172,1.92
71,70,BYU,13,23.0,159,1.77
72,70,Ohio State,13,23.0,144,1.77
73,70,East Carolina,12,23.0,132,1.92
74,75,Fresno State,13,22.0,158,1.69
75,75,Purdue,13,22.0,151,1.69
76,75,Georgia Tech,13,22.0,146,1.69
77,75,Wyoming,13,22.0,140,1.69
78,75,Kansas State,13,22.0,139,1.69
79,75,Auburn,13,22.0,119,1.69
80,81,Iowa,13,21.0,142,1.62
81,81,Nebraska,13,21.0,136,1.62
82,81,Bowling Green,12,21.0,131,1.75
83,81,Rice,12,21.0,100,1.75
84,85,Ohio,14,20.0,142,1.43
85,85,Virginia,13,20.0,129,1.54
86,85,Kentucky,12,20.0,126,1.67
87,88,Baylor,13,19.0,130,1.46
88,88,Minnesota,12,19.0,116,1.58
89,88,Troy,12,19.0,115,1.58
90,91,Indiana,12,18.0,130,1.50
91,91,Army,12,18.0,129,1.50
92,91,Air Force,13,18.0,105,1.39
93,91,Middle Tennessee,12,18.0,99,1.50
94,95,Idaho,12,17.0,115,1.42
95,95,Buffalo,12,17.0,112,1.42
96,95,Florida Atlantic,12,17.0,112,1.42
97,95,Northwestern,13,17.0,109,1.31
98,95,Washington State,12,17.0,102,1.42
99,95,Iowa State,13,17.0,98,1.31
100,95,UCF,12,17.0,96,1.42
101,102,Duke,12,16.0,100,1.33
102,102,Texas Tech,12,16.0,94,1.33
103,102,Ball State,12,16.0,89,1.33
104,102,San Jose State,12,16.0,84,1.33
105,102,New Mexico State,13,16.0,73,1.23
106,107,Tennessee,12,15.0,86,1.25
107,108,Memphis,12,14.0,102,1.17
108,108,UNLV,12,14.0,96,1.17
109,108,UCLA,14,14.0,82,1.00
110,111,Mississippi,12,13.0,95,1.08
111,111,Central Michigan,12,13.0,79,1.08
112,111,Navy,12,13.0,62,1.08
113,114,Wake Forest,13,11.0,107,0.85
114,115,Arizona,12,10.0,89,0.83
115,115,Akron,12,10.0,67,0.83
116,115,New Mexico,12,10.0,65,0.83
117,118,Kansas,12,9.0,69,0.75
118,119,UAB,12,8.0,65,0.67
119,119,Boston College,12,8.0,48,0.67
