,Rank,Name,G,Total Time,Time/G
0,1,Western Kentucky,12,421:36,35:08.00
1,2,Nevada,13,448:51,34:31.62
2,3,Virginia Tech,14,477:34,34:06.71
3,4,Kansas State,13,441:01,33:55.46
4,5,Stanford,13,439:10,33:46.92
5,6,UCF,12,405:01,33:45.08
6,7,Texas,13,437:29,33:39.15
7,8,Georgia,14,471:03,33:38.79
8,9,Army,12,401:38,33:28.17
9,10,Rutgers,13,428:01,32:55.46
10,11,Temple,13,426:40,32:49.23
11,12,Alabama,13,426:22,32:47.85
12,13,Louisiana-Monroe,12,390:09,32:30.75
13,14,Boise State,13,421:58,32:27.54
14,15,North Texas,12,388:11,32:20.92
15,16,Wisconsin,14,451:11,32:13.64
16,17,USC,12,386:32,32:12.67
17,18,Fresno State,13,416:59,32:04.54
18,19,Toledo,13,415:47,31:59.00
19,20,Louisville,13,415:36,31:58.15
20,21,California,13,415:21,31:57.00
21,22,Georgia Tech,13,414:55,31:55.00
22,23,Eastern Michigan,12,381:45,31:48.75
23,24,BYU,13,411:59,31:41.46
24,25,South Carolina,13,410:30,31:34.62
25,26,LSU,14,440:49,31:29.21
26,27,Navy,12,376:12,31:21.00
27,28,Michigan,13,406:17,31:15.15
28,29,Kansas,12,375:00,31:15.00
29,30,Michigan State,14,437:26,31:14.71
30,31,Colorado,13,404:11,31:05.46
31,32,Illinois,13,403:31,31:02.38
32,33,Duke,12,371:19,30:56.58
33,34,Northwestern,13,402:10,30:56.15
34,35,North Carolina State,13,400:29,30:48.38
35,36,Virginia,13,400:18,30:47.54
36,37,Tennessee,12,369:04,30:45.33
37,38,Connecticut,12,369:01,30:45.08
38,39,Ohio State,13,398:47,30:40.54
39,40,Tulane,13,398:21,30:38.54
40,41,Rice,12,367:11,30:35.92
41,42,UNLV,12,366:41,30:33.42
42,43,Boston College,12,366:29,30:32.42
43,44,SMU,13,397:01,30:32.38
44,45,UTEP,12,366:12,30:31.00
45,46,Colorado State,12,364:59,30:24.92
46,47,San Diego State,13,395:11,30:23.92
47,48,East Carolina,12,364:15,30:21.25
48,49,Kent State,12,364:09,30:20.75
49,50,TCU,13,394:18,30:19.85
50,51,Wake Forest,13,393:25,30:15.77
51,52,Arkansas State,13,391:00,30:04.62
52,53,Penn State,13,390:58,30:04.46
53,54,Arizona State,13,390:39,30:03.00
54,55,UAB,12,360:01,30:00.08
55,56,Washington State,12,359:45,29:58.75
56,57,Missouri,13,389:42,29:58.62
57,58,Oklahoma,13,389:41,29:58.54
58,59,Notre Dame,13,388:30,29:53.08
59,59,Vanderbilt,13,388:30,29:53.08
60,61,Ohio,14,418:23,29:53.07
61,62,Washington,13,388:10,29:51.54
62,63,Florida State,13,388:03,29:51.00
63,64,Hawai'i,13,387:32,29:48.62
64,65,Arizona,12,356:07,29:40.58
65,66,Idaho,12,355:41,29:38.42
66,67,UCLA,14,414:31,29:36.50
67,68,Air Force,13,384:16,29:33.54
68,69,Bowling Green,12,354:32,29:32.67
69,70,Florida International,13,383:57,29:32.08
70,71,San Jose State,12,353:17,29:26.42
71,72,Miami (Florida),12,352:48,29:24.00
72,73,New Mexico State,13,381:34,29:21.08
73,74,Utah,13,381:15,29:19.62
74,75,Oregon State,12,351:46,29:18.83
75,76,Purdue,13,380:50,29:17.69
76,77,North Carolina,13,380:21,29:15.46
77,78,Ball State,12,350:58,29:14.83
78,79,Minnesota,12,349:48,29:09.00
79,80,Iowa State,13,378:53,29:08.69
80,81,Central Michigan,12,349:09,29:05.75
81,82,Miami (Ohio),12,348:35,29:02.92
82,83,Syracuse,12,348:12,29:01.00
83,84,Wyoming,13,376:55,28:59.62
84,85,Buffalo,12,347:46,28:58.83
85,86,Mississippi,12,346:28,28:52.33
86,87,Southern Mississippi,14,404:03,28:51.64
87,88,Pittsburgh,13,375:06,28:51.23
88,89,Marshall,13,374:31,28:48.54
89,90,Memphis,12,345:07,28:45.58
90,91,Northern Illinois,14,402:34,28:45.29
91,92,Akron,12,344:39,28:43.25
92,93,Kentucky,12,343:38,28:38.17
93,94,New Mexico,12,343:01,28:35.08
94,95,Utah State,13,371:21,28:33.92
95,96,Iowa,13,371:12,28:33.23
96,97,Nebraska,13,370:25,28:29.62
97,98,Texas A&M,13,369:59,28:27.62
98,99,Texas Tech,12,340:46,28:23.83
99,100,West Virginia,13,368:20,28:20.00
100,101,Florida,13,368:03,28:18.69
101,102,Louisiana Tech,13,365:22,28:06.31
102,103,Indiana,12,337:10,28:05.83
103,104,Arkansas,13,365:06,28:05.08
104,105,Clemson,14,393:10,28:05.00
105,106,Louisiana-Lafayette,13,365:04,28:04.92
106,107,Cincinnati,13,363:46,27:58.92
107,108,Auburn,13,363:36,27:58.15
108,109,South Florida,12,332:19,27:41.58
109,110,Florida Atlantic,12,332:07,27:40.58
110,111,Baylor,13,359:28,27:39.08
111,112,Western Michigan,13,358:01,27:32.38
112,113,Tulsa,13,352:23,27:06.38
113,114,Houston,14,371:42,26:33.00
114,115,Oklahoma State,13,341:50,26:17.69
115,116,Mississippi State,13,341:26,26:15.85
116,117,Troy,12,313:39,26:08.25
117,118,Middle Tennessee,12,310:08,25:50.67
118,119,Maryland,12,303:17,25:16.42
119,120,Oregon,14,349:58,24:59.86
