,Rank,Name,G,Fumbles,Fumbles Lost,Fumble Lost %
0,1,Alabama,13,12,4,33.33
1,1,Wake Forest,13,15,4,26.67
2,3,Wisconsin,14,9,5,55.56
3,3,Central Michigan,12,17,5,29.41
4,3,LSU,14,19,5,26.32
5,6,Buffalo,12,14,6,42.86
6,6,Arizona,12,15,6,40.00
7,6,Michigan,13,19,6,31.58
8,6,Tennessee,12,26,6,23.08
9,10,Ball State,12,10,7,70.00
10,10,Indiana,12,13,7,53.85
11,10,Stanford,13,13,7,53.85
12,10,Toledo,13,14,7,50.00
13,10,Minnesota,12,18,7,38.89
14,10,Florida State,13,19,7,36.84
15,10,UNLV,12,19,7,36.84
16,10,Maryland,12,20,7,35.00
17,10,Mississippi State,13,21,7,33.33
18,10,Cincinnati,13,22,7,31.82
19,20,Missouri,13,15,8,53.33
20,20,North Texas,12,15,8,53.33
21,20,San Diego State,13,15,8,53.33
22,20,Louisiana-Monroe,12,16,8,50.00
23,20,Northwestern,13,16,8,50.00
24,20,Miami (Florida),12,17,8,47.06
25,20,Auburn,13,17,8,47.06
26,20,Colorado,13,18,8,44.44
27,20,Temple,13,18,8,44.44
28,20,Texas Tech,12,19,8,42.11
29,20,Michigan State,14,20,8,40.00
30,20,Wyoming,13,20,8,40.00
31,20,Boise State,13,20,8,40.00
32,20,Virginia Tech,14,24,8,33.33
33,20,Pittsburgh,13,25,8,32.00
34,35,Houston,14,12,9,75.00
35,35,Washington,13,13,9,69.23
36,35,Louisville,13,13,9,69.23
37,35,Duke,12,15,9,60.00
38,35,Eastern Michigan,12,15,9,60.00
39,35,Louisiana Tech,13,17,9,52.94
40,35,Navy,12,18,9,50.00
41,35,Texas A&M,13,18,9,50.00
42,35,Purdue,13,21,9,42.86
43,35,Washington State,12,23,9,39.13
44,35,Kansas State,13,23,9,39.13
45,46,Miami (Ohio),12,14,10,71.43
46,46,Boston College,12,14,10,71.43
47,46,Syracuse,12,14,10,71.43
48,46,Oklahoma State,13,15,10,66.67
49,46,Western Kentucky,12,16,10,62.50
50,46,Kent State,12,16,10,62.50
51,46,UCF,12,17,10,58.82
52,46,Idaho,12,17,10,58.82
53,46,Iowa,13,18,10,55.56
54,46,UTEP,12,20,10,50.00
55,46,Arizona State,13,20,10,50.00
56,46,Memphis,12,21,10,47.62
57,46,Ohio State,13,21,10,47.62
58,46,Florida International,13,21,10,47.62
59,46,Vanderbilt,13,21,10,47.62
60,61,Arkansas State,13,14,11,78.57
61,61,USC,12,18,11,61.11
62,61,Tulane,13,18,11,61.11
63,61,Texas,13,19,11,57.89
64,61,UAB,12,21,11,52.38
65,61,New Mexico State,13,25,11,44.00
66,61,Florida Atlantic,12,27,11,40.74
67,61,Kansas,12,27,11,40.74
68,61,Georgia,14,28,11,39.29
69,61,Georgia Tech,13,31,11,35.48
70,61,Nebraska,13,32,11,34.38
71,72,Marshall,13,16,12,75.00
72,72,Mississippi,12,19,12,63.16
73,72,BYU,13,20,12,60.00
74,72,Colorado State,12,21,12,57.14
75,72,Rutgers,13,21,12,57.14
76,72,Notre Dame,13,22,12,54.55
77,72,Kentucky,12,22,12,54.55
78,72,Rice,12,22,12,54.55
79,72,Clemson,14,23,12,52.17
80,72,Virginia,13,23,12,52.17
81,72,North Carolina,13,25,12,48.00
82,72,Oregon State,12,26,12,46.15
83,72,South Carolina,13,26,12,46.15
84,72,California,13,28,12,42.86
85,86,Oklahoma,13,17,13,76.47
86,86,Northern Illinois,14,19,13,68.42
87,86,South Florida,12,21,13,61.90
88,86,Middle Tennessee,12,22,13,59.09
89,86,SMU,13,22,13,59.09
90,86,Akron,12,22,13,59.09
91,86,Oregon,14,24,13,54.17
92,86,North Carolina State,13,24,13,54.17
93,86,New Mexico,12,24,13,54.17
94,86,Louisiana-Lafayette,13,25,13,52.00
95,86,Arkansas,13,26,13,50.00
96,86,West Virginia,13,27,13,48.15
97,86,Fresno State,13,27,13,48.15
98,86,Nevada,13,27,13,48.15
99,86,Florida,13,28,13,46.43
100,86,Utah,13,28,13,46.43
101,86,Penn State,13,31,13,41.94
102,103,Bowling Green,12,21,14,66.67
103,103,Connecticut,12,24,14,58.33
104,103,TCU,13,26,14,53.85
105,106,East Carolina,12,23,15,65.22
106,106,Illinois,13,29,15,51.72
107,108,Tulsa,13,24,16,66.67
108,108,Troy,12,25,16,64.00
109,108,Ohio,14,27,16,59.26
110,108,Hawai'i,13,29,16,55.17
111,112,San Jose State,12,24,17,70.83
112,112,UCLA,14,32,17,53.13
113,114,Southern Mississippi,14,25,18,72.00
114,114,Western Michigan,13,26,18,69.23
115,114,Utah State,13,27,18,66.67
116,114,Air Force,13,30,18,60.00
117,114,Iowa State,13,31,18,58.06
118,114,Baylor,13,32,18,56.25
119,120,Army,12,36,22,61.11
