,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
98,99,Western Michigan,13,2856,2795,926,5651,6.10,434.7
99,100,Fresno State,13,2184,3482,889,5666,6.37,435.8
100,101,Idaho,12,1903,3339,895,5242,5.86,436.8
101,102,Colorado,13,2391,3320,868,5711,6.58,439.3
102,103,Middle Tennessee,12,2755,2538,919,5293,5.76,441.1
103,104,UTEP,12,2295,3003,838,5298,6.32,441.5
104,105,UNLV,12,2330,2988,823,5318,6.46,443.2
105,106,Washington,13,2193,3700,917,5893,6.43,453.3
106,107,Oklahoma State,13,2404,3534,1089,5938,5.45,456.8
107,108,Maryland,12,2637,2849,937,5486,5.85,457.2
108,109,Indiana,12,2924,2580,854,5504,6.44,458.7
109,110,Arizona,12,1939,3587,839,5526,6.59,460.5
110,111,Rice,12,2201,3344,856,5545,6.48,462.1
111,112,New Mexico State,13,2844,3164,964,6008,6.23,462.2
112,113,Troy,12,2443,3137,928,5580,6.01,465.0
113,114,Texas Tech,12,3106,2721,903,5827,6.45,485.6
114,114,UAB,12,2440,3387,869,5827,6.71,485.6
115,116,Baylor,13,2566,3784,992,6350,6.40,488.5
116,117,Memphis,12,2299,3593,887,5892,6.64,491.0
117,118,New Mexico,12,2962,2942,878,5904,6.72,492.0
118,119,Ball State,12,2712,3412,904,6124,6.77,510.3
119,120,Kansas,12,2862,3335,866,6197,7.16,516.4
