,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Eastern Michigan,12,1,1,1,1,1,0,0
1,1,Kentucky,12,1,1,1,1,1,1,1
2,1,Miami (Ohio),12,1,0,0,0,0,0,0
3,1,Western Michigan,13,1,1,1,1,1,1,1
4,5,Boston College,12,2,1,1,1,1,1,1
5,6,Duke,12,3,0,0,0,0,0,0
6,6,Florida Atlantic,12,3,2,1,1,0,0,0
7,6,Florida State,13,3,1,1,1,0,0,0
8,6,Miami (Florida),12,3,0,0,0,0,0,0
9,6,Northwestern,13,3,1,1,0,0,0,0
10,6,Tennessee,12,3,0,0,0,0,0,0
11,12,Auburn,13,4,0,0,0,0,0,0
12,12,Cincinnati,13,4,1,0,0,0,0,0
13,12,Kansas,12,4,2,1,1,1,1,1
14,12,Oregon State,12,4,2,1,0,0,0,0
15,12,Rice,12,4,2,2,2,2,1,1
16,12,Utah,13,4,1,1,1,1,1,1
17,12,Virginia Tech,14,4,0,0,0,0,0,0
18,12,Western Kentucky,12,4,3,1,0,0,0,0
19,20,Arkansas State,13,5,2,1,0,0,0,0
20,20,Ball State,12,5,1,0,0,0,0,0
21,20,Colorado,13,5,4,1,1,1,1,1
22,20,Illinois,13,5,2,1,1,1,1,1
23,20,Indiana,12,5,4,3,3,1,1,0
24,20,North Carolina,13,5,1,0,0,0,0,0
25,20,Ohio State,13,5,3,1,1,1,1,1
26,20,Penn State,13,5,1,1,1,1,0,0
27,20,UCF,12,5,1,1,1,1,1,1
28,29,BYU,13,6,2,1,0,0,0,0
29,29,Bowling Green,12,6,2,1,1,1,0,0
30,29,Florida International,13,6,5,1,1,1,1,1
31,29,Iowa State,13,6,1,0,0,0,0,0
32,29,Louisiana-Monroe,12,6,2,2,2,2,1,1
33,29,Marshall,13,6,3,2,2,2,1,1
34,29,Minnesota,12,6,2,0,0,0,0,0
35,29,Mississippi,12,6,0,0,0,0,0,0
36,29,Notre Dame,13,6,4,2,1,1,0,0
37,29,Ohio,14,6,3,2,1,1,1,1
38,29,Oklahoma,13,6,3,1,1,1,1,1
39,29,Oregon,14,6,3,1,1,0,0,0
40,29,Pittsburgh,13,6,1,1,1,1,0,0
41,29,SMU,13,6,2,0,0,0,0,0
42,29,Temple,13,6,0,0,0,0,0,0
43,29,Troy,12,6,2,1,0,0,0,0
44,29,UNLV,12,6,2,1,1,1,1,1
45,29,Vanderbilt,13,6,1,1,1,1,1,1
46,47,Arkansas,13,7,1,1,0,0,0,0
47,47,Army,12,7,2,1,0,0,0,0
48,47,Clemson,14,7,2,1,1,1,1,1
49,47,Georgia Tech,13,7,3,2,2,0,0,0
50,47,Kent State,12,7,2,1,1,1,1,1
51,47,Louisiana Tech,13,7,0,0,0,0,0,0
52,47,North Texas,12,7,4,3,3,1,1,1
53,47,Purdue,13,7,3,2,2,2,2,2
54,47,Texas A&M,13,7,5,0,0,0,0,0
55,47,UTEP,12,7,4,2,1,1,1,1
56,47,Virginia,13,7,2,2,1,0,0,0
57,47,Washington State,12,7,5,4,4,4,4,4
58,59,Akron,12,8,7,2,1,1,1,1
59,59,Boise State,13,8,4,1,1,1,1,1
60,59,Colorado State,12,8,3,1,1,1,1,1
61,59,Connecticut,12,8,4,2,2,2,1,1
62,59,East Carolina,12,8,2,2,2,2,1,1
63,59,Georgia,14,8,4,4,3,2,2,2
64,59,Hawai'i,13,8,4,2,1,0,0,0
65,59,Kansas State,13,8,3,0,0,0,0,0
66,59,LSU,14,8,2,2,2,1,0,0
67,59,Middle Tennessee,12,8,4,3,2,2,1,1
68,59,New Mexico,12,8,4,2,1,1,1,0
69,59,San Diego State,13,8,2,0,0,0,0,0
70,59,TCU,13,8,3,2,0,0,0,0
71,59,Tulsa,13,8,4,2,1,1,1,1
72,73,Buffalo,12,9,3,3,2,0,0,0
73,73,Central Michigan,12,9,5,0,0,0,0,0
74,73,Fresno State,13,9,4,4,3,2,2,2
75,73,Maryland,12,9,5,4,4,4,1,0
76,73,Navy,12,9,4,3,1,1,0,0
77,73,San Jose State,12,9,6,1,0,0,0,0
78,73,South Florida,12,9,5,4,3,2,2,2
79,73,Texas,13,9,4,1,1,1,1,1
80,73,Texas Tech,12,9,3,2,1,1,1,1
81,73,UAB,12,9,3,2,0,0,0,0
82,83,Air Force,13,10,5,2,2,2,2,1
83,83,Arizona State,13,10,4,2,2,2,1,1
84,83,California,13,10,5,2,0,0,0,0
85,83,Florida,13,10,1,1,1,1,0,0
86,83,Memphis,12,10,2,1,1,0,0,0
87,83,Mississippi State,13,10,2,1,0,0,0,0
88,83,Nebraska,13,10,5,2,2,0,0,0
89,83,Oklahoma State,13,10,3,3,2,2,2,1
90,83,Syracuse,12,10,3,2,2,1,0,0
91,83,UCLA,14,10,2,1,0,0,0,0
92,83,USC,12,10,3,2,2,2,2,2
93,83,Wake Forest,13,10,2,1,0,0,0,0
94,95,Alabama,13,11,5,3,3,2,2,1
95,95,Iowa,13,11,5,2,0,0,0,0
96,95,Michigan State,14,11,4,3,2,1,1,0
97,95,Missouri,13,11,2,1,0,0,0,0
98,95,New Mexico State,13,11,3,1,1,1,1,1
99,95,South Carolina,13,11,3,3,1,1,1,1
100,95,Southern Mississippi,14,11,3,2,2,1,1,0
101,95,Stanford,13,11,2,2,0,0,0,0
102,95,Toledo,13,11,6,4,3,3,3,2
103,95,Tulane,13,11,6,2,2,2,1,1
104,95,Washington,13,11,6,4,3,1,1,0
105,95,Wyoming,13,11,5,3,1,0,0,0
106,107,Arizona,12,12,3,0,0,0,0,0
107,107,Michigan,13,12,0,0,0,0,0,0
108,109,Northern Illinois,14,13,4,4,1,0,0,0
109,110,Baylor,13,14,6,3,2,1,0,0
110,110,Houston,14,14,5,3,1,1,0,0
111,110,Louisville,13,14,2,2,2,0,0,0
112,110,Rutgers,13,14,3,2,0,0,0,0
113,110,Wisconsin,14,14,7,2,2,2,1,1
114,115,Louisiana-Lafayette,13,15,6,2,2,1,1,0
115,115,West Virginia,13,15,5,4,3,3,2,2
