,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Texas Tech,12,22,1.83
1,2,Hawai'i,13,20,1.54
2,2,Cincinnati,13,20,1.54
3,2,Western Michigan,13,20,1.54
4,5,Toledo,13,19,1.46
5,5,North Carolina State,13,19,1.46
6,7,Memphis,12,18,1.50
7,7,Kent State,12,18,1.50
8,7,Stanford,13,18,1.38
9,7,Arizona State,13,18,1.38
10,7,Oklahoma State,13,18,1.38
11,7,Boise State,13,18,1.38
12,7,Wisconsin,14,18,1.29
13,14,Wyoming,13,17,1.31
14,14,Auburn,13,17,1.31
15,14,Illinois,13,17,1.31
16,14,Marshall,13,17,1.31
17,14,San Diego State,13,17,1.31
18,14,Georgia,14,17,1.21
19,14,LSU,14,17,1.21
20,21,Colorado State,12,16,1.33
21,21,UAB,12,16,1.33
22,21,South Florida,12,16,1.33
23,21,UNLV,12,16,1.33
24,21,Mississippi State,13,16,1.23
25,21,Michigan,13,16,1.23
26,21,Washington,13,16,1.23
27,21,Rutgers,13,16,1.23
28,21,TCU,13,16,1.23
29,21,Texas A&M,13,16,1.23
30,21,Oregon,14,16,1.14
31,32,New Mexico,12,15,1.25
32,32,San Jose State,12,15,1.25
33,32,Idaho,12,15,1.25
34,32,Texas,13,15,1.15
35,32,Arkansas State,13,15,1.15
36,32,Vanderbilt,13,15,1.15
37,38,Maryland,12,14,1.17
38,38,North Texas,12,14,1.17
39,38,Navy,12,14,1.17
40,38,Missouri,13,14,1.08
41,38,Iowa State,13,14,1.08
42,38,SMU,13,14,1.08
43,38,South Carolina,13,14,1.08
44,38,Louisville,13,14,1.08
45,38,BYU,13,14,1.08
46,38,Temple,13,14,1.08
47,38,Utah,13,14,1.08
48,38,Tulane,13,14,1.08
49,38,Air Force,13,14,1.08
50,38,Southern Mississippi,14,14,1.00
51,52,Middle Tennessee,12,13,1.08
52,52,Kansas,12,13,1.08
53,52,Georgia Tech,13,13,1.00
54,52,Fresno State,13,13,1.00
55,52,Oklahoma,13,13,1.00
56,52,North Carolina,13,13,1.00
57,52,Tulsa,13,13,1.00
58,52,Michigan State,14,13,0.93
59,52,Houston,14,13,0.93
60,61,Indiana,12,12,1.00
61,61,Miami (Florida),12,12,1.00
62,61,Oregon State,12,12,1.00
63,61,East Carolina,12,12,1.00
64,61,Washington State,12,12,1.00
65,61,Iowa,13,12,0.92
66,61,Penn State,13,12,0.92
67,61,Pittsburgh,13,12,0.92
68,61,Virginia,13,12,0.92
69,61,Ohio,14,12,0.86
70,71,USC,12,11,0.92
71,71,Arizona,12,11,0.92
72,71,Florida Atlantic,12,11,0.92
73,71,Bowling Green,12,11,0.92
74,71,Rice,12,11,0.92
75,71,Troy,12,11,0.92
76,71,Syracuse,12,11,0.92
77,71,Florida,13,11,0.85
78,71,Baylor,13,11,0.85
79,71,Purdue,13,11,0.85
80,71,Clemson,14,11,0.79
81,82,Duke,12,10,0.83
82,82,Connecticut,12,10,0.83
83,82,Eastern Michigan,12,10,0.83
84,82,Louisiana-Lafayette,13,10,0.77
85,82,Colorado,13,10,0.77
86,82,Arkansas,13,10,0.77
87,82,Alabama,13,10,0.77
88,82,Ohio State,13,10,0.77
89,82,Louisiana Tech,13,10,0.77
90,82,Wake Forest,13,10,0.77
91,82,New Mexico State,13,10,0.77
92,93,Ball State,12,9,0.75
93,93,Akron,12,9,0.75
94,93,Buffalo,12,9,0.75
95,93,Kentucky,12,9,0.75
96,93,Tennessee,12,9,0.75
97,93,West Virginia,13,9,0.69
98,93,California,13,9,0.69
99,93,Kansas State,13,9,0.69
100,93,Utah State,13,9,0.69
101,102,Minnesota,12,8,0.67
102,102,Miami (Ohio),12,8,0.67
103,102,UCF,12,8,0.67
104,102,Northwestern,13,8,0.62
105,102,Notre Dame,13,8,0.62
106,102,Florida State,13,8,0.62
107,102,Nevada,13,8,0.62
108,102,Northern Illinois,14,8,0.57
109,102,Virginia Tech,14,8,0.57
110,111,Mississippi,12,7,0.58
111,111,Western Kentucky,12,7,0.58
112,111,Army,12,7,0.58
113,111,Nebraska,13,7,0.54
114,111,UCLA,14,7,0.50
115,116,UTEP,12,6,0.50
116,116,Louisiana-Monroe,12,6,0.50
117,116,Boston College,12,6,0.50
118,116,Florida International,13,6,0.46
119,120,Central Michigan,12,3,0.25
