,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Houston,14,93,13,91,1,0,690,49.3
1,2,Oklahoma State,13,81,22,79,1,0,633,48.7
2,3,Oregon,14,88,9,80,5,0,645,46.1
3,4,Baylor,13,80,10,75,2,0,589,45.3
4,5,Boise State,13,81,6,71,0,0,575,44.2
5,6,Wisconsin,14,85,8,80,2,0,618,44.1
6,7,Stanford,13,73,17,68,1,1,561,43.2
7,8,Toledo,13,72,15,66,3,0,549,42.2
8,9,TCU,13,70,14,61,4,0,531,40.8
9,10,Oklahoma,13,63,25,61,0,0,514,39.5
10,11,Texas A&M,13,60,29,55,1,2,508,39.1
11,12,Northern Illinois,14,68,20,64,1,1,536,38.3
12,13,West Virginia,13,63,16,61,0,1,489,37.6
13,14,Southern Mississippi,14,63,25,61,1,0,516,36.9
14,15,Arkansas,13,59,21,55,2,1,478,36.8
15,16,USC,12,55,15,50,1,1,429,35.8
16,17,LSU,14,65,16,62,0,0,500,35.7
17,18,Western Michigan,13,58,16,57,1,2,459,35.3
18,19,Air Force,13,59,15,51,2,0,454,34.9
19,20,Alabama,13,55,23,52,1,0,453,34.8
20,21,Georgia Tech,13,59,11,57,1,0,446,34.3
21,22,Texas Tech,12,52,14,50,0,1,406,33.8
22,23,Clemson,14,58,22,52,2,0,470,33.6
23,23,Utah State,13,60,6,57,0,1,437,33.6
24,25,Washington,13,57,11,57,1,0,434,33.4
25,26,Michigan,13,56,13,54,0,2,433,33.3
26,26,Cincinnati,13,55,17,50,1,0,433,33.3
27,28,Arizona State,13,55,15,52,2,0,431,33.2
28,29,Tulsa,13,55,15,51,2,0,430,33.1
29,30,Missouri,13,54,16,53,1,0,427,32.8
30,31,Arkansas State,13,50,24,44,2,1,422,32.5
31,32,Louisiana-Lafayette,13,53,18,46,0,1,420,32.3
32,33,Georgia,14,54,22,52,2,1,448,32.0
33,34,Kansas State,13,52,17,48,1,0,413,31.8
34,35,Nevada,13,53,14,50,1,0,412,31.7
35,36,Hawai'i,13,56,9,44,1,0,409,31.5
36,37,Michigan State,14,54,18,48,3,1,434,31.0
37,38,Arizona,12,49,10,37,4,0,369,30.8
38,39,Temple,13,50,16,50,0,0,398,30.6
39,39,Florida State,13,48,22,44,0,0,398,30.6
40,41,Ohio,14,50,25,48,0,2,427,30.5
41,42,South Carolina,13,53,7,50,1,0,391,30.1
42,42,Louisiana Tech,13,50,15,46,0,0,391,30.1
43,42,BYU,13,49,15,48,1,1,391,30.1
44,45,San Diego State,13,53,6,47,2,0,387,29.8
45,45,Washington State,12,45,15,41,1,0,358,29.8
46,47,Navy,12,47,10,42,1,0,356,29.7
47,48,South Florida,12,42,19,42,0,0,351,29.3
48,49,Notre Dame,13,50,10,48,1,0,380,29.2
49,49,Nebraska,13,46,19,44,1,0,379,29.2
50,51,Northwestern,13,51,6,50,1,0,376,28.9
51,52,Fresno State,13,49,10,47,0,0,371,28.5
52,53,California,13,45,20,36,1,0,368,28.3
53,54,North Carolina State,13,48,11,46,0,0,367,28.2
54,55,Texas,13,44,17,44,0,3,365,28.1
55,56,North Carolina,13,49,7,49,0,0,364,28.0
56,57,Virginia Tech,14,48,18,45,1,1,391,27.9
57,58,Iowa,13,45,14,44,1,0,358,27.5
58,59,UCF,12,40,15,38,0,1,325,27.1
59,60,Purdue,13,42,19,39,0,1,350,26.9
60,61,Vanderbilt,13,46,8,45,0,1,347,26.7
61,62,UTEP,12,40,14,35,0,1,319,26.6
62,63,Bowling Green,12,42,9,37,0,1,318,26.5
63,63,Miami (Florida),12,41,11,39,0,0,318,26.5
64,65,Rutgers,13,41,20,37,0,0,343,26.4
65,66,East Carolina,12,40,12,39,0,0,315,26.3
66,67,Wyoming,13,46,7,36,2,1,339,26.1
67,68,Wake Forest,13,41,17,39,0,1,338,26.0
68,69,SMU,13,45,8,42,0,0,336,25.8
69,70,Auburn,13,42,13,41,0,1,334,25.7
70,71,Florida,13,37,24,33,1,1,331,25.5
71,72,Mississippi State,13,42,12,39,0,1,329,25.3
72,72,Ball State,12,37,15,37,0,0,304,25.3
73,74,Utah,13,39,18,37,0,0,325,25.0
74,74,Florida International,13,37,22,37,0,0,325,25.0
75,76,Army,12,42,3,33,2,0,298,24.8
76,76,North Texas,12,39,8,38,0,1,298,24.8
77,78,Louisiana-Monroe,12,40,6,35,0,1,295,24.6
78,79,New Mexico State,13,43,7,34,3,0,319,24.5
79,79,Ohio State,13,39,16,36,0,0,318,24.5
80,79,San Jose State,12,33,20,30,2,1,294,24.5
81,82,Connecticut,12,32,22,29,2,0,291,24.3
82,83,Pittsburgh,13,36,21,32,2,0,315,24.2
83,83,Syracuse,12,35,15,33,1,0,290,24.2
84,85,Rice,12,33,17,31,0,0,280,23.3
85,86,Virginia,13,36,16,32,3,0,302,23.2
86,87,UCLA,14,42,11,34,1,1,323,23.1
87,87,Maryland,12,35,12,29,1,0,277,23.1
88,89,Western Kentucky,12,37,5,30,2,2,275,22.9
89,90,Iowa State,13,38,12,31,0,0,295,22.7
90,91,Illinois,13,38,10,34,1,0,294,22.6
91,91,Central Michigan,12,33,13,32,1,0,271,22.6
92,93,Duke,12,35,9,33,0,0,270,22.5
93,94,Troy,12,36,8,29,0,0,269,22.4
94,95,Kansas,12,36,6,34,0,0,268,22.3
95,95,Middle Tennessee,12,35,8,31,0,1,267,22.3
96,97,Buffalo,12,34,11,27,1,0,266,22.2
97,98,Louisville,13,36,12,33,0,0,285,21.9
98,99,Marshall,13,35,13,33,0,1,284,21.8
99,99,Oregon State,12,31,15,27,1,1,262,21.8
100,101,Colorado State,12,32,10,27,3,1,257,21.4
