,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Alabama,13,386,938,2.43,3,29.69,72.15
1,2,Florida State,13,458,1075,2.35,8,35.23,82.69
2,3,Connecticut,12,385,1028,2.67,11,32.08,85.67
3,4,Stanford,13,364,1149,3.16,16,28.00,88.38
4,5,LSU,14,460,1261,2.74,7,32.86,90.07
5,6,Cincinnati,13,457,1239,2.71,10,35.15,95.31
6,7,Texas,13,409,1251,3.06,15,31.46,96.23
7,8,Louisiana-Monroe,12,386,1200,3.11,13,32.17,100.00
8,9,Michigan State,14,502,1407,2.80,11,35.86,100.50
9,10,Louisville,13,435,1307,3.00,11,33.46,100.54
10,11,Georgia,14,440,1417,3.22,16,31.43,101.21
11,12,Texas A&M,13,508,1324,2.61,25,39.08,101.85
12,13,Arkansas State,13,448,1346,3.00,12,34.46,103.54
13,14,Virginia Tech,14,452,1457,3.22,15,32.29,104.07
14,15,South Florida,12,435,1288,2.96,11,36.25,107.33
15,16,UCF,12,347,1306,3.76,9,28.92,108.83
16,17,Boise State,13,405,1430,3.53,9,31.15,110.00
17,18,USC,12,369,1337,3.62,17,30.75,111.42
18,19,BYU,13,401,1457,3.63,16,30.85,112.08
19,20,Utah,13,453,1490,3.29,7,34.85,114.62
20,21,Pittsburgh,13,465,1520,3.27,17,35.77,116.92
21,22,Florida International,13,458,1535,3.35,15,35.23,118.08
22,23,SMU,13,466,1538,3.30,17,35.85,118.31
23,24,Southern Mississippi,14,506,1660,3.28,16,36.14,118.57
24,25,TCU,13,457,1609,3.52,7,35.15,123.77
25,26,Illinois,13,514,1610,3.13,15,39.54,123.85
26,27,North Carolina,13,452,1611,3.56,12,34.77,123.92
27,27,Temple,13,442,1611,3.64,11,34.00,123.92
28,29,Louisiana Tech,13,487,1655,3.40,11,37.46,127.31
29,30,Missouri,13,463,1656,3.58,17,35.62,127.38
30,31,Utah State,13,480,1661,3.46,22,36.92,127.77
31,32,Syracuse,12,436,1538,3.53,16,36.33,128.17
32,33,Kent State,12,446,1539,3.45,16,37.17,128.25
33,34,Tulsa,13,509,1670,3.28,20,39.15,128.46
34,35,California,13,442,1673,3.79,17,34.00,128.69
35,36,Vanderbilt,13,473,1697,3.59,12,36.38,130.54
36,37,North Carolina State,13,458,1706,3.72,18,35.23,131.23
37,38,Kansas State,13,429,1707,3.98,18,33.00,131.31
38,39,Michigan,13,429,1712,3.99,14,33.00,131.69
39,40,Florida,13,507,1725,3.40,16,39.00,132.69
40,41,Toledo,13,438,1726,3.94,17,33.69,132.77
41,42,Penn State,13,481,1733,3.60,13,37.00,133.31
42,43,Western Kentucky,12,372,1612,4.33,18,31.00,134.33
43,44,Oklahoma,13,476,1751,3.68,15,36.62,134.69
44,45,South Carolina,13,489,1768,3.62,12,37.62,136.00
45,46,Louisiana-Lafayette,13,483,1802,3.73,26,37.15,138.62
46,47,Notre Dame,13,478,1806,3.78,8,36.77,138.92
47,48,Virginia,13,460,1813,3.94,15,35.38,139.46
48,49,Rutgers,13,476,1815,3.81,17,36.62,139.62
49,50,Eastern Michigan,12,407,1686,4.14,12,33.92,140.50
50,51,Ohio State,13,479,1840,3.84,13,36.85,141.54
51,52,Ohio,14,494,1984,4.02,13,35.29,141.71
52,53,Hawai'i,13,475,1852,3.90,19,36.54,142.46
53,54,Oregon,14,548,1999,3.65,14,39.14,142.79
54,55,West Virginia,13,472,1880,3.98,21,36.31,144.62
55,56,Nevada,13,425,1916,4.51,15,32.69,147.38
56,57,Arizona State,13,454,1945,4.28,21,34.92,149.62
57,58,Marshall,13,470,1948,4.14,19,36.15,149.85
58,59,Boston College,12,425,1813,4.27,22,35.42,151.08
59,60,Wisconsin,14,498,2137,4.29,17,35.57,152.64
60,61,Mississippi State,13,536,1995,3.72,15,41.23,153.46
61,62,Iowa,13,549,2028,3.69,16,42.23,156.00
62,63,Washington State,12,429,1887,4.40,19,35.75,157.25
