,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,13,53,15,7,2,2,1,0,0,0
1,2,South Carolina,13,67,25,7,1,1,1,0,0,0
2,3,Tennessee,12,77,26,13,10,4,4,3,2,0
3,4,Army,12,78,25,15,9,4,2,0,0,0
4,5,Air Force,13,82,28,11,4,2,2,1,1,0
5,5,Colorado State,12,82,25,12,7,4,2,1,1,0
6,7,Illinois,13,84,30,12,3,1,1,0,0,0
7,7,Indiana,12,84,40,19,13,8,7,4,2,0
8,9,Buffalo,12,86,28,17,10,7,5,1,0,0
9,10,UCF,12,88,29,14,6,3,3,2,1,0
10,11,Nebraska,13,89,38,18,10,6,2,2,1,0
11,11,Wisconsin,14,89,29,15,6,1,0,0,0,0
12,13,Florida,13,90,30,11,5,1,0,0,0,0
13,14,Michigan State,14,91,33,17,8,5,4,1,1,0
14,15,Bowling Green,12,92,25,17,10,4,1,1,0,0
15,15,Rutgers,13,92,37,12,2,1,1,0,0,0
16,17,Miami (Ohio),12,93,33,12,6,4,2,1,0,0
17,17,Mississippi,12,93,32,16,8,4,2,0,0,0
18,19,East Carolina,12,94,32,9,8,6,2,2,0,0
19,20,Florida State,13,96,30,15,5,3,2,0,0,0
20,20,Kent State,12,96,33,12,5,3,1,0,0,0
21,22,Middle Tennessee,12,97,32,16,8,4,3,3,0,0
22,22,Ohio State,13,97,28,11,5,2,1,0,0,0
23,24,Boise State,13,99,39,22,12,9,3,2,0,0
24,24,LSU,14,99,26,9,5,3,3,1,0,0
25,26,Minnesota,12,100,31,9,5,3,3,0,0,0
26,27,BYU,13,101,30,12,7,6,1,1,0,0
27,27,Eastern Michigan,12,101,26,13,7,5,3,3,1,1
28,27,Kentucky,12,101,37,14,8,3,0,0,0,0
29,27,Penn State,13,101,32,7,4,3,1,1,0,0
30,31,San Diego State,13,102,42,24,14,7,3,3,2,0
