,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Louisville,13,13,7,0.54,0,1.0,0.5
1,2,Northern Illinois,14,10,10,1.00,0,0.7,0.7
2,3,South Florida,12,9,19,2.11,0,0.8,1.6
3,4,LSU,14,20,73,3.65,0,1.4,5.2
4,5,Arkansas State,13,18,69,3.83,0,1.4,5.3
5,6,Vanderbilt,13,23,89,3.87,1,1.8,6.8
6,7,Ohio,14,9,36,4.00,0,0.6,2.6
7,8,Virginia Tech,14,17,70,4.12,0,1.2,5.0
8,9,North Carolina State,13,16,69,4.31,0,1.2,5.3
9,10,Iowa,13,14,64,4.57,0,1.1,4.9
10,11,North Carolina,13,16,74,4.63,0,1.2,5.7
11,12,Alabama,13,11,51,4.64,0,0.8,3.9
12,12,Utah,13,14,65,4.64,1,1.1,5.0
13,12,SMU,13,28,130,4.64,0,2.2,10.0
14,15,Navy,12,6,28,4.67,0,0.5,2.3
15,15,North Texas,12,27,126,4.67,0,2.3,10.5
16,17,UAB,12,14,66,4.71,0,1.2,5.5
17,18,Pittsburgh,13,18,85,4.72,0,1.4,6.5
18,19,Louisiana-Lafayette,13,16,76,4.75,0,1.2,5.8
19,20,Washington,13,17,82,4.82,0,1.3,6.3
20,21,Mississippi State,13,24,119,4.96,0,1.8,9.2
21,22,Texas Tech,12,21,109,5.19,0,1.8,9.1
22,22,Western Kentucky,12,26,135,5.19,0,2.2,11.3
23,24,Wyoming,13,19,101,5.32,0,1.5,7.8
24,25,Ball State,12,24,129,5.38,0,2.0,10.8
25,26,Minnesota,12,7,38,5.43,0,0.6,3.2
26,27,Florida,13,18,99,5.50,0,1.4,7.6
27,28,Missouri,13,17,97,5.71,0,1.3,7.5
28,29,Wake Forest,13,26,151,5.81,0,2.0,11.6
29,30,Western Michigan,13,10,59,5.90,0,0.8,4.5
30,31,Temple,13,19,113,5.95,0,1.5,8.7
31,32,Rutgers,13,23,137,5.96,0,1.8,10.5
32,33,Southern Mississippi,14,16,98,6.13,0,1.1,7.0
33,34,Boston College,12,11,68,6.18,0,0.9,5.7
34,35,Auburn,13,10,62,6.20,0,0.8,4.8
35,35,Maryland,12,15,93,6.20,0,1.3,7.8
36,35,Purdue,13,20,124,6.20,0,1.5,9.5
37,38,Rice,12,22,137,6.23,0,1.8,11.4
38,39,Georgia Tech,13,13,82,6.31,0,1.0,6.3
39,40,Stanford,13,11,70,6.36,0,0.8,5.4
40,41,Connecticut,12,33,214,6.48,0,2.8,17.8
41,42,Iowa State,13,24,157,6.54,1,1.8,12.1
42,43,Ohio State,13,26,171,6.58,1,2.0,13.2
43,44,Indiana,12,25,166,6.64,1,2.1,13.8
44,45,Middle Tennessee,12,27,184,6.81,1,2.3,15.3
45,46,UTEP,12,22,150,6.82,0,1.8,12.5
46,47,Cincinnati,13,21,144,6.86,0,1.6,11.1
47,48,South Carolina,13,16,111,6.94,0,1.2,8.5
48,49,California,13,17,119,7.00,1,1.3,9.2
49,49,Illinois,13,21,147,7.00,0,1.6,11.3
50,51,Duke,12,19,138,7.26,0,1.6,11.5
51,51,Akron,12,23,167,7.26,0,1.9,13.9
52,53,Bowling Green,12,15,111,7.40,0,1.3,9.3
53,54,TCU,13,16,119,7.44,1,1.2,9.2
54,55,Hawai'i,13,4,30,7.50,0,0.3,2.3
