,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
107,108,Connecticut,12,1422,2336,825,3758,4.56,313.2
108,109,Utah,13,1790,2252,806,4042,5.01,310.9
109,110,Minnesota,12,1920,1804,744,3724,5.01,310.3
110,111,Idaho,12,1359,2259,810,3618,4.47,301.5
111,112,Boston College,12,1571,2032,761,3603,4.73,300.3
112,113,New Mexico,12,1358,2196,760,3554,4.68,296.2
113,114,Mississippi,12,1550,1819,773,3369,4.36,280.8
114,115,Akron,12,1373,1960,789,3333,4.22,277.8
115,116,Memphis,12,1008,2283,786,3291,4.19,274.3
116,117,UNLV,12,1971,1315,769,3286,4.27,273.8
117,118,Kentucky,12,1490,1627,764,3117,4.08,259.8
118,119,Kent State,12,1293,1745,780,3038,3.89,253.2
119,120,Florida Atlantic,12,1268,1717,738,2985,4.04,248.8
