,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Oklahoma State,13,20,24,44,10,13,23,21,1.62
1,2,LSU,14,12,18,30,5,5,10,20,1.43
2,3,Toledo,13,16,14,30,7,7,14,16,1.23
3,4,Houston,14,10,21,31,9,6,15,16,1.14
4,4,Wisconsin,14,10,16,26,5,5,10,16,1.14
5,6,North Carolina State,13,12,27,39,13,12,25,14,1.08
6,7,Kent State,12,17,14,31,10,9,19,12,1.00
7,7,Memphis,12,18,12,30,10,8,18,12,1.00
8,9,Cincinnati,13,17,16,33,7,14,21,12,0.92
9,9,Wyoming,13,18,13,31,8,11,19,12,0.92
10,9,San Diego State,13,13,15,28,8,8,16,12,0.92
11,9,Kansas State,13,9,18,27,9,6,15,12,0.92
12,13,Louisiana Tech,13,10,21,31,9,11,20,11,0.85
13,14,Utah,13,14,19,33,13,10,23,10,0.77
14,15,Navy,12,14,10,24,9,6,15,9,0.75
15,16,Arizona State,13,17,15,32,10,13,23,9,0.69
16,16,Wake Forest,13,8,13,21,4,8,12,9,0.69
17,16,Temple,13,6,15,21,8,4,12,9,0.69
18,19,Connecticut,12,13,18,31,14,9,23,8,0.67
19,19,Rice,12,14,13,27,12,7,19,8,0.67
20,19,North Texas,12,16,9,25,8,9,17,8,0.67
21,22,Oregon,14,12,17,29,13,7,20,9,0.64
22,23,Boise State,13,11,15,26,8,10,18,8,0.62
23,23,Alabama,13,7,13,20,4,8,12,8,0.62
24,25,Michigan,13,20,9,29,6,16,22,7,0.54
25,26,Georgia,14,12,20,32,11,14,25,7,0.50
26,26,Michigan State,14,7,18,25,8,10,18,7,0.50
27,28,Rutgers,13,15,19,34,12,16,28,6,0.46
28,29,Northern Illinois,14,12,13,25,13,6,19,6,0.43
29,30,South Carolina,13,13,19,32,12,15,27,5,0.38
30,30,Baylor,13,13,16,29,18,6,24,5,0.38
31,30,Stanford,13,15,7,22,7,10,17,5,0.38
32,30,Ohio State,13,7,13,20,10,5,15,5,0.38
33,30,Florida International,13,6,14,20,10,5,15,5,0.38
34,35,Virginia Tech,14,7,16,23,8,10,18,5,0.36
35,36,Maryland,12,16,11,27,7,16,23,4,0.33
36,37,Florida State,13,7,16,23,7,12,19,4,0.31
