,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,North Carolina State,13,27,381,3,2.08
1,2,Oklahoma State,13,24,280,1,1.85
2,3,Louisiana Tech,13,21,289,5,1.62
3,3,Houston,14,21,238,2,1.50
4,5,Georgia,14,20,294,1,1.43
5,6,Vanderbilt,13,19,406,4,1.46
6,6,Utah,13,19,313,2,1.46
7,6,Rutgers,13,19,237,2,1.46
8,6,Arkansas State,13,19,229,1,1.46
9,6,South Carolina,13,19,151,2,1.46
10,6,Southern Mississippi,14,19,519,8,1.36
11,12,Connecticut,12,18,168,1,1.50
12,12,Tulsa,13,18,355,3,1.38
13,12,Kansas State,13,18,273,3,1.38
14,12,Michigan State,14,18,346,4,1.29
15,12,LSU,14,18,298,3,1.29
16,17,Oregon,14,17,426,3,1.21
17,18,Baylor,13,16,344,2,1.23
18,18,Cincinnati,13,16,244,3,1.23
19,18,Florida State,13,16,189,1,1.23
20,18,Virginia Tech,14,16,203,0,1.14
21,18,Wisconsin,14,16,100,0,1.14
22,23,Kentucky,12,15,198,0,1.25
23,23,Oklahoma,13,15,265,1,1.15
24,23,Arizona State,13,15,223,1,1.15
25,23,Temple,13,15,184,0,1.15
26,23,Nevada,13,15,163,1,1.15
27,23,Boise State,13,15,161,1,1.15
28,23,San Diego State,13,15,98,0,1.15
29,23,Ohio,14,15,242,1,1.07
30,31,Kent State,12,14,103,0,1.17
31,31,Louisiana-Lafayette,13,14,455,7,1.08
32,31,Florida International,13,14,272,2,1.08
33,31,Hawai'i,13,14,240,2,1.08
34,31,Penn State,13,14,218,0,1.08
35,31,Toledo,13,14,203,2,1.08
36,31,West Virginia,13,14,190,2,1.08
37,31,Georgia Tech,13,14,177,3,1.08
38,31,Marshall,13,14,115,1,1.08
39,31,North Carolina,13,14,55,0,1.08
40,31,Clemson,14,14,270,1,1.00
41,31,UCLA,14,14,140,1,1.00
42,43,Rice,12,13,139,1,1.08
43,43,Boston College,12,13,128,1,1.08
44,43,San Jose State,12,13,101,0,1.08
45,43,Louisiana-Monroe,12,13,75,0,1.08
46,43,Western Kentucky,12,13,75,0,1.08
47,43,Wake Forest,13,13,241,0,1.00
48,43,Alabama,13,13,218,3,1.00
49,43,BYU,13,13,210,1,1.00
50,43,Wyoming,13,13,150,1,1.00
51,43,Ohio State,13,13,128,0,1.00
52,43,Missouri,13,13,113,0,1.00
53,43,Northern Illinois,14,13,119,2,0.93
54,55,UTEP,12,12,169,1,1.00
55,55,Memphis,12,12,161,1,1.00
56,55,South Florida,12,12,75,2,1.00
57,55,Arkansas,13,12,215,0,0.92
58,55,Tulane,13,12,214,3,0.92
59,55,California,13,12,210,1,0.92
60,55,Mississippi State,13,12,186,2,0.92
61,55,Purdue,13,12,142,1,0.92
62,55,Texas,13,12,125,1,0.92
63,55,Virginia,13,12,100,1,0.92
64,55,Northwestern,13,12,79,0,0.92
65,55,Air Force,13,12,67,0,0.92
66,55,Western Michigan,13,12,30,1,0.92
67,68,Arizona,12,11,234,3,0.92
68,68,Maryland,12,11,147,3,0.92
69,68,Oregon State,12,11,108,1,0.92
70,68,Iowa State,13,11,184,1,0.85
71,68,Auburn,13,11,180,2,0.85
72,73,Florida Atlantic,12,10,162,1,0.83
73,73,Mississippi,12,10,153,1,0.83
74,73,Navy,12,10,152,2,0.83
75,73,Ball State,12,10,103,0,0.83
76,73,Syracuse,12,10,95,0,0.83
77,73,Miami (Ohio),12,10,28,1,0.83
78,73,Iowa,13,10,260,2,0.77
79,73,TCU,13,10,202,3,0.77
80,73,Louisville,13,10,115,1,0.77
81,73,Nebraska,13,10,85,0,0.77
82,73,Illinois,13,10,81,2,0.77
83,73,New Mexico State,13,10,60,0,0.77
84,73,Washington,13,10,51,0,0.77
85,86,Tennessee,12,9,250,2,0.75
86,86,UAB,12,9,165,2,0.75
87,86,Idaho,12,9,164,2,0.75
88,86,North Texas,12,9,150,2,0.75
89,86,UCF,12,9,117,1,0.75
90,86,USC,12,9,95,1,0.75
91,86,Michigan,13,9,163,1,0.69
92,93,Washington State,12,8,173,2,0.67
93,93,Kansas,12,8,160,1,0.67
94,93,Army,12,8,151,1,0.67
95,93,Troy,12,8,145,1,0.67
96,93,Colorado State,12,8,132,2,0.67
97,93,Central Michigan,12,8,52,0,0.67
98,93,Notre Dame,13,8,186,1,0.62
99,93,Florida,13,8,148,2,0.62
100,93,Pittsburgh,13,8,116,0,0.62
101,102,UNLV,12,7,67,0,0.58
102,102,East Carolina,12,7,60,0,0.58
103,102,Texas A&M,13,7,216,0,0.54
104,102,Stanford,13,7,131,1,0.54
105,102,Colorado,13,7,85,0,0.54
106,107,Duke,12,6,158,1,0.50
107,107,Buffalo,12,6,107,1,0.50
108,107,Bowling Green,12,6,85,0,0.50
109,107,Miami (Florida),12,6,74,1,0.50
110,107,SMU,13,6,32,0,0.46
111,112,Texas Tech,12,5,76,0,0.42
112,112,Indiana,12,5,51,1,0.42
113,112,Eastern Michigan,12,5,18,0,0.42
114,112,Fresno State,13,5,27,0,0.38
115,116,Middle Tennessee,12,4,176,0,0.33
116,116,Minnesota,12,4,19,0,0.33
117,116,Utah State,13,4,19,0,0.31
118,119,New Mexico,12,3,21,0,0.25
119,120,Akron,12,2,0,0,0.17
