,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Houston,14,682,479,70.2,6301,9.2,54,6,172.22,48.7,450.1
1,2,Oklahoma State,13,595,428,71.9,5034,8.5,40,13,160.82,45.8,387.2
2,3,Arizona,12,577,398,69.0,4444,7.7,29,15,145.07,48.1,370.3
3,4,Baylor,13,424,307,72.4,4569,10.8,40,6,191.23,32.6,351.5
4,5,Oklahoma,13,583,365,62.6,4542,7.8,29,16,138.97,44.8,349.4
5,6,West Virginia,13,542,353,65.1,4509,8.3,32,9,151.17,41.7,346.8
6,7,Texas Tech,12,600,409,68.2,4145,6.9,31,10,139.92,50.0,345.4
7,8,Western Michigan,13,554,369,66.6,4385,7.9,40,16,151.15,42.6,337.3
8,9,Washington State,12,492,297,60.4,3868,7.9,30,12,141.65,41.0,322.3
9,10,Arizona State,13,527,333,63.2,4117,7.8,27,13,140.79,40.5,316.7
10,11,Boise State,13,477,352,73.8,4022,8.4,45,10,171.57,36.7,309.4
11,12,Hawai'i,13,598,359,60.0,4014,6.7,29,10,129.07,46.0,308.8
12,13,Arkansas,13,471,299,63.5,3909,8.3,26,7,148.44,36.2,300.7
13,14,Miami (Ohio),12,459,301,65.6,3589,7.8,24,11,143.73,38.3,299.1
14,15,USC,12,447,309,69.1,3530,7.9,39,7,161.12,37.3,294.2
15,16,Arkansas State,13,500,326,65.2,3817,7.6,21,16,136.79,38.5,293.6
16,17,Troy,12,531,332,62.5,3496,6.6,21,15,125.23,44.3,291.3
17,18,Texas A&M,13,536,331,61.8,3784,7.1,29,15,133.30,41.2,291.1
18,19,Oregon State,12,503,320,63.6,3441,6.8,16,19,124.03,41.9,286.8
19,20,East Carolina,12,524,355,67.7,3433,6.6,25,20,130.90,43.7,286.1
20,21,Clemson,14,525,311,59.2,3952,7.5,33,12,138.65,37.5,282.3
21,22,Stanford,13,417,297,71.2,3623,8.7,38,10,169.47,32.1,278.7
22,23,San Jose State,12,479,297,62.0,3322,6.9,13,15,122.95,39.9,276.8
23,24,SMU,13,476,281,59.0,3573,7.5,17,19,125.88,36.6,274.8
24,25,Central Michigan,12,458,258,56.3,3290,7.2,25,18,126.82,38.2,274.2
25,26,New Mexico State,13,451,249,55.2,3551,7.9,24,14,132.70,34.7,273.2
26,27,Fresno State,13,448,279,62.3,3544,7.9,26,10,143.42,34.5,272.6
27,28,Duke,12,493,315,63.9,3266,6.6,15,12,124.72,41.1,272.2
28,29,Louisiana-Lafayette,13,437,266,60.9,3503,8.0,25,10,142.50,33.6,269.5
29,30,Toledo,13,425,291,68.5,3480,8.2,34,7,160.36,32.7,267.7
30,31,Bowling Green,12,428,254,59.3,3139,7.3,28,14,136.01,35.7,261.6
31,32,Nevada,13,409,270,66.0,3369,8.2,20,12,145.48,31.5,259.2
32,33,Florida State,13,383,247,64.5,3341,8.7,25,12,153.03,29.5,257.0
33,34,Southern Mississippi,14,489,292,59.7,3587,7.3,32,12,138.01,34.9,256.2
34,35,Washington,13,406,267,65.8,3322,8.2,36,13,157.35,31.2,255.5
