,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,13,22,5,3,1,1,1,1,1,0
1,2,Florida State,13,29,6,3,2,1,0,0,0,0
2,3,Louisiana-Monroe,12,36,6,2,2,1,1,0,0,0
3,4,TCU,13,38,12,7,2,1,1,0,0,0
4,5,Tulsa,13,39,7,4,1,1,1,0,0,0
5,6,USC,12,40,8,3,2,2,1,1,0,0
6,7,SMU,13,41,9,5,2,2,1,0,0,0
7,8,BYU,13,42,12,5,4,4,3,2,2,0
8,8,Louisville,13,42,8,1,1,1,0,0,0,0
9,10,Boise State,13,44,12,5,4,3,2,2,2,0
10,10,Connecticut,12,44,10,4,2,0,0,0,0,0
11,10,Stanford,13,44,11,6,5,4,2,0,0,0
12,13,Temple,13,45,13,7,2,1,1,1,1,0
13,13,Texas,13,45,11,4,2,2,2,1,0,0
14,15,Illinois,13,46,10,4,1,1,1,0,0,0
15,15,Kent State,12,46,14,4,3,1,1,0,0,0
16,15,Pittsburgh,13,46,7,3,2,2,1,1,0,0
17,15,South Florida,12,46,6,1,0,0,0,0,0,0
18,19,Kansas State,13,47,14,8,6,5,2,0,0,0
19,19,Texas A&M,13,47,6,2,1,0,0,0,0,0
20,19,UCF,12,47,6,2,1,1,0,0,0,0
21,22,Cincinnati,13,48,10,3,0,0,0,0,0,0
22,22,Louisiana Tech,13,48,7,1,0,0,0,0,0,0
23,22,Utah,13,48,11,3,2,1,0,0,0,0
24,25,Michigan State,14,49,9,1,0,0,0,0,0,0
25,25,North Carolina,13,49,13,5,1,0,0,0,0,0
26,25,Penn State,13,49,10,3,1,0,0,0,0,0
27,28,Arkansas State,13,50,11,4,1,0,0,0,0,0
28,28,Boston College,12,50,13,5,2,1,1,1,0,0
29,30,Louisiana-Lafayette,13,51,17,9,3,2,1,0,0,0
30,30,Missouri,13,51,9,5,3,2,1,1,1,0
31,30,Ohio State,13,51,13,7,5,1,0,0,0,0
32,30,Syracuse,12,51,11,6,5,2,2,0,0,0
33,30,Utah State,13,51,7,4,0,0,0,0,0,0
34,35,LSU,14,52,9,2,1,0,0,0,0,0
35,35,Southern Mississippi,14,52,12,7,5,0,0,0,0,0
36,35,Toledo,13,52,13,5,4,3,2,1,1,0
37,35,Virginia Tech,14,52,14,8,1,0,0,0,0,0
38,39,Washington State,12,53,14,9,4,3,0,0,0,0
39,40,California,13,54,21,10,3,2,1,0,0,0
40,40,East Carolina,12,54,13,9,1,1,1,1,0,0
41,40,West Virginia,13,54,17,8,5,4,2,0,0,0
42,43,Florida,13,55,11,4,2,1,1,1,0,0
43,43,South Carolina,13,55,8,4,1,0,0,0,0,0
44,43,Western Kentucky,12,55,17,10,8,5,1,1,0,0
45,46,Buffalo,12,56,15,7,6,4,2,1,0,0
46,46,Central Michigan,12,56,19,10,3,2,2,1,1,0
47,46,Eastern Michigan,12,56,12,7,5,3,2,0,0,0
48,46,Georgia,14,56,10,4,3,1,1,0,0,0
49,46,Nevada,13,56,18,5,5,2,2,0,0,0
50,46,Oregon,14,56,12,5,2,1,0,0,0,0
51,52,Florida International,13,58,11,4,0,0,0,0,0,0
52,52,Iowa,13,58,8,3,0,0,0,0,0,0
53,52,Notre Dame,13,58,8,4,1,0,0,0,0,0
54,52,Rutgers,13,58,21,11,6,6,3,1,1,0
55,56,Arkansas,13,59,15,7,6,2,1,0,0,0
56,56,Idaho,12,59,10,5,3,3,1,1,1,0
57,56,Washington,13,59,27,15,7,5,4,4,1,0
58,59,Hawai'i,13,60,13,6,4,2,1,1,1,0
59,59,North Carolina State,13,60,17,8,3,1,1,1,0,0
60,61,Arizona,12,62,19,7,5,0,0,0,0,0
61,61,Kentucky,12,62,16,6,4,4,3,1,1,0
62,61,San Diego State,13,62,24,10,4,4,2,0,0,0
63,61,Virginia,13,62,20,6,4,2,1,0,0,0
64,61,Wisconsin,14,62,16,8,5,4,3,1,1,1
65,66,Army,12,63,21,9,7,5,1,0,0,0
66,66,Mississippi State,13,63,12,4,1,1,0,0,0,0
67,66,North Texas,12,63,18,10,5,4,2,1,0,0
68,69,Wake Forest,13,64,26,11,8,5,2,1,0,0
69,70,Marshall,13,65,18,7,6,4,1,1,1,0
70,70,Miami (Florida),12,65,10,4,2,0,0,0,0,0
71,70,Michigan,13,65,17,4,1,0,0,0,0,0
72,70,Troy,12,65,18,8,5,4,1,1,0,0
73,70,Vanderbilt,13,65,10,3,3,3,1,0,0,0
74,75,Duke,12,66,18,7,2,0,0,0,0,0
75,75,Fresno State,13,66,28,16,11,7,3,1,0,0
76,75,San Jose State,12,66,20,10,6,4,4,4,0,0
77,75,Tennessee,12,66,15,4,4,3,3,1,0,0
78,75,UTEP,12,66,23,15,9,4,4,2,0,0
79,80,Clemson,14,67,19,8,5,3,0,0,0,0
80,80,Miami (Ohio),12,67,19,8,5,2,2,1,1,1
81,80,Nebraska,13,67,11,3,1,1,1,0,0,0
82,83,Arizona State,13,68,25,6,2,0,0,0,0,0
83,83,Georgia Tech,13,68,17,7,4,2,1,1,0,0
84,83,Ohio,14,68,17,9,2,2,1,0,0,0
