,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Stanford,13,69,67,97.10,53,76.81,14,20.29
1,2,Texas A&M,13,62,59,95.16,42,67.74,17,27.42
2,3,Wisconsin,14,75,71,94.67,64,85.33,7,9.33
3,4,LSU,14,61,57,93.44,44,72.13,13,21.31
4,5,Louisiana-Lafayette,13,42,39,92.86,28,66.67,11,26.19
5,6,Toledo,13,53,49,92.45,40,75.47,9,16.98
6,7,Kent State,12,26,24,92.31,16,61.54,8,30.77
7,8,Pittsburgh,13,46,42,91.30,29,63.04,13,28.26
8,9,Ball State,12,49,44,89.80,30,61.22,14,28.57
9,10,Ohio State,13,39,35,89.74,25,64.10,10,25.64
10,11,Missouri,13,57,51,89.47,37,64.91,14,24.56
11,12,Georgia Tech,13,55,49,89.09,40,72.73,9,16.36
12,12,California,13,55,49,89.09,34,61.82,15,27.27
13,14,Oklahoma State,13,82,73,89.02,53,64.63,20,24.39
14,15,Texas Tech,12,54,48,88.89,40,74.07,8,14.81
15,15,Rice,12,36,32,88.89,21,58.33,11,30.56
16,15,Connecticut,12,36,32,88.89,19,52.78,13,36.11
17,18,West Virginia,13,61,54,88.52,41,67.21,13,21.31
18,19,Washington,13,52,46,88.46,42,80.77,4,7.69
19,20,Kansas State,13,60,53,88.33,41,68.33,12,20.00
20,21,Alabama,13,58,51,87.93,32,55.17,19,32.76
21,22,Oklahoma,13,66,58,87.88,39,59.09,19,28.79
22,22,Marshall,13,33,29,87.88,19,57.58,10,30.30
23,24,TCU,13,65,57,87.69,47,72.31,10,15.38
24,25,East Carolina,12,47,41,87.23,33,70.21,8,17.02
25,26,Northern Illinois,14,70,61,87.14,44,62.86,17,24.29
26,27,Western Michigan,13,62,54,87.10,43,69.35,11,17.74
27,28,Florida International,13,46,40,86.96,22,47.83,18,39.13
28,29,Air Force,13,61,53,86.89,40,65.57,13,21.31
29,30,Fresno State,13,38,33,86.84,27,71.05,6,15.79
30,31,Utah State,13,45,39,86.67,35,77.78,4,8.89
31,31,North Carolina State,13,45,39,86.67,30,66.67,9,20.00
32,33,Oregon,14,67,58,86.57,51,76.12,7,10.45
33,34,Nebraska,13,52,45,86.54,33,63.46,12,23.08
34,34,Florida State,13,52,45,86.54,30,57.69,15,28.85
35,36,Florida,13,37,32,86.49,18,48.65,14,37.84
36,37,Arkansas,13,59,51,86.44,35,59.32,16,27.12
37,38,Memphis,12,22,19,86.36,13,59.09,6,27.27
38,39,Louisiana Tech,13,50,43,86.00,32,64.00,11,22.00
39,40,Temple,13,49,42,85.71,28,57.14,14,28.57
