,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Alabama,13,12,7,11,1,0,106,8.2
1,2,LSU,14,15,17,13,1,1,158,11.3
2,3,Temple,13,24,4,21,2,0,181,13.9
3,4,Florida State,13,25,8,20,0,1,196,15.1
4,5,Penn State,13,25,15,23,0,0,218,16.8
5,6,Michigan,13,27,12,26,1,0,226,17.4
6,7,Virginia Tech,14,31,11,28,0,0,247,17.6
7,8,UCF,12,25,15,21,2,0,220,18.3
8,8,Rutgers,13,28,16,22,0,0,238,18.3
9,10,South Carolina,13,27,17,22,1,1,239,18.4
10,10,Michigan State,14,33,8,29,2,1,257,18.4
11,12,Boise State,13,33,5,24,3,0,243,18.7
12,13,Wisconsin,14,34,9,29,2,1,266,19.0
13,14,Florida International,13,30,14,27,0,2,253,19.5
14,15,Illinois,13,31,12,31,0,1,255,19.6
15,16,Mississippi State,13,28,20,28,0,0,256,19.7
16,17,Miami (Florida),12,28,15,26,1,0,241,20.1
17,17,Louisville,13,33,10,31,1,0,261,20.1
18,19,Utah,13,31,15,28,1,1,263,20.2
19,20,Cincinnati,13,29,20,28,1,0,264,20.3
20,20,Florida,13,33,11,31,0,1,264,20.3
21,22,BYU,13,33,12,31,0,0,265,20.4
22,23,Georgia,14,37,11,31,1,0,288,20.6
23,24,Notre Dame,13,33,14,27,1,0,269,20.7
24,25,Arkansas State,13,33,12,30,1,2,270,20.8
25,25,Southern Mississippi,14,35,15,32,1,1,291,20.8
26,27,Ohio State,13,33,13,30,2,1,273,21.0
27,28,TCU,13,33,17,28,1,0,279,21.5
28,29,Vanderbilt,13,35,12,27,4,0,281,21.6
29,30,Stanford,13,37,9,32,2,0,285,21.9
30,31,Oklahoma,13,35,14,33,1,0,287,22.1
31,31,Ohio,14,39,12,38,0,1,310,22.1
32,33,Texas,13,32,22,31,0,0,289,22.2
33,33,Arkansas,13,38,7,38,1,0,289,22.2
34,35,Houston,14,40,12,38,0,0,314,22.4
35,36,Tennessee,12,33,13,32,0,1,271,22.6
36,37,South Florida,12,31,19,29,0,0,272,22.7
37,38,Pittsburgh,13,35,17,32,2,0,297,22.8
38,39,Miami (Ohio),12,36,9,32,0,0,275,22.9
39,40,SMU,13,36,17,33,0,0,300,23.1
40,41,Louisiana Tech,13,37,14,31,2,1,301,23.2
41,42,Nebraska,13,40,8,38,1,0,304,23.4
42,43,Boston College,12,31,22,30,0,0,282,23.5
43,43,Missouri,13,39,11,35,1,1,306,23.5
44,45,USC,12,37,8,29,4,0,283,23.6
45,46,Virginia,13,38,14,36,1,1,310,23.8
46,46,Iowa,13,38,16,34,0,0,310,23.8
47,48,California,13,39,14,36,1,0,314,24.2
48,49,Kent State,12,32,22,29,1,1,291,24.3
49,49,Eastern Michigan,12,34,17,29,3,1,292,24.3
50,49,Connecticut,12,38,9,35,0,1,292,24.3
51,52,Oregon,14,43,15,36,2,1,345,24.6
52,53,Kentucky,12,36,15,35,0,0,296,24.7
53,53,North Carolina State,13,39,16,37,1,0,321,24.7
54,55,Western Kentucky,12,39,11,31,0,0,298,24.8
55,55,North Carolina,13,38,19,36,1,0,323,24.8
56,57,San Diego State,13,43,9,38,1,0,325,25.0
57,58,Nevada,13,44,7,38,2,0,327,25.2
58,59,Louisiana-Monroe,12,40,9,36,1,0,305,25.4
59,60,Georgia Tech,13,45,9,42,0,0,339,26.1
60,61,West Virginia,13,42,19,37,1,0,348,26.8
61,61,Oklahoma State,13,44,13,41,0,2,348,26.8
62,61,Purdue,13,43,15,40,2,1,349,26.8
63,64,Tulsa,13,46,12,41,0,1,355,27.3
64,65,Wake Forest,13,43,18,40,1,1,356,27.4
65,66,Northwestern,13,45,15,41,2,0,360,27.7
66,67,Wyoming,13,47,13,40,0,0,361,27.8
67,68,Utah State,13,45,16,41,2,0,363,27.9
68,68,Kansas State,13,45,17,40,1,0,363,27.9
69,70,Texas A&M,13,45,17,41,2,0,366,28.2
70,71,Army,12,45,9,40,1,0,339,28.3
71,72,Air Force,13,50,8,43,1,0,369,28.4
72,73,Syracuse,12,38,26,36,0,0,342,28.5
73,74,Arizona State,13,46,18,42,0,0,372,28.6
74,74,Marshall,13,47,15,43,0,1,372,28.6
75,76,Western Michigan,13,48,12,47,0,1,373,28.7
76,77,Bowling Green,12,42,17,39,2,0,346,28.8
77,78,Navy,12,47,6,47,0,0,347,28.9
78,78,Auburn,13,46,18,42,2,0,376,28.9
79,80,Hawai'i,13,50,9,43,3,1,378,29.1
80,81,Clemson,14,52,16,50,0,0,410,29.3
81,82,Buffalo,12,46,11,44,0,0,353,29.4
82,82,Iowa State,13,43,27,41,1,0,382,29.4
83,84,Louisiana-Lafayette,13,49,15,47,0,1,388,29.8
84,85,San Jose State,12,46,13,43,1,2,364,30.3
85,85,UTEP,12,47,11,45,2,0,364,30.3
86,85,Northern Illinois,14,54,17,45,1,1,424,30.3
87,88,North Texas,12,49,10,44,0,0,368,30.7
88,89,Oregon State,12,51,5,45,2,0,370,30.8
89,90,Duke,12,47,16,44,0,0,374,31.2
90,91,Colorado State,12,50,8,47,1,1,375,31.3
91,92,UCLA,14,57,14,53,1,0,439,31.4
92,93,Minnesota,12,51,9,47,0,0,380,31.7
93,93,Toledo,13,56,8,50,1,0,412,31.7
94,95,Washington State,12,49,13,44,2,0,381,31.8
95,96,Mississippi,12,49,13,48,0,2,385,32.1
96,97,East Carolina,12,51,11,48,0,0,387,32.3
97,98,Idaho,12,51,13,50,0,2,399,33.3
98,98,Central Michigan,12,48,21,45,1,1,400,33.3
99,98,Rice,12,53,10,50,0,1,400,33.3
100,101,Troy,12,52,14,48,0,1,404,33.7
101,102,Maryland,12,53,13,52,1,0,411,34.3
