,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Stanford,13,41.0,136,3.15
1,2,Army,12,44.0,143,3.67
2,3,Ball State,12,47.0,129,3.92
3,4,TCU,13,48.0,197,3.69
4,5,Penn State,13,49.0,195,3.77
5,6,Maryland,12,51.0,220,4.25
6,7,USC,12,52.0,169,4.33
7,7,San Jose State,12,52.0,198,4.33
8,9,UAB,12,53.0,194,4.42
9,9,Oklahoma State,13,53.0,206,4.08
10,11,Houston,14,54.0,258,3.86
11,12,Boise State,13,57.0,176,4.39
12,12,Central Michigan,12,57.0,188,4.75
13,12,Oklahoma,13,57.0,191,4.39
14,12,BYU,13,57.0,239,4.39
15,16,Georgia Tech,13,58.0,182,4.46
16,16,San Diego State,13,58.0,206,4.46
17,18,Miami (Florida),12,59.0,224,4.92
18,18,Troy,12,59.0,259,4.92
19,20,Minnesota,12,60.0,174,5.00
20,20,Iowa,13,60.0,271,4.62
21,22,Fresno State,13,61.0,232,4.69
22,23,Syracuse,12,62.0,218,5.17
23,23,Tennessee,12,62.0,256,5.17
24,23,Notre Dame,13,62.0,263,4.77
25,23,Baylor,13,62.0,292,4.77
26,27,LSU,14,63.0,197,4.50
27,27,Texas Tech,12,63.0,228,5.25
28,27,South Florida,12,63.0,267,5.25
29,30,North Texas,12,64.0,217,5.33
30,30,Wisconsin,14,64.0,267,4.57
31,32,Air Force,13,65.0,186,5.00
32,32,Texas A&M,13,65.0,192,5.00
33,32,Temple,13,65.0,246,5.00
34,35,Navy,12,66.0,211,5.50
35,35,Toledo,13,66.0,223,5.08
36,35,Florida International,13,66.0,231,5.08
37,35,Boston College,12,66.0,247,5.50
38,35,Oregon State,12,66.0,326,5.50
39,40,UCF,12,67.0,225,5.58
40,40,Middle Tennessee,12,67.0,236,5.58
41,40,New Mexico,12,67.0,255,5.58
42,40,Tulsa,13,67.0,262,5.15
43,44,Utah State,13,68.0,221,5.23
44,44,Buffalo,12,68.0,246,5.67
45,44,Idaho,12,68.0,267,5.67
46,47,Duke,12,69.0,243,5.75
47,47,South Carolina,13,69.0,275,5.31
48,49,Northern Illinois,14,70.0,235,5.00
49,49,Nebraska,13,70.0,248,5.39
50,49,Western Michigan,13,70.0,281,5.39
51,52,Alabama,13,71.0,222,5.46
52,52,SMU,13,71.0,258,5.46
53,52,Southern Mississippi,14,71.0,267,5.07
54,52,Wyoming,13,71.0,273,5.46
55,52,Tulane,13,71.0,283,5.46
56,52,Arizona,12,71.0,301,5.92
57,58,Michigan State,14,72.0,240,5.14
58,58,Western Kentucky,12,72.0,294,6.00
59,58,New Mexico State,13,72.0,362,5.54
60,61,Kent State,12,73.0,328,6.08
61,61,North Carolina State,13,73.0,330,5.62
62,63,Oregon,14,74.0,220,5.29
63,63,Bowling Green,12,74.0,261,6.17
64,63,California,13,74.0,304,5.69
65,63,North Carolina,13,74.0,317,5.69
66,67,Arkansas State,13,75.0,311,5.77
67,67,Colorado,13,75.0,327,5.77
68,69,Nevada,13,76.0,256,5.85
69,69,Michigan,13,76.0,287,5.85
70,69,Washington State,12,76.0,308,6.33
71,72,Virginia,13,77.0,280,5.92
72,72,UTEP,12,77.0,324,6.42
73,72,Texas,13,77.0,359,5.92
74,75,Washington,13,78.0,291,6.00
75,75,Louisiana-Lafayette,13,78.0,297,6.00
76,75,Louisiana Tech,13,78.0,300,6.00
77,75,East Carolina,12,78.0,316,6.50
78,79,Arizona State,13,79.0,327,6.08
79,80,West Virginia,13,80.0,338,6.15
80,80,Miami (Ohio),12,80.0,432,6.67
81,82,UCLA,14,81.0,286,5.79
82,82,Marshall,13,81.0,287,6.23
83,82,Florida Atlantic,12,81.0,388,6.75
84,85,Louisiana-Monroe,12,81.5,306,6.79
85,86,UNLV,12,82.0,304,6.83
86,86,Northwestern,13,82.0,352,6.31
87,86,Hawai'i,13,82.0,372,6.31
88,89,Akron,12,83.0,331,6.92
89,89,Rutgers,13,83.0,357,6.39
90,89,Florida State,13,83.0,404,6.39
91,92,Memphis,12,84.0,317,7.00
92,93,Missouri,13,85.0,286,6.54
93,93,Eastern Michigan,12,85.0,308,7.08
94,93,Cincinnati,13,85.0,317,6.54
95,93,Colorado State,12,85.0,339,7.08
96,93,Arkansas,13,85.0,347,6.54
97,93,Utah,13,85.0,349,6.54
98,93,Ohio,14,85.0,351,6.07
99,100,Kansas,12,86.0,335,7.17
100,100,Clemson,14,86.0,358,6.14
101,100,Mississippi State,13,86.0,360,6.62
102,100,Connecticut,12,86.0,363,7.17
103,104,Rice,12,87.0,374,7.25
104,105,Purdue,13,88.0,271,6.77
105,105,Iowa State,13,88.0,312,6.77
106,107,Kentucky,12,89.0,368,7.42
107,107,Illinois,13,89.0,400,6.85
108,109,Indiana,12,90.0,327,7.50
109,109,Ohio State,13,90.0,350,6.92
110,111,Virginia Tech,14,91.0,318,6.50
111,112,Georgia,14,92.0,330,6.57
112,113,Vanderbilt,13,94.0,383,7.23
113,114,Florida,13,96.0,377,7.39
114,115,Auburn,13,97.0,344,7.46
115,115,Louisville,13,97.0,373,7.46
116,115,Wake Forest,13,97.0,407,7.46
117,118,Kansas State,13,102.0,379,7.85
118,119,Mississippi,12,108.0,482,9.00
119,120,Pittsburgh,13,110.0,530,8.46
