,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Alabama,13,57,63,11,131,10.1
1,2,Georgia,14,80,108,13,201,14.4
2,3,LSU,14,78,113,21,212,15.1
3,4,Rutgers,13,90,94,15,199,15.3
4,5,UCF,12,72,103,13,188,15.7
5,6,Florida State,13,71,110,24,205,15.8
6,6,Illinois,13,89,100,16,205,15.8
7,6,South Carolina,13,112,83,10,205,15.8
8,6,Virginia Tech,14,86,113,22,221,15.8
9,10,Boise State,13,78,105,24,207,15.9
10,10,Wisconsin,14,101,108,13,222,15.9
11,12,Michigan State,14,78,115,33,226,16.1
12,13,BYU,13,72,116,25,213,16.4
13,14,Temple,13,92,112,11,215,16.5
14,15,Ohio State,13,93,111,14,218,16.8
15,15,Florida,13,101,90,28,219,16.8
16,17,Michigan,13,94,115,15,224,17.2
17,18,Tennessee,12,100,91,16,207,17.3
18,18,Virginia,13,92,113,20,225,17.3
19,20,California,13,98,102,26,226,17.4
20,21,Louisiana-Monroe,12,74,123,14,211,17.6
21,21,Kent State,12,85,107,19,211,17.6
22,21,Stanford,13,61,145,23,229,17.6
23,24,Texas,13,71,132,27,230,17.7
24,24,Louisville,13,86,126,18,230,17.7
25,24,Penn State,13,90,126,14,230,17.7
26,24,North Carolina State,13,94,125,11,230,17.7
27,28,TCU,13,79,129,24,232,17.8
28,29,Connecticut,12,68,135,12,215,17.9
29,29,Vanderbilt,13,101,112,20,233,17.9
30,31,Arkansas State,13,88,120,27,235,18.1
31,32,Georgia Tech,13,110,118,11,239,18.4
32,33,West Virginia,13,94,129,18,241,18.5
33,34,Nevada,13,92,127,23,242,18.6
34,34,SMU,13,95,129,18,242,18.6
35,36,Miami (Ohio),12,106,104,14,224,18.7
36,36,San Diego State,13,119,107,17,243,18.7
37,38,Eastern Michigan,12,76,128,21,225,18.8
38,38,Buffalo,12,103,112,10,225,18.8
39,38,Army,12,130,82,13,225,18.8
40,38,Western Kentucky,12,75,128,23,226,18.8
41,38,Arkansas,13,108,119,17,244,18.8
42,38,Nebraska,13,120,101,24,245,18.8
43,44,Ohio,14,105,139,21,265,18.9
44,45,Florida International,13,86,132,29,247,19.0
45,46,Cincinnati,13,84,148,16,248,19.1
46,46,Southern Mississippi,14,96,155,17,268,19.1
47,48,Oklahoma,13,98,131,21,250,19.2
48,49,Utah,13,79,143,29,251,19.3
49,50,Kentucky,12,121,99,14,234,19.5
50,50,Pittsburgh,13,83,151,20,254,19.5
51,52,South Florida,12,75,138,22,235,19.6
52,52,Washington State,12,84,131,20,235,19.6
53,54,Boston College,12,91,134,11,236,19.7
54,54,Miami (Florida),12,109,118,9,236,19.7
55,56,East Carolina,12,112,108,17,237,19.8
56,56,Wake Forest,13,116,119,22,257,19.8
57,56,Mississippi State,13,118,123,16,257,19.8
58,59,North Carolina,13,98,141,20,259,19.9
59,59,Houston,14,132,131,16,279,19.9
60,61,Notre Dame,13,101,135,25,261,20.1
61,62,Duke,12,112,118,12,242,20.2
62,62,Louisiana Tech,13,106,140,16,262,20.2
63,62,Clemson,14,131,129,23,283,20.2
64,65,Kansas State,13,99,151,14,264,20.3
65,66,Hawai'i,13,102,146,17,265,20.4
66,67,Northwestern,13,127,126,13,266,20.5
67,67,Fresno State,13,97,147,23,267,20.5
68,69,Mississippi,12,124,105,19,248,20.7
69,69,Missouri,13,101,151,17,269,20.7
70,71,Colorado State,12,137,97,17,251,20.9
71,71,Tulane,13,115,141,16,272,20.9
72,73,San Jose State,12,122,115,15,252,21.0
73,73,Bowling Green,12,123,113,16,252,21.0
74,73,Toledo,13,97,149,27,273,21.0
75,73,Air Force,13,155,105,13,273,21.0
76,77,Louisiana-Lafayette,13,93,157,24,274,21.1
77,78,Syracuse,12,95,131,28,254,21.2
78,78,Marshall,13,99,162,14,275,21.2
79,80,Rice,12,114,130,12,256,21.3
80,81,Iowa,13,118,144,16,278,21.4
81,82,North Texas,12,99,147,12,258,21.5
82,82,Arizona State,13,95,152,33,280,21.5
83,84,USC,12,76,170,13,259,21.6
84,84,Oregon,14,112,160,30,302,21.6
85,86,Central Michigan,12,109,131,20,260,21.7
86,86,UTEP,12,117,129,14,260,21.7
87,88,Utah State,13,103,145,36,284,21.8
88,89,Purdue,13,123,135,27,285,21.9
89,90,Akron,12,133,119,12,264,22.0
90,91,Indiana,12,152,102,11,265,22.1
91,91,Tulsa,13,101,166,20,287,22.1
92,91,Texas A&M,13,106,153,28,287,22.1
93,94,Florida Atlantic,12,120,122,24,266,22.2
94,94,UNLV,12,121,125,20,266,22.2
95,94,Wyoming,13,154,118,16,288,22.2
96,97,Minnesota,12,126,122,19,267,22.3
97,97,UCLA,14,138,151,23,312,22.3
98,99,Navy,12,129,135,5,269,22.4
99,99,Middle Tennessee,12,144,112,13,269,22.4
100,99,Auburn,13,138,135,18,291,22.4
101,99,Western Michigan,13,139,129,23,291,22.4
102,103,Troy,12,121,133,17,271,22.6
103,104,Idaho,12,103,148,21,272,22.7
104,105,Iowa State,13,145,134,17,296,22.8
105,105,Washington,13,108,167,22,297,22.8
106,105,Northern Illinois,14,143,152,24,319,22.8
107,108,Arizona,12,88,158,30,276,23.0
108,109,Oregon State,12,124,122,31,277,23.1
109,110,Colorado,13,127,155,25,307,23.6
110,111,Maryland,12,142,128,17,287,23.9
111,112,Memphis,12,108,165,15,288,24.0
112,113,New Mexico State,13,147,142,24,313,24.1
113,114,Baylor,13,127,162,29,318,24.5
114,115,Texas Tech,12,159,113,24,296,24.7
115,116,New Mexico,12,156,136,10,302,25.2
116,117,Oklahoma State,13,133,180,16,329,25.3
117,118,Kansas,12,153,139,14,306,25.5
118,119,UAB,12,135,159,17,311,25.9
119,119,Ball State,12,147,152,12,311,25.9
