,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,13,75,20,10,3,3,2,1,1,0
1,2,South Carolina,13,122,33,11,2,1,1,0,0,0
2,3,Florida State,13,125,36,18,7,4,2,0,0,0
3,4,Illinois,13,130,40,16,4,2,2,0,0,0
4,5,UCF,12,135,35,16,7,4,3,2,1,0
5,6,Michigan State,14,140,42,18,8,5,4,1,1,0
6,6,TCU,13,140,55,29,11,7,5,1,0,0
7,8,Army,12,141,46,24,16,9,3,0,0,0
8,9,Buffalo,12,142,43,24,16,11,7,2,0,0
9,9,Kent State,12,142,47,16,8,4,2,0,0,0
10,9,Louisiana-Monroe,12,142,45,12,9,4,2,0,0,0
11,12,BYU,13,143,42,17,11,10,4,3,2,0
12,12,Boise State,13,143,51,27,16,12,5,4,2,0
13,12,Tennessee,12,143,41,17,14,7,7,4,2,0
14,15,Florida,13,145,41,15,7,2,1,1,0,0
15,15,SMU,13,145,41,21,11,4,2,0,0,0
16,17,East Carolina,12,148,45,18,9,7,3,3,0,0
17,17,Ohio State,13,148,41,18,10,3,1,0,0,0
18,17,Temple,13,148,46,18,8,3,1,1,1,0
19,20,Penn State,13,150,42,10,5,3,1,1,0,0
20,20,Rutgers,13,150,58,23,8,7,4,1,1,0
21,22,LSU,14,151,35,11,6,3,3,1,0,0
22,22,Wisconsin,14,151,45,23,11,5,3,1,1,1
23,24,Boston College,12,156,48,17,9,6,3,1,0,0
24,24,Nebraska,13,156,49,21,11,7,3,2,1,0
25,26,Eastern Michigan,12,157,38,20,12,8,5,3,1,1
26,26,Louisville,13,157,45,18,9,5,3,2,1,0
27,28,Arkansas State,13,158,49,27,14,3,1,1,0,0
28,29,Central Michigan,12,159,55,30,15,7,4,2,2,0
29,29,West Virginia,13,159,49,16,9,6,2,0,0,0
30,31,California,13,160,57,28,11,6,4,2,0,0
31,31,Miami (Ohio),12,160,52,20,11,6,4,2,1,1
32,31,Virginia Tech,14,160,60,28,14,6,3,2,0,0
33,34,Georgia,14,161,38,20,9,3,2,1,0,0
34,35,Arkansas,13,162,44,22,13,4,2,0,0,0
35,36,Kentucky,12,163,53,20,12,7,3,1,1,0
36,36,Texas,13,163,38,15,8,3,2,1,0,0
37,38,Notre Dame,13,164,35,12,7,3,2,1,0,0
38,38,San Diego State,13,164,66,34,18,11,5,3,2,0
