,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Arizona State,13,103,948,7.9,72.9
1,2,Ball State,12,84,868,7.0,72.3
2,3,Colorado,13,87,923,6.7,71.0
3,4,Washington State,12,97,829,8.1,69.1
4,5,Connecticut,12,96,819,8.0,68.3
5,6,Arizona,12,86,808,7.2,67.3
6,7,California,13,98,866,7.5,66.6
7,8,Utah,13,100,852,7.7,65.5
8,9,Cincinnati,13,101,841,7.8,64.7
9,10,Kansas State,13,85,837,6.5,64.4
10,11,Western Kentucky,12,86,751,7.2,62.6
11,12,Notre Dame,13,96,812,7.4,62.5
12,13,Michigan,13,92,802,7.1,61.7
13,13,Boise State,13,91,802,7.0,61.7
14,15,USC,12,88,734,7.3,61.2
15,15,Louisiana-Lafayette,13,93,796,7.2,61.2
16,17,Florida International,13,95,791,7.3,60.8
17,18,Texas Tech,12,85,728,7.1,60.7
18,19,Baylor,13,92,783,7.1,60.2
19,20,Wyoming,13,88,780,6.8,60.0
20,21,Syracuse,12,84,707,7.0,58.9
21,22,Nebraska,13,77,756,5.9,58.2
22,23,Texas A&M,13,97,746,7.5,57.4
23,24,Air Force,13,85,742,6.5,57.1
24,25,Florida,13,90,740,6.9,56.9
25,26,Hawai'i,13,81,736,6.2,56.6
26,27,Colorado State,12,66,676,5.5,56.3
27,28,Oregon State,12,74,674,6.2,56.2
28,29,Akron,12,69,672,5.8,56.0
29,30,Pittsburgh,13,79,725,6.1,55.8
30,31,West Virginia,13,87,723,6.7,55.6
31,31,TCU,13,82,723,6.3,55.6
32,33,Washington,13,90,720,6.9,55.4
33,34,Tennessee,12,78,657,6.5,54.8
34,35,Western Michigan,13,84,709,6.5,54.5
35,36,UCLA,14,80,762,5.7,54.4
36,37,Northern Illinois,14,86,758,6.1,54.1
37,37,UAB,12,72,649,6.0,54.1
38,39,Southern Mississippi,14,89,755,6.4,53.9
39,39,Iowa,13,83,701,6.4,53.9
40,41,Fresno State,13,74,700,5.7,53.8
41,42,Mississippi State,13,81,698,6.2,53.7
42,42,Duke,12,68,644,5.7,53.7
43,44,Kentucky,12,74,639,6.2,53.3
44,45,Rutgers,13,86,692,6.6,53.2
45,46,Nevada,13,85,687,6.5,52.8
46,46,Idaho,12,74,633,6.2,52.8
47,48,Oregon,14,88,738,6.3,52.7
48,49,Indiana,12,71,627,5.9,52.3
49,50,Houston,14,88,729,6.3,52.1
50,51,LSU,14,95,726,6.8,51.9
51,52,Vanderbilt,13,79,671,6.1,51.6
52,53,Arkansas,13,80,666,6.2,51.2
53,54,Bowling Green,12,75,611,6.3,50.9
54,55,Ohio State,13,77,657,5.9,50.5
55,56,Louisiana Tech,13,78,655,6.0,50.4
56,56,Tulsa,13,70,655,5.4,50.4
57,58,Utah State,13,77,652,5.9,50.2
58,59,Clemson,14,79,701,5.6,50.1
59,60,San Diego State,13,78,644,6.0,49.5
60,61,Texas,13,69,642,5.3,49.4
