,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Southern Mississippi,14,19,75,94,6.71
1,2,Oregon,14,17,74,91,6.50
2,3,Texas,13,12,76,88,6.77
3,4,Oklahoma State,13,24,63,87,6.69
4,5,Oklahoma,13,15,67,82,6.31
5,5,Houston,14,21,61,82,5.86
6,7,Tulsa,13,18,59,77,5.92
7,8,Louisiana Tech,13,21,55,76,5.85
8,8,LSU,14,18,58,76,5.43
9,10,Arkansas State,13,19,56,75,5.77
10,10,Utah,13,19,56,75,5.77
11,10,Ohio,14,15,60,75,5.36
12,13,Georgia,14,20,54,74,5.29
13,14,Penn State,13,14,59,73,5.62
14,15,Connecticut,12,18,54,72,6.00
15,15,Wake Forest,13,13,59,72,5.54
16,17,Vanderbilt,13,19,51,70,5.38
17,17,Florida State,13,16,54,70,5.38
18,19,Nevada,13,15,54,69,5.31
19,19,Alabama,13,13,56,69,5.31
20,19,BYU,13,13,56,69,5.31
21,22,Cincinnati,13,16,52,68,5.23
22,22,Toledo,13,14,54,68,5.23
23,22,Northern Illinois,14,13,55,68,4.86
24,25,Virginia Tech,14,16,51,67,4.79
25,26,Hawai'i,13,14,52,66,5.08
26,27,Western Kentucky,12,13,52,65,5.42
27,27,Baylor,13,16,49,65,5.00
28,27,Clemson,14,14,51,65,4.64
29,30,UCF,12,9,55,64,5.33
30,30,San Diego State,13,15,49,64,4.92
31,30,North Carolina,13,14,50,64,4.92
32,30,Missouri,13,13,51,64,4.92
33,34,Kansas State,13,18,45,63,4.85
34,34,Virginia,13,12,51,63,4.85
35,36,North Carolina State,13,27,35,62,4.77
36,36,Florida International,13,14,48,62,4.77
37,36,California,13,12,50,62,4.77
38,36,Texas A&M,13,7,55,62,4.77
39,40,Rutgers,13,19,42,61,4.69
40,40,Georgia Tech,13,14,47,61,4.69
41,40,UCLA,14,14,47,61,4.36
42,43,Marshall,13,14,46,60,4.62
43,43,Tulane,13,12,48,60,4.62
44,43,Michigan State,14,18,42,60,4.29
45,46,Louisiana-Lafayette,13,14,45,59,4.54
46,46,Washington,13,10,49,59,4.54
47,48,Arizona State,13,15,43,58,4.46
48,49,Rice,12,13,44,57,4.75
49,49,Boise State,13,15,42,57,4.38
50,49,Wisconsin,14,16,41,57,4.07
51,52,Arizona,12,11,45,56,4.67
52,52,West Virginia,13,14,42,56,4.31
53,52,Iowa State,13,11,45,56,4.31
54,55,South Florida,12,12,43,55,4.58
55,55,Western Michigan,13,12,43,55,4.23
56,55,Pittsburgh,13,8,47,55,4.23
57,55,Stanford,13,7,48,55,4.23
58,59,USC,12,9,45,54,4.50
59,59,Purdue,13,12,42,54,4.15
60,59,TCU,13,10,44,54,4.15
61,59,SMU,13,6,48,54,4.15
62,63,Kent State,12,14,39,53,4.42
63,63,Boston College,12,13,40,53,4.42
64,63,UTEP,12,12,41,53,4.42
65,63,Ohio State,13,13,40,53,4.08
66,63,Nebraska,13,10,43,53,4.08
67,68,Kentucky,12,15,37,52,4.33
68,68,Temple,13,15,37,52,4.00
69,68,Illinois,13,10,42,52,4.00
70,68,New Mexico State,13,10,42,52,4.00
71,72,South Carolina,13,19,32,51,3.92
72,72,Wyoming,13,13,38,51,3.92
73,72,Mississippi State,13,12,39,51,3.92
74,75,Oregon State,12,11,39,50,4.17
75,75,Utah State,13,4,46,50,3.85
76,77,Iowa,13,10,39,49,3.77
77,77,Notre Dame,13,8,41,49,3.77
78,77,Fresno State,13,5,44,49,3.77
79,80,North Texas,12,9,39,48,4.00
80,80,Eastern Michigan,12,5,43,48,4.00
81,80,Arkansas,13,12,36,48,3.69
82,80,Auburn,13,11,37,48,3.69
83,84,Miami (Ohio),12,10,37,47,3.92
84,84,Duke,12,6,41,47,3.92
85,86,Buffalo,12,6,39,45,3.75
86,86,Florida,13,8,37,45,3.46
87,88,San Jose State,12,13,31,44,3.67
88,88,Louisville,13,10,34,44,3.38
89,88,Michigan,13,9,35,44,3.38
90,91,Idaho,12,9,34,43,3.58
91,91,East Carolina,12,7,36,43,3.58
92,93,Northwestern,13,12,30,42,3.23
93,94,Memphis,12,12,29,41,3.42
94,94,Maryland,12,11,30,41,3.42
95,94,Washington State,12,8,33,41,3.42
96,97,Ball State,12,10,30,40,3.33
97,97,Mississippi,12,10,30,40,3.33
98,97,Kansas,12,8,32,40,3.33
99,97,UNLV,12,7,33,40,3.33
100,97,Bowling Green,12,6,34,40,3.33
101,102,Louisiana-Monroe,12,13,26,39,3.25
102,102,Colorado State,12,8,31,39,3.25
103,104,Central Michigan,12,8,30,38,3.17
104,105,Navy,12,10,27,37,3.08
105,105,Syracuse,12,10,27,37,3.08
106,105,Colorado,13,7,30,37,2.85
107,108,Tennessee,12,9,27,36,3.00
108,108,Indiana,12,5,31,36,3.00
109,108,Texas Tech,12,5,31,36,3.00
110,111,Air Force,13,12,23,35,2.69
111,112,Troy,12,8,26,34,2.83
112,113,Florida Atlantic,12,10,22,32,2.67
113,113,Minnesota,12,4,28,32,2.67
114,115,UAB,12,9,21,30,2.50
115,115,Miami (Florida),12,6,24,30,2.50
116,115,Akron,12,2,28,30,2.50
117,118,Army,12,8,21,29,2.42
118,118,New Mexico,12,3,26,29,2.42
119,120,Middle Tennessee,12,4,23,27,2.25
