,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Alabama,13,184,45,24.46
1,2,Florida,13,177,48,27.12
2,3,Georgia,14,197,57,28.93
3,4,Boise State,13,178,53,29.78
4,5,Oklahoma,13,196,60,30.61
5,6,Stanford,13,164,51,31.10
6,7,Eastern Michigan,12,159,50,31.45
7,8,UCF,12,168,53,31.55
8,9,Rutgers,13,185,59,31.89
9,10,Louisiana Tech,13,212,68,32.08
10,11,Virginia Tech,14,192,62,32.29
11,12,Cincinnati,13,203,66,32.51
12,13,Connecticut,12,172,56,32.56
13,14,Pittsburgh,13,192,63,32.81
14,15,Virginia,13,192,64,33.33
15,16,Michigan State,14,199,67,33.67
16,17,Texas,13,184,62,33.70
17,18,Temple,13,180,61,33.89
18,19,LSU,14,209,71,33.97
19,20,Notre Dame,13,185,63,34.05
20,21,Kent State,12,174,60,34.48
21,22,Illinois,13,185,64,34.59
22,23,Florida State,13,198,69,34.85
23,24,Arizona State,13,172,60,34.88
24,25,Arkansas State,13,210,74,35.24
25,26,South Carolina,13,187,66,35.29
26,27,Utah State,13,195,69,35.38
27,28,Toledo,13,178,63,35.39
28,28,California,13,178,63,35.39
29,30,Southern Mississippi,14,231,82,35.50
30,31,Western Kentucky,12,152,54,35.53
31,31,South Florida,12,197,70,35.53
32,33,West Virginia,13,204,73,35.78
33,34,Nevada,13,188,68,36.17
34,35,Florida International,13,207,75,36.23
35,36,Michigan,13,173,63,36.42
36,37,Mississippi State,13,211,77,36.49
37,38,Vanderbilt,13,194,71,36.60
38,39,Arkansas,13,196,72,36.73
39,40,Bowling Green,12,174,64,36.78
40,41,Iowa State,13,193,71,36.79
41,42,BYU,13,181,67,37.02
42,43,Miami (Ohio),12,172,64,37.21
43,44,TCU,13,192,72,37.50
44,45,Idaho,12,175,66,37.71
45,46,Houston,14,225,85,37.78
46,47,Northern Illinois,14,221,84,38.01
47,48,Wisconsin,14,192,73,38.02
48,49,Louisville,13,194,74,38.14
49,50,Marshall,13,186,71,38.17
50,51,Louisiana-Lafayette,13,199,76,38.19
51,52,Penn State,13,206,79,38.35
52,53,Utah,13,207,80,38.65
53,54,Hawai'i,13,181,70,38.67
54,55,North Carolina State,13,178,69,38.76
55,56,SMU,13,201,78,38.81
56,57,Tennessee,12,162,63,38.89
57,58,Oregon,14,221,86,38.91
58,59,Western Michigan,13,176,69,39.20
59,60,Wake Forest,13,193,76,39.38
60,61,Kentucky,12,179,71,39.66
61,62,Kansas State,13,186,74,39.78
62,63,USC,12,167,67,40.12
63,64,Nebraska,13,194,78,40.21
64,65,Ohio State,13,184,74,40.22
65,66,Texas A&M,13,225,91,40.44
66,67,Rice,12,173,70,40.46
67,68,Buffalo,12,179,73,40.78
68,69,Boston College,12,174,71,40.80
69,70,Louisiana-Monroe,12,186,76,40.86
70,71,Mississippi,12,159,65,40.88
71,72,Clemson,14,210,86,40.95
72,73,Purdue,13,183,75,40.98
73,74,Miami (Florida),12,163,67,41.10
74,75,Missouri,13,209,86,41.15
75,76,Ohio,14,216,89,41.20
76,77,Wyoming,13,174,72,41.38
77,78,Arizona,12,161,67,41.61
78,78,East Carolina,12,161,67,41.61
79,80,Syracuse,12,173,72,41.62
80,81,Oklahoma State,13,213,89,41.78
81,82,Tulsa,13,220,93,42.27
82,83,Georgia Tech,13,177,75,42.37
83,84,Troy,12,200,85,42.50
84,85,Washington State,12,164,70,42.68
85,86,North Texas,12,170,73,42.94
86,87,Duke,12,149,64,42.95
87,88,Colorado State,12,165,71,43.03
88,89,San Jose State,12,169,73,43.20
89,90,Tulane,13,171,74,43.27
90,91,Fresno State,13,196,85,43.37
91,92,Minnesota,12,159,70,44.03
92,93,Akron,12,158,70,44.30
93,94,UTEP,12,162,72,44.44
94,95,North Carolina,13,194,87,44.85
95,96,San Diego State,13,200,91,45.50
96,97,Central Michigan,12,191,87,45.55
97,98,New Mexico State,13,175,80,45.71
98,99,Iowa,13,207,95,45.89
99,100,Memphis,12,167,77,46.11
100,101,UAB,12,144,67,46.53
101,102,Colorado,13,156,73,46.79
102,103,Texas Tech,12,172,81,47.09
103,104,Oregon State,12,152,72,47.37
104,105,UCLA,14,202,96,47.52
105,106,Florida Atlantic,12,184,89,48.37
106,107,Auburn,13,186,90,48.39
107,108,Army,12,140,68,48.57
108,109,Middle Tennessee,12,194,95,48.97
109,110,Indiana,12,165,81,49.09
110,111,Washington,13,179,88,49.16
111,112,UNLV,12,151,75,49.67
112,113,Baylor,13,205,102,49.76
113,114,Northwestern,13,180,90,50.00
114,115,Air Force,13,183,92,50.27
115,116,Kansas,12,154,79,51.30
116,117,Navy,12,148,76,51.35
117,118,Ball State,12,172,91,52.91
118,119,Maryland,12,186,100,53.76
119,120,New Mexico,12,152,87,57.24
