,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Florida International,13,51,2649,51.94,6,11.76,1,3
1,2,Toledo,13,69,3824,55.42,10,14.49,2,7
2,3,Ohio,14,64,3785,59.14,5,7.81,1,1
3,4,North Texas,12,71,4202,59.18,2,2.82,0,1
4,5,Western Michigan,13,71,4216,59.38,4,5.63,3,2
5,6,Northern Illinois,14,84,5010,59.64,19,22.62,3,2
6,7,Buffalo,12,69,4127,59.81,6,8.70,4,0
7,8,Middle Tennessee,12,78,4672,59.90,10,12.82,4,0
8,9,UCF,12,51,3059,59.98,9,17.65,0,1
9,10,Rutgers,13,53,3190,60.19,10,18.87,5,1
10,11,Notre Dame,13,60,3619,60.32,3,5.00,0,0
11,12,North Carolina,13,69,4163,60.33,7,10.14,1,1
12,13,Western Kentucky,12,61,3683,60.38,3,4.92,3,0
13,14,Arkansas State,13,58,3503,60.40,8,13.79,5,0
14,15,Florida,13,56,3384,60.43,5,8.93,3,2
15,16,Navy,12,61,3694,60.56,7,11.48,1,0
16,17,Temple,13,40,2427,60.68,3,7.50,1,1
17,18,TCU,13,59,3584,60.75,6,10.17,1,1
18,19,Troy,12,75,4564,60.85,11,14.67,4,1
19,20,Minnesota,12,70,4275,61.07,9,12.86,3,1
20,21,West Virginia,13,71,4337,61.08,9,12.68,4,1
21,22,San Diego State,13,62,3790,61.13,3,4.84,0,0
22,23,Louisiana Tech,13,60,3675,61.25,6,10.00,2,2
23,24,Bowling Green,12,68,4166,61.26,7,10.29,3,1
24,25,Florida Atlantic,12,81,4967,61.32,13,16.05,3,0
25,26,Oregon,14,68,4172,61.35,7,10.29,0,3
26,27,New Mexico State,13,83,5098,61.42,10,12.05,1,4
27,28,Oklahoma State,13,65,3998,61.51,9,13.85,3,2
28,29,Pittsburgh,13,61,3753,61.52,4,6.56,5,4
29,30,USC,12,53,3261,61.53,7,13.21,3,2
30,31,California,13,64,3944,61.63,10,15.63,1,1
31,32,Eastern Michigan,12,63,3891,61.76,11,17.46,0,0
32,33,Louisiana-Monroe,12,60,3717,61.95,8,13.33,0,1
33,34,Washington State,12,71,4402,62.00,8,11.27,2,0
34,34,Arizona State,13,77,4774,62.00,7,9.09,2,0
35,36,Boston College,12,62,3845,62.02,9,14.52,6,2
36,37,Arkansas,13,58,3599,62.05,15,25.86,0,1
37,38,Purdue,13,66,4096,62.06,15,22.73,3,1
38,39,Houston,14,63,3924,62.29,19,30.16,1,2
39,39,Marshall,13,73,4547,62.29,16,21.92,0,2
40,41,Iowa State,13,77,4800,62.34,10,12.99,2,0
41,42,UAB,12,81,5051,62.36,8,9.88,0,0
42,43,San Jose State,12,71,4428,62.37,4,5.63,4,0
43,43,Auburn,13,76,4740,62.37,15,19.74,4,0
44,45,Wisconsin,14,56,3494,62.39,4,7.14,2,0
45,45,Clemson,14,82,5116,62.39,18,21.95,1,0
46,47,Air Force,13,67,4181,62.40,20,29.85,2,2
47,48,Florida State,13,39,2435,62.44,7,17.95,1,5
48,49,Mississippi State,13,60,3747,62.45,18,30.00,0,0
49,50,Tulane,13,95,5936,62.48,10,10.53,1,0
50,51,UNLV,12,88,5501,62.51,12,13.64,4,0
51,52,East Carolina,12,73,4564,62.52,14,19.18,1,0
52,53,Boise State,13,44,2753,62.57,10,22.73,2,5
53,54,South Florida,12,58,3632,62.62,4,6.90,1,1
54,55,Louisville,13,53,3321,62.66,7,13.21,1,2
55,55,UCLA,14,85,5326,62.66,14,16.47,4,0
56,57,Hawai'i,13,71,4455,62.75,5,7.04,3,2
57,58,LSU,14,44,2764,62.82,5,11.36,0,1
58,59,Georgia,14,57,3584,62.88,6,10.53,1,3
59,60,Penn State,13,53,3335,62.92,6,11.32,4,0
60,60,Southern Mississippi,14,62,3901,62.92,9,14.52,2,1
61,60,Mississippi,12,73,4593,62.92,15,20.55,2,0
62,63,Central Michigan,12,75,4723,62.97,9,12.00,2,3
63,64,Michigan State,14,54,3401,62.98,7,12.96,0,1
64,65,Indiana,12,86,5417,62.99,12,13.95,2,0
65,66,Washington,13,86,5421,63.03,7,8.14,2,1
66,67,Nebraska,13,56,3530,63.04,6,10.71,2,3
67,67,Kansas,12,92,5800,63.04,17,18.48,2,0
68,69,Stanford,13,54,3405,63.06,8,14.81,1,3
69,70,Northwestern,13,69,4352,63.07,14,20.29,5,2
70,71,Maryland,12,76,4795,63.09,5,6.58,1,0
71,72,Syracuse,12,70,4419,63.13,7,10.00,2,0
72,72,Wake Forest,13,72,4545,63.13,9,12.50,2,1
73,74,Idaho,12,74,4672,63.14,8,10.81,1,1
74,75,Missouri,13,61,3852,63.15,16,26.23,0,0
75,76,Duke,12,73,4611,63.16,5,6.85,4,0
76,77,BYU,13,57,3603,63.21,8,14.04,2,2
77,78,Army,12,65,4112,63.26,10,15.38,0,0
78,79,Michigan,13,52,3290,63.27,15,28.85,1,1
79,80,Memphis,12,79,5007,63.38,10,12.66,0,1
80,81,Louisiana-Lafayette,13,75,4757,63.43,12,16.00,0,0
81,82,Virginia Tech,14,52,3304,63.54,3,5.77,2,2
82,83,Illinois,13,55,3497,63.58,20,36.36,0,1
83,84,Tulsa,13,69,4392,63.65,16,23.19,1,0
84,85,Alabama,13,29,1849,63.76,6,20.69,0,1
85,86,Baylor,13,85,5424,63.81,22,25.88,2,3
86,87,Georgia Tech,13,61,3894,63.84,16,26.23,2,3
87,88,Miami (Florida),12,53,3384,63.85,9,16.98,2,2
88,89,Iowa,13,60,3832,63.87,12,20.00,3,4
89,90,Kansas State,13,69,4409,63.90,17,24.64,2,1
90,91,North Carolina State,13,62,3966,63.97,8,12.90,2,5
91,92,Miami (Ohio),12,57,3649,64.02,14,24.56,1,0
92,93,Ball State,12,78,4994,64.03,18,23.08,3,2
93,93,Colorado,13,86,5507,64.03,16,18.60,2,2
94,95,Akron,12,85,5443,64.04,18,21.18,4,0
95,96,Utah,13,54,3459,64.06,12,22.22,1,1
96,97,Texas,13,69,4424,64.12,12,17.39,3,0
97,98,Oklahoma,13,60,3859,64.32,17,28.33,2,2
98,99,Cincinnati,13,58,3733,64.36,8,13.79,1,2
99,100,Kent State,12,65,4184,64.37,7,10.77,5,0
100,101,Kentucky,12,63,4058,64.41,11,17.46,4,0
101,102,Fresno State,13,85,5482,64.49,4,4.71,1,0
102,103,Utah State,13,71,4588,64.62,9,12.68,2,1
103,104,Connecticut,12,56,3619,64.63,9,16.07,3,2
