,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,13,0,0,0,0,0,0,0,0
1,1,Arkansas State,13,0,0,0,0,0,0,0,0
2,1,Boston College,12,0,0,0,0,0,0,0,0
3,1,Connecticut,12,0,0,0,0,0,0,0,0
4,1,Hawai'i,13,0,0,0,0,0,0,0,0
5,1,Louisville,13,0,0,0,0,0,0,0,0
6,1,Minnesota,12,0,0,0,0,0,0,0,0
7,1,Navy,12,0,0,0,0,0,0,0,0
8,1,Northern Illinois,14,0,0,0,0,0,0,0,0
9,1,Ohio,14,0,0,0,0,0,0,0,0
10,1,SMU,13,0,0,0,0,0,0,0,0
11,1,South Florida,12,0,0,0,0,0,0,0,0
12,1,Utah,13,0,0,0,0,0,0,0,0
13,1,Vanderbilt,13,0,0,0,0,0,0,0,0
14,15,Army,12,1,1,0,0,0,0,0,0
15,15,Auburn,13,1,0,0,0,0,0,0,0
16,15,Ball State,12,1,1,0,0,0,0,0,0
17,15,Bowling Green,12,1,0,0,0,0,0,0,0
18,15,California,13,1,0,0,0,0,0,0,0
19,15,Eastern Michigan,12,1,1,1,1,1,1,1,0
20,15,Florida,13,1,1,0,0,0,0,0,0
21,15,Georgia Tech,13,1,1,0,0,0,0,0,0
22,15,LSU,14,1,1,1,0,0,0,0,0
23,15,Louisiana-Lafayette,13,1,0,0,0,0,0,0,0
24,15,Marshall,13,1,0,0,0,0,0,0,0
25,15,Middle Tennessee,12,1,0,0,0,0,0,0,0
26,15,Mississippi State,13,1,1,0,0,0,0,0,0
27,15,North Carolina,13,1,0,0,0,0,0,0,0
28,15,North Carolina State,13,1,0,0,0,0,0,0,0
29,15,North Texas,12,1,0,0,0,0,0,0,0
30,15,Oregon,14,1,0,0,0,0,0,0,0
31,15,Oregon State,12,1,1,1,1,1,1,0,0
32,15,Penn State,13,1,1,1,0,0,0,0,0
33,15,Pittsburgh,13,1,1,0,0,0,0,0,0
34,15,Southern Mississippi,14,1,0,0,0,0,0,0,0
35,15,Stanford,13,1,0,0,0,0,0,0,0
36,15,TCU,13,1,1,1,1,1,0,0,0
37,15,Temple,13,1,1,0,0,0,0,0,0
38,15,Tennessee,12,1,1,1,1,1,0,0,0
39,15,Toledo,13,1,1,1,1,1,0,0,0
40,15,Tulsa,13,1,0,0,0,0,0,0,0
41,15,UAB,12,1,1,0,0,0,0,0,0
42,15,Virginia Tech,14,1,0,0,0,0,0,0,0
43,15,Wake Forest,13,1,0,0,0,0,0,0,0
44,15,Washington,13,1,0,0,0,0,0,0,0
45,15,West Virginia,13,1,1,1,1,1,1,1,0
46,15,Western Michigan,13,1,1,0,0,0,0,0,0
47,15,Wyoming,13,1,0,0,0,0,0,0,0
48,49,Air Force,13,2,1,0,0,0,0,0,0
49,49,Boise State,13,2,1,1,1,1,1,0,0
50,49,Colorado State,12,2,1,1,1,1,0,0,0
51,49,Duke,12,2,0,0,0,0,0,0,0
52,49,Fresno State,13,2,1,1,1,1,1,1,0
53,49,Illinois,13,2,1,0,0,0,0,0,0
54,49,Iowa,13,2,0,0,0,0,0,0,0
55,49,Iowa State,13,2,2,0,0,0,0,0,0
56,49,Kentucky,12,2,1,0,0,0,0,0,0
57,49,Maryland,12,2,1,0,0,0,0,0,0
58,49,Miami (Florida),12,2,1,1,1,1,1,1,0
59,49,Missouri,13,2,0,0,0,0,0,0,0
60,49,Nebraska,13,2,1,1,1,1,0,0,0
61,49,Northwestern,13,2,2,1,1,0,0,0,0
62,49,Rice,12,2,1,0,0,0,0,0,0
63,49,Rutgers,13,2,1,0,0,0,0,0,0
64,49,San Diego State,13,2,1,1,1,1,1,1,0
65,49,South Carolina,13,2,1,0,0,0,0,0,0
66,49,Texas A&M,13,2,2,2,1,1,1,1,0
67,49,Texas Tech,12,2,0,0,0,0,0,0,0
68,49,Troy,12,2,2,1,1,1,1,1,1
69,49,UCF,12,2,2,2,1,1,1,1,1
70,49,UCLA,14,2,1,1,1,1,1,1,0
71,49,USC,12,2,2,0,0,0,0,0,0
72,49,UTEP,12,2,0,0,0,0,0,0,0
73,49,Washington State,12,2,0,0,0,0,0,0,0
74,49,Western Kentucky,12,2,1,1,0,0,0,0,0
75,76,Akron,12,3,0,0,0,0,0,0,0
