,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Florida State,14,21,8,20,0,0,170,12.1
1,2,Louisville,13,18,10,18,0,1,158,12.2
2,3,Michigan State,14,21,13,20,0,0,185,13.2
3,4,Alabama,13,23,7,22,0,0,181,13.9
4,5,Bowling Green,14,29,6,28,1,0,222,15.9
5,6,Wisconsin,13,25,13,21,1,0,212,16.3
6,7,Utah State,14,28,15,26,0,0,239,17.1
7,8,North Texas,13,30,7,28,0,1,231,17.8
8,9,Iowa,13,30,12,30,0,0,246,18.9
9,10,Stanford,14,31,17,27,1,0,266,19.0
10,11,Virginia Tech,13,31,12,29,0,0,251,19.3
11,12,South Carolina,13,32,13,29,2,0,264,20.3
12,13,Oregon,13,32,15,29,0,0,266,20.5
13,14,Cincinnati,13,34,12,29,1,1,273,21.0
14,15,Florida,12,27,22,25,0,0,253,21.1
15,16,USC,14,39,7,36,2,1,297,21.2
16,17,UCF,13,36,8,33,2,0,277,21.3
17,18,Tulane,13,33,16,32,0,0,278,21.4
18,19,Oklahoma State,13,33,17,30,1,0,281,21.6
19,20,Houston,13,34,17,28,0,0,283,21.8
20,21,LSU,13,32,21,31,0,0,286,22.0
21,22,BYU,13,33,18,31,0,2,287,22.1
22,22,Oklahoma,13,36,13,32,0,0,287,22.1
23,24,Clemson,13,37,10,34,0,1,288,22.2
24,24,Minnesota,13,36,14,31,0,0,289,22.2
25,26,Florida Atlantic,12,32,15,30,0,0,267,22.3
26,27,Notre Dame,13,34,18,31,1,0,291,22.4
27,28,Ohio State,14,42,9,36,1,0,317,22.6
28,29,Washington,13,37,14,33,0,0,297,22.8
29,29,Georgia Tech,13,38,10,35,1,1,297,22.8
30,31,Kansas State,13,35,18,32,1,0,298,22.9
31,31,Marshall,14,40,14,33,3,0,321,22.9
32,33,Mississippi State,13,36,14,35,1,2,299,23.0
33,34,Missouri,14,39,17,36,1,0,323,23.1
34,35,UCLA,13,37,14,35,0,1,301,23.2
35,36,Baylor,13,41,7,37,0,1,306,23.5
36,37,Mississippi,13,38,14,36,0,1,308,23.7
37,38,Wake Forest,12,36,12,35,0,1,289,24.1
38,39,Arizona,13,39,15,34,0,1,315,24.2
39,40,Buffalo,13,40,12,37,2,0,317,24.4
40,40,Navy,13,41,9,36,3,1,317,24.4
41,40,Rice,14,43,14,40,1,0,342,24.4
42,43,North Carolina,13,38,18,36,0,0,318,24.5
43,44,Western Kentucky,12,37,12,33,2,0,295,24.6
44,44,Memphis,12,37,12,35,1,0,295,24.6
45,44,Vanderbilt,13,40,13,37,2,0,320,24.6
46,47,Ball State,13,39,16,37,1,0,321,24.7
47,47,Auburn,14,41,20,38,1,0,346,24.7
48,49,East Carolina,13,39,16,38,0,1,322,24.8
49,49,Nebraska,13,38,19,36,0,1,323,24.8
50,49,Boise State,13,41,13,38,0,0,323,24.8
51,52,Northern Illinois,14,43,18,37,1,0,351,25.1
