,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Louisville,13,1049,2220,779,3269,4.20,251.5
1,2,Michigan State,14,1212,2319,873,3531,4.04,252.2
2,3,Florida State,14,1747,2193,963,3940,4.09,281.4
3,4,Virginia Tech,13,1442,2240,812,3682,4.53,283.2
4,5,Alabama,13,1381,2344,771,3725,4.83,286.5
5,6,Iowa,13,1669,2271,861,3940,4.58,303.1
6,7,Wisconsin,13,1333,2633,839,3966,4.73,305.1
7,8,Florida,12,1709,2062,712,3771,5.30,314.3
8,9,Cincinnati,13,1358,2745,861,4103,4.77,315.6
9,10,Bowling Green,14,2108,2392,890,4500,5.06,321.4
10,11,Florida Atlantic,12,2012,1933,800,3945,4.93,328.8
11,12,Utah State,14,1495,3138,1019,4633,4.55,330.9
12,13,USC,14,1684,3005,942,4689,4.98,334.9
13,14,Western Kentucky,12,1935,2135,763,4070,5.33,339.2
14,15,LSU,13,1862,2567,872,4429,5.08,340.7
15,16,Stanford,14,1256,3553,989,4809,4.86,343.5
16,17,North Texas,13,1567,2961,881,4528,5.14,348.3
17,18,Mississippi State,13,1874,2667,833,4541,5.45,349.3
18,19,South Carolina,13,2000,2550,833,4550,5.46,350.0
19,20,Oklahoma,13,1789,2763,846,4552,5.38,350.2
20,21,South Florida,12,1677,2532,777,4209,5.42,350.8
21,22,Tulane,13,1604,2958,932,4562,4.89,350.9
22,23,Vanderbilt,13,1922,2690,909,4612,5.07,354.8
23,24,Clemson,13,2024,2608,920,4632,5.03,356.3
24,25,TCU,12,1570,2707,886,4277,4.83,356.4
25,26,Kansas State,13,1808,2857,919,4665,5.08,358.8
26,27,Baylor,13,1886,2794,985,4680,4.75,360.0
27,28,Georgia Tech,13,1505,3178,849,4683,5.52,360.2
28,29,UCF,13,1592,3114,879,4706,5.35,362.0
29,30,Rice,14,2259,2838,957,5097,5.33,364.1
30,31,Wake Forest,12,1718,2676,878,4394,5.00,366.2
31,31,Notre Dame,13,2184,2576,930,4760,5.12,366.2
32,33,Pittsburgh,13,1937,2841,865,4778,5.52,367.5
33,34,Syracuse,13,1803,2985,896,4788,5.34,368.3
34,35,Marshall,14,2249,2913,1053,5162,4.90,368.7
35,36,East Carolina,13,1517,3277,979,4794,4.90,368.8
36,37,Oregon,13,2152,2659,1043,4811,4.61,370.1
37,38,Mississippi,13,2014,2802,917,4816,5.25,370.5
38,39,Memphis,12,1396,3052,857,4448,5.19,370.7
39,39,Nebraska,13,2029,2790,925,4819,5.21,370.7
40,41,Michigan,13,1822,3007,912,4829,5.29,371.5
41,42,Arizona State,14,1927,3286,942,5213,5.53,372.4
42,43,Minnesota,13,2056,2796,858,4852,5.66,373.2
43,44,Maryland,13,1952,2926,957,4878,5.10,375.2
44,45,Georgia,13,1926,2956,902,4882,5.41,375.5
45,46,UTSA,12,1717,2799,841,4516,5.37,376.3
46,47,Ohio State,14,1532,3752,1000,5284,5.28,377.4
47,48,BYU,13,2079,2846,1028,4925,4.79,378.8
48,49,Penn State,12,1728,2848,864,4576,5.30,381.3
49,50,Buffalo,13,2166,2810,890,4976,5.59,382.8
50,51,South Alabama,12,1916,2695,820,4611,5.62,384.3
51,52,Connecticut,12,1625,2990,836,4615,5.52,384.6
52,53,Oklahoma State,13,1851,3153,1049,5004,4.77,384.9
53,54,UCLA,13,2188,2829,990,5017,5.07,385.9
54,55,San Diego State,13,1708,3312,955,5020,5.26,386.2
55,56,Washington,13,2097,2959,1015,5056,4.98,388.9
56,57,Louisiana-Lafayette,13,1959,3157,888,5116,5.76,393.5
57,58,Navy,13,2325,2807,908,5132,5.65,394.8
58,59,Texas State,12,1769,2991,880,4760,5.41,396.7
59,60,Akron,12,1969,2795,865,4764,5.51,397.0
60,61,Utah,12,1564,3208,887,4772,5.38,397.7
61,62,North Carolina State,12,2162,2631,814,4793,5.89,399.4
62,63,Arizona,13,2182,3032,991,5214,5.26,401.1
63,64,North Carolina,13,2371,2869,993,5240,5.28,403.1
64,64,Middle Tennessee,13,2596,2644,987,5240,5.31,403.1
