,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,USC,14,43,27,62.79,22,51.16,5,11.63
1,2,North Texas,13,35,22,62.86,17,48.57,5,14.29
2,3,Bowling Green,14,34,22,64.71,20,58.82,2,5.88
3,4,Alabama,13,25,17,68.00,14,56.00,3,12.00
4,5,Louisville,13,38,26,68.42,18,47.37,8,21.05
5,6,Utah State,14,45,31,68.89,19,42.22,12,26.67
6,7,Oklahoma State,13,45,32,71.11,20,44.44,12,26.67
7,8,Buffalo,13,42,30,71.43,22,52.38,8,19.05
8,9,Ohio,13,43,31,72.09,24,55.81,7,16.28
9,10,Auburn,14,52,38,73.08,26,50.00,12,23.08
10,11,Tulane,13,49,36,73.47,21,42.86,15,30.61
11,11,Tennessee,12,49,36,73.47,29,59.18,7,14.29
12,13,UCF,13,38,28,73.68,26,68.42,2,5.26
13,14,Georgia Tech,13,42,31,73.81,26,61.90,5,11.90
14,15,Minnesota,13,50,37,74.00,26,52.00,11,22.00
15,16,Stanford,14,43,32,74.42,21,48.84,11,25.58
16,17,Middle Tennessee,13,53,40,75.47,31,58.49,9,16.98
17,18,Houston,13,49,37,75.51,25,51.02,12,24.49
18,19,East Carolina,13,45,34,75.56,26,57.78,8,17.78
19,20,Ball State,13,41,31,75.61,22,53.66,9,21.95
20,21,Wisconsin,13,33,25,75.76,14,42.42,11,33.33
21,22,Baylor,13,42,32,76.19,26,61.90,6,14.29
22,23,Cincinnati,13,34,26,76.47,18,52.94,8,23.53
23,24,Florida State,14,30,23,76.67,16,53.33,7,23.33
24,25,Louisiana-Monroe,12,43,33,76.74,26,60.47,7,16.28
25,26,Memphis,12,44,34,77.27,25,56.82,9,20.45
26,27,Navy,13,45,35,77.78,30,66.67,5,11.11
27,28,Wyoming,12,55,43,78.18,37,67.27,6,10.91
28,29,South Florida,12,46,36,78.26,25,54.35,11,23.91
29,29,Boston College,13,46,36,78.26,30,65.22,6,13.04
30,31,Arkansas State,13,56,44,78.57,32,57.14,12,21.43
31,32,Wake Forest,12,47,37,78.72,25,53.19,12,25.53
32,33,Ohio State,14,43,34,79.07,29,67.44,5,11.63
33,34,Miami (Ohio),12,68,54,79.41,41,60.29,13,19.12
34,35,Louisiana-Lafayette,13,44,35,79.55,23,52.27,12,27.27
35,36,Michigan State,14,30,24,80.00,14,46.67,10,33.33
36,36,Miami (Florida),13,50,40,80.00,27,54.00,13,26.00
37,38,Washington State,13,51,41,80.39,29,56.86,12,23.53
38,38,Iowa State,12,51,41,80.39,31,60.78,10,19.61
39,40,Oregon,13,46,37,80.43,25,54.35,12,26.09
40,40,South Carolina,13,46,37,80.43,27,58.70,10,21.74
41,42,Kentucky,12,52,42,80.77,34,65.38,8,15.38
42,43,BYU,13,47,38,80.85,25,53.19,13,27.66
43,44,New Mexico State,12,63,51,80.95,41,65.08,10,15.87
44,45,Notre Dame,13,48,39,81.25,25,52.08,14,29.17
45,46,LSU,13,43,35,81.40,21,48.84,14,32.56
46,46,Massachusetts,12,43,35,81.40,23,53.49,12,27.91
47,48,Clemson,13,33,27,81.82,21,63.64,6,18.18
48,48,UNLV,13,44,36,81.82,29,65.91,7,15.91
49,50,Florida,12,39,32,82.05,19,48.72,13,33.33
50,51,Virginia Tech,13,28,23,82.14,17,60.71,6,21.43
51,52,Louisiana Tech,12,45,37,82.22,27,60.00,10,22.22
52,52,Duke,14,45,37,82.22,29,64.44,8,17.78
53,52,Western Kentucky,12,45,37,82.22,29,64.44,8,17.78
54,52,Arkansas,12,45,37,82.22,29,64.44,8,17.78
55,56,Washington,13,46,38,82.61,27,58.70,11,23.91
56,56,Colorado State,14,46,38,82.61,27,58.70,11,23.91
57,56,Troy,12,46,38,82.61,30,65.22,8,17.39
58,59,Boise State,13,52,43,82.69,31,59.62,12,23.08
59,59,Western Michigan,12,52,43,82.69,31,59.62,12,23.08
60,61,Colorado,12,64,53,82.81,43,67.19,10,15.63
61,62,UCLA,13,47,39,82.98,29,61.70,10,21.28
62,63,Marshall,14,53,44,83.02,31,58.49,13,24.53
63,63,Kent State,12,53,44,83.02,32,60.38,12,22.64
64,65,Missouri,14,48,40,83.33,28,58.33,12,25.00
65,65,West Virginia,12,60,50,83.33,32,53.33,18,30.00
66,65,San Jose State,12,60,50,83.33,41,68.33,9,15.00
67,68,Texas Tech,13,49,41,83.67,31,63.27,10,20.41
68,69,TCU,12,43,36,83.72,18,41.86,18,41.86
69,69,Northern Illinois,14,43,36,83.72,27,62.79,9,20.93
70,71,Idaho,12,62,52,83.87,46,74.19,6,9.68
71,72,Central Michigan,12,50,42,84.00,30,60.00,12,24.00
72,73,Penn State,12,38,32,84.21,22,57.89,10,26.32
73,73,Illinois,12,57,48,84.21,36,63.16,12,21.05
74,75,Akron,12,51,43,84.31,33,64.71,10,19.61
