,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Florida State,14,73,71,97.26,58,79.45,13,17.81
1,2,Boston College,13,33,32,96.97,19,57.58,13,39.39
2,3,Northwestern,12,46,44,95.65,24,52.17,20,43.48
3,4,Ohio State,14,63,60,95.24,53,84.13,7,11.11
4,5,Air Force,12,37,35,94.59,29,78.38,6,16.22
5,6,USC,14,40,37,92.50,27,67.50,10,25.00
6,7,Marshall,14,66,61,92.42,52,78.79,9,13.64
7,8,New Mexico State,12,35,32,91.43,24,68.57,8,22.86
8,9,Ball State,13,66,60,90.91,44,66.67,16,24.24
9,10,New Mexico,12,42,38,90.48,30,71.43,8,19.05
10,11,Rice,14,52,47,90.38,40,76.92,7,13.46
11,11,Stanford,14,52,47,90.38,30,57.69,17,32.69
12,13,Georgia Tech,13,49,44,89.80,40,81.63,4,8.16
13,14,Iowa State,12,39,35,89.74,24,61.54,11,28.21
14,15,Boise State,13,68,61,89.71,46,67.65,15,22.06
15,16,North Carolina,13,47,42,89.36,31,65.96,11,23.40
16,17,Arizona State,14,75,67,89.33,46,61.33,21,28.00
17,18,Vanderbilt,13,56,50,89.29,37,66.07,13,23.21
18,19,Minnesota,13,37,33,89.19,25,67.57,8,21.62
19,20,Texas Tech,13,70,62,88.57,40,57.14,22,31.43
20,21,Washington,13,61,54,88.52,46,75.41,8,13.11
21,21,Auburn,14,61,54,88.52,44,72.13,10,16.39
22,23,Texas,13,42,37,88.10,24,57.14,13,30.95
23,24,Nebraska,13,50,44,88.00,34,68.00,10,20.00
24,25,Army,12,41,36,87.80,30,73.17,6,14.63
25,25,TCU,12,41,36,87.80,26,63.41,10,24.39
26,27,Oklahoma State,13,64,56,87.50,48,75.00,8,12.50
27,27,Missouri,14,64,56,87.50,45,70.31,11,17.19
28,27,Colorado State,14,56,49,87.50,38,67.86,11,19.64
29,27,Kansas State,13,48,42,87.50,31,64.58,11,22.92
30,31,Oklahoma,13,55,48,87.27,29,52.73,19,34.55
31,32,Buffalo,13,47,41,87.23,35,74.47,6,12.77
32,33,Navy,13,61,53,86.89,42,68.85,11,18.03
33,34,UCF,13,67,58,86.57,40,59.70,18,26.87
34,35,South Carolina,13,52,45,86.54,37,71.15,8,15.38
35,36,UAB,12,37,32,86.49,19,51.35,13,35.14
36,37,Wisconsin,13,59,51,86.44,39,66.10,12,20.34
37,38,Georgia,13,73,63,86.30,46,63.01,17,23.29
38,39,Louisiana-Lafayette,13,51,44,86.27,36,70.59,8,15.69
39,40,Duke,14,58,50,86.21,40,68.97,10,17.24
40,40,Louisville,13,58,50,86.21,33,56.90,17,29.31
41,42,UCLA,13,64,55,85.94,46,71.88,9,14.06
42,43,Michigan,13,56,48,85.71,37,66.07,11,19.64
43,44,Toledo,12,48,41,85.42,28,58.33,13,27.08
44,45,UTSA,12,41,35,85.37,25,60.98,10,24.39
45,46,East Carolina,13,75,64,85.33,51,68.00,13,17.33
46,47,Utah State,14,61,52,85.25,40,65.57,12,19.67
47,47,Bowling Green,14,61,52,85.25,39,63.93,13,21.31
48,49,Arkansas State,13,54,46,85.19,35,64.81,11,20.37
49,50,Northern Illinois,14,74,63,85.14,49,66.22,14,18.92
50,51,Clemson,13,60,51,85.00,41,68.33,10,16.67
51,52,Connecticut,12,33,28,84.85,20,60.61,8,24.24
52,53,Fresno State,13,71,60,84.51,51,71.83,9,12.68
53,54,Pittsburgh,13,45,38,84.44,29,64.44,9,20.00
54,55,Memphis,12,38,32,84.21,22,57.89,10,26.32
55,56,North Texas,13,44,37,84.09,30,68.18,7,15.91
56,57,LSU,13,56,47,83.93,37,66.07,10,17.86
57,58,Utah,12,42,35,83.33,27,64.29,8,19.05
58,59,Houston,13,59,49,83.05,34,57.63,15,25.42
59,60,Nevada,12,52,43,82.69,34,65.38,9,17.31
60,61,Wyoming,12,46,38,82.61,34,73.91,4,8.70
61,61,Maryland,13,46,38,82.61,22,47.83,16,34.78
62,63,Indiana,12,56,46,82.14,38,67.86,8,14.29
63,63,Arizona,13,56,46,82.14,37,66.07,9,16.07
64,63,BYU,13,56,46,82.14,27,48.21,19,33.93
65,63,Wake Forest,12,28,23,82.14,18,64.29,5,17.86
66,67,Baylor,13,67,55,82.09,43,64.18,12,17.91
67,68,Ohio,13,55,45,81.82,30,54.55,15,27.27
68,69,Western Kentucky,12,64,52,81.25,39,60.94,13,20.31
69,69,Colorado,12,32,26,81.25,14,43.75,12,37.50
70,71,Texas State,12,37,30,81.08,25,67.57,5,13.51
71,72,Texas A&M,13,73,59,80.82,53,72.60,6,8.22
72,73,Western Michigan,12,36,29,80.56,16,44.44,13,36.11
73,74,Florida Atlantic,12,41,33,80.49,26,63.41,7,17.07
74,74,Tulane,13,41,33,80.49,25,60.98,8,19.51
75,74,Virginia,12,41,33,80.49,21,51.22,12,29.27
76,77,Syracuse,13,46,37,80.43,29,63.04,8,17.39
77,78,Penn State,12,51,41,80.39,32,62.75,9,17.65
