,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Baylor,13,3368,4668,1075,8036,7.48,618.2
1,2,Oregon,13,3556,3789,973,7345,7.55,565.0
2,3,Fresno State,13,1967,5134,1088,7101,6.53,546.2
3,4,Texas A&M,13,2406,4593,954,6999,7.34,538.4
4,5,Northern Illinois,14,4161,3116,1073,7277,6.78,519.8
5,6,Florida State,14,2844,4423,947,7267,7.67,519.1
6,7,Ohio State,14,4321,2846,1003,7167,7.15,511.9
7,8,Texas Tech,13,1532,5107,1135,6639,5.85,510.7
8,9,Indiana,12,2422,3680,928,6102,6.58,508.5
9,9,Clemson,13,2283,4328,1037,6611,6.38,508.5
10,11,Auburn,14,4596,2422,1014,7018,6.92,501.3
11,12,Marshall,14,2883,4122,1093,7005,6.41,500.4
12,13,Washington,13,3107,3384,1023,6491,6.35,499.3
13,14,BYU,13,3476,2942,1111,6418,5.78,493.7
14,15,San Jose State,12,1648,4271,928,5919,6.38,493.3
15,16,Missouri,14,3330,3540,1042,6870,6.59,490.7
16,17,Georgia,13,2209,4085,945,6294,6.66,484.2
17,18,Wisconsin,13,3689,2562,912,6251,6.85,480.8
18,19,Ball State,13,1985,4214,959,6199,6.46,476.8
19,20,Boise State,13,2578,3610,1029,6188,6.01,476.0
20,21,Mississippi,13,2470,3683,1018,6153,6.04,473.3
21,22,Wyoming,12,2283,3389,922,5672,6.15,472.7
22,23,Cincinnati,13,2188,3949,985,6137,6.23,472.1
23,24,Colorado State,14,2872,3730,1050,6602,6.29,471.6
24,25,East Carolina,13,1821,4265,1028,6086,5.92,468.2
25,26,Oregon State,13,1227,4844,980,6071,6.19,467.0
26,27,Troy,12,1692,3867,920,5559,6.04,463.3
27,28,Louisville,13,1909,4082,894,5991,6.70,460.8
28,29,Bowling Green,14,2707,3725,983,6432,6.54,459.4
29,30,Western Kentucky,12,2362,3140,875,5502,6.29,458.5
30,30,Arizona,13,3444,2516,1030,5960,5.79,458.5
31,32,Arizona State,14,2679,3723,1102,6402,5.81,457.3
