,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Akron,12,0,0,0,0,0,0,0,0
1,1,Arizona,13,0,0,0,0,0,0,0,0
2,1,Auburn,14,0,0,0,0,0,0,0,0
3,1,Florida,12,0,0,0,0,0,0,0,0
4,1,Hawai'i,12,0,0,0,0,0,0,0,0
5,1,Kent State,12,0,0,0,0,0,0,0,0
6,1,Louisiana Tech,12,0,0,0,0,0,0,0,0
7,1,Louisville,13,0,0,0,0,0,0,0,0
8,1,Michigan,13,0,0,0,0,0,0,0,0
9,1,Navy,13,0,0,0,0,0,0,0,0
10,1,Northern Illinois,14,0,0,0,0,0,0,0,0
11,1,Northwestern,12,0,0,0,0,0,0,0,0
12,1,Oregon,13,0,0,0,0,0,0,0,0
13,1,Penn State,12,0,0,0,0,0,0,0,0
14,1,Purdue,12,0,0,0,0,0,0,0,0
15,1,Temple,12,0,0,0,0,0,0,0,0
16,1,Utah State,14,0,0,0,0,0,0,0,0
17,1,Washington State,13,0,0,0,0,0,0,0,0
18,1,Wisconsin,13,0,0,0,0,0,0,0,0
19,20,Air Force,12,1,0,0,0,0,0,0,0
20,20,Alabama,13,1,1,1,0,0,0,0,0
21,20,Boise State,13,1,1,1,0,0,0,0,0
22,20,Bowling Green,14,1,1,1,1,0,0,0,0
23,20,Florida International,12,1,0,0,0,0,0,0,0
24,20,Fresno State,13,1,0,0,0,0,0,0,0
25,20,Georgia,13,1,0,0,0,0,0,0,0
26,20,Illinois,12,1,0,0,0,0,0,0,0
27,20,Iowa,13,1,1,0,0,0,0,0,0
28,20,Massachusetts,12,1,1,0,0,0,0,0,0
29,20,Michigan State,14,1,1,1,0,0,0,0,0
30,20,Mississippi State,13,1,0,0,0,0,0,0,0
31,20,North Carolina,13,1,0,0,0,0,0,0,0
32,20,North Carolina State,12,1,0,0,0,0,0,0,0
33,20,North Texas,13,1,0,0,0,0,0,0,0
34,20,Ohio State,14,1,1,1,1,1,0,0,0
35,20,Rutgers,13,1,0,0,0,0,0,0,0
36,20,San Diego State,13,1,1,1,1,1,0,0,0
37,20,South Alabama,12,1,1,1,1,1,0,0,0
38,20,Texas A&M,13,1,1,0,0,0,0,0,0
39,20,Toledo,12,1,1,0,0,0,0,0,0
40,20,UCF,13,1,1,0,0,0,0,0,0
41,20,UCLA,13,1,0,0,0,0,0,0,0
42,20,UTEP,12,1,0,0,0,0,0,0,0
43,20,Utah,12,1,1,1,1,0,0,0,0
44,20,Washington,13,1,0,0,0,0,0,0,0
45,20,West Virginia,12,1,1,0,0,0,0,0,0
46,47,Arkansas State,13,2,1,0,0,0,0,0,0
47,47,Army,12,2,0,0,0,0,0,0,0
48,47,Ball State,13,2,2,0,0,0,0,0,0
49,47,Boston College,13,2,0,0,0,0,0,0,0
50,47,Clemson,13,2,0,0,0,0,0,0,0
51,47,Colorado,12,2,1,1,1,1,1,0,0
52,47,Duke,14,2,2,2,2,2,2,0,0
53,47,Houston,13,2,1,1,0,0,0,0,0
54,47,Indiana,12,2,1,1,1,0,0,0,0
55,47,Iowa State,12,2,2,2,2,1,1,1,1
56,47,Kansas,12,2,0,0,0,0,0,0,0
57,47,Kentucky,12,2,2,0,0,0,0,0,0
58,47,LSU,13,2,0,0,0,0,0,0,0
59,47,Marshall,14,2,1,1,0,0,0,0,0
60,47,Maryland,13,2,0,0,0,0,0,0,0
61,47,Memphis,12,2,2,0,0,0,0,0,0
62,47,Nevada,12,2,2,1,1,0,0,0,0
63,47,Notre Dame,13,2,2,1,0,0,0,0,0
64,47,Ohio,13,2,0,0,0,0,0,0,0
65,47,Oregon State,13,2,0,0,0,0,0,0,0
66,47,South Carolina,13,2,1,0,0,0,0,0,0
67,47,Texas,13,2,2,2,1,1,1,0,0
68,47,USC,14,2,1,1,0,0,0,0,0
69,47,Vanderbilt,13,2,0,0,0,0,0,0,0
70,47,Wake Forest,12,2,0,0,0,0,0,0,0
71,72,Arizona State,14,3,2,1,0,0,0,0,0
72,72,Buffalo,13,3,0,0,0,0,0,0,0
73,72,Colorado State,14,3,1,1,0,0,0,0,0
74,72,East Carolina,13,3,1,1,0,0,0,0,0
75,72,Florida Atlantic,12,3,2,2,2,2,2,0,0
76,72,Georgia Tech,13,3,1,1,0,0,0,0,0
77,72,Kansas State,13,3,2,1,0,0,0,0,0
78,72,Louisiana-Lafayette,13,3,1,1,1,1,1,0,0
79,72,Mississippi,13,3,1,0,0,0,0,0,0
80,72,Nebraska,13,3,0,0,0,0,0,0,0
81,72,New Mexico State,12,3,1,1,1,1,0,0,0
82,72,Oklahoma State,13,3,3,2,2,2,0,0,0
83,72,Rice,14,3,3,2,1,1,0,0,0
84,72,South Florida,12,3,1,0,0,0,0,0,0
85,72,TCU,12,3,2,1,1,1,1,1,1
86,72,Tennessee,12,3,3,3,1,1,1,1,0
87,72,Troy,12,3,1,1,1,1,0,0,0
88,72,Tulane,13,3,1,1,1,1,1,1,0
89,72,UAB,12,3,2,2,1,1,0,0,0
90,72,UNLV,13,3,1,1,1,1,1,0,0
91,72,UTSA,12,3,0,0,0,0,0,0,0
92,72,Virginia,12,3,1,1,1,1,1,1,0
93,72,Western Kentucky,12,3,1,0,0,0,0,0,0
94,72,Wyoming,12,3,2,1,1,1,0,0,0
95,96,Arkansas,12,4,4,2,1,0,0,0,0
96,96,BYU,13,4,2,1,0,0,0,0,0
97,96,Baylor,13,4,3,2,1,0,0,0,0
98,96,California,12,4,4,4,4,4,3,1,1
99,96,Central Michigan,12,4,3,2,1,1,0,0,0
100,96,Florida State,14,4,3,2,0,0,0,0,0
101,96,Louisiana-Monroe,12,4,3,1,0,0,0,0,0
102,96,Minnesota,13,4,3,1,1,1,1,0,0
103,96,Missouri,14,4,0,0,0,0,0,0,0
104,96,New Mexico,12,4,2,1,1,1,0,0,0
105,96,Oklahoma,13,4,3,2,2,2,2,1,0
106,96,SMU,12,4,3,2,2,0,0,0,0
107,96,San Jose State,12,4,0,0,0,0,0,0,0
108,96,Stanford,14,4,1,1,0,0,0,0,0
109,110,Cincinnati,13,5,3,1,1,1,1,1,0
110,110,Connecticut,12,5,0,0,0,0,0,0,0
111,110,Eastern Michigan,12,5,3,2,1,1,1,0,0
112,110,Georgia State,12,5,2,1,0,0,0,0,0
113,110,Miami (Florida),13,5,2,1,0,0,0,0,0
114,110,Miami (Ohio),12,5,4,3,2,0,0,0,0
115,110,Middle Tennessee,13,5,3,2,2,1,1,0,0
116,110,Texas State,12,5,3,2,0,0,0,0,0
117,110,Tulsa,12,5,2,1,1,1,0,0,0
118,110,Virginia Tech,13,5,3,2,2,2,1,0,0
119,120,Idaho,12,6,5,5,2,1,0,0,0
120,120,Pittsburgh,13,6,3,3,3,3,1,1,0
121,120,Texas Tech,13,6,4,2,1,0,0,0,0
