,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Florida,12,0,0,0,0,0,0,0
1,2,Rice,14,1,0,0,0,0,0,0
2,3,Air Force,12,2,0,0,0,0,0,0
3,3,Boston College,13,2,2,1,0,0,0,0
4,3,Cincinnati,13,2,1,1,1,1,0,0
5,3,Missouri,14,2,2,2,1,1,1,1
6,3,Nevada,12,2,1,1,0,0,0,0
7,3,Tulane,13,2,1,0,0,0,0,0
8,3,Tulsa,12,2,1,1,1,1,1,1
9,3,Washington State,13,2,1,1,1,1,1,1
10,3,Wisconsin,13,2,1,0,0,0,0,0
11,12,California,12,3,1,0,0,0,0,0
12,12,Indiana,12,3,1,0,0,0,0,0
13,12,Iowa State,12,3,1,1,1,1,1,1
14,12,Kansas,12,3,2,1,1,1,1,1
15,12,Miami (Ohio),12,3,0,0,0,0,0,0
16,12,Nebraska,13,3,2,0,0,0,0,0
17,12,Ohio,13,3,1,1,1,1,1,1
18,12,Stanford,14,3,0,0,0,0,0,0
19,12,Syracuse,13,3,1,0,0,0,0,0
20,12,UAB,12,3,1,0,0,0,0,0
21,12,UNLV,13,3,2,2,2,2,2,1
22,12,Vanderbilt,13,3,1,1,1,0,0,0
23,24,Arkansas,12,4,1,1,0,0,0,0
24,24,Central Michigan,12,4,1,1,0,0,0,0
25,24,Colorado State,14,4,2,2,2,2,1,1
26,24,Duke,14,4,1,0,0,0,0,0
27,24,LSU,13,4,3,2,2,2,2,2
28,24,Louisiana Tech,12,4,1,0,0,0,0,0
29,24,Louisiana-Lafayette,13,4,3,3,3,3,3,3
30,24,Louisiana-Monroe,12,4,3,1,0,0,0,0
31,24,Miami (Florida),13,4,1,0,0,0,0,0
32,24,Michigan State,14,4,1,1,0,0,0,0
33,24,Minnesota,13,4,2,0,0,0,0,0
34,24,Mississippi State,13,4,2,1,1,1,1,1
35,24,North Texas,13,4,2,0,0,0,0,0
36,24,Northern Illinois,14,4,3,1,1,1,1,1
37,24,Northwestern,12,4,1,1,0,0,0,0
38,24,San Diego State,13,4,3,1,1,1,1,1
39,24,South Alabama,12,4,2,1,0,0,0,0
40,24,Texas State,12,4,0,0,0,0,0,0
41,24,UCLA,13,4,0,0,0,0,0,0
42,24,Utah State,14,4,2,1,1,1,0,0
43,44,Akron,12,5,1,1,0,0,0,0
44,44,Arkansas State,13,5,1,0,0,0,0,0
45,44,Auburn,14,5,2,2,2,2,2,1
46,44,Buffalo,13,5,1,1,0,0,0,0
47,44,East Carolina,13,5,3,1,1,1,1,0
48,44,Eastern Michigan,12,5,3,3,3,3,3,2
49,44,Marshall,14,5,0,0,0,0,0,0
50,44,Maryland,13,5,2,1,1,1,1,0
