,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Navy,13,39,1434,36.77,3.0,110.3
1,2,Rutgers,13,70,2585,36.93,5.4,198.8
2,3,Akron,12,57,2175,38.16,4.8,181.3
3,4,SMU,12,60,2293,38.22,5.0,191.1
4,5,Hawai'i,12,73,2793,38.26,6.1,232.8
5,6,Stanford,14,74,2833,38.28,5.3,202.4
6,7,Toledo,12,53,2035,38.40,4.4,169.6
7,8,Middle Tennessee,13,62,2382,38.42,4.8,183.2
8,9,Washington,13,74,2846,38.46,5.7,218.9
9,10,Eastern Michigan,12,39,1502,38.51,3.3,125.2
10,11,Bowling Green,14,76,2932,38.58,5.4,209.4
11,12,Kansas,12,72,2790,38.75,6.0,232.5
12,13,Troy,12,55,2135,38.82,4.6,177.9
13,14,Texas A&M,13,61,2376,38.95,4.7,182.8
14,15,Washington State,13,64,2499,39.05,4.9,192.2
15,16,Purdue,12,42,1642,39.10,3.5,136.8
16,17,Connecticut,12,60,2358,39.30,5.0,196.5
17,18,USC,14,91,3577,39.31,6.5,255.5
18,19,Vanderbilt,13,63,2477,39.32,4.8,190.5
19,20,Michigan,13,61,2403,39.39,4.7,184.8
20,21,Northwestern,12,63,2483,39.41,5.3,206.9
21,22,Wisconsin,13,87,3442,39.56,6.7,264.8
22,23,Kansas State,13,60,2374,39.57,4.6,182.6
23,24,UAB,12,47,1862,39.62,3.9,155.2
24,24,UCLA,13,74,2932,39.62,5.7,225.5
25,26,Oregon,13,81,3210,39.63,6.2,246.9
26,27,Syracuse,13,81,3215,39.69,6.2,247.3
27,28,Louisiana Tech,12,60,2383,39.72,5.0,198.6
28,28,West Virginia,12,68,2701,39.72,5.7,225.1
29,30,Kent State,12,52,2069,39.79,4.3,172.4
30,31,Louisville,13,74,2945,39.80,5.7,226.5
31,31,Utah,12,79,3144,39.80,6.6,262.0
32,33,North Texas,13,81,3229,39.86,6.2,248.4
33,34,Southern Mississippi,12,57,2273,39.88,4.8,189.4
34,35,Boise State,13,72,2872,39.89,5.5,220.9
35,36,Georgia State,12,52,2078,39.96,4.3,173.2
36,36,Houston,13,71,2837,39.96,5.5,218.2
37,38,Tennessee,12,58,2321,40.02,4.8,193.4
38,39,Nebraska,13,79,3166,40.08,6.1,243.5
39,40,Army,12,45,1804,40.09,3.8,150.3
40,41,Wake Forest,12,68,2727,40.10,5.7,227.3
41,42,Oklahoma,13,76,3049,40.12,5.8,234.5
42,43,Ball State,13,60,2410,40.17,4.6,185.4
43,44,Buffalo,13,68,2732,40.18,5.2,210.2
44,45,Notre Dame,13,59,2373,40.22,4.5,182.5
45,45,Missouri,14,83,3338,40.22,5.9,238.4
46,47,Utah State,14,92,3701,40.23,6.6,264.4
47,48,Miami (Florida),13,64,2576,40.25,4.9,198.2
48,49,Duke,14,75,3020,40.27,5.4,215.7
49,50,Ohio State,14,79,3182,40.28,5.6,227.3
50,51,Temple,12,53,2139,40.36,4.4,178.3
51,52,North Carolina State,12,72,2907,40.38,6.0,242.3
52,53,Oregon State,13,60,2432,40.53,4.6,187.1
53,54,Tulane,13,76,3082,40.55,5.8,237.1
54,55,UNLV,13,54,2190,40.56,4.2,168.5
55,56,Tulsa,12,67,2719,40.58,5.6,226.6
56,57,San Diego State,13,71,2882,40.59,5.5,221.7
57,58,Georgia Tech,13,69,2803,40.62,5.3,215.6
58,59,Virginia,12,79,3211,40.65,6.6,267.6
59,60,Western Michigan,12,49,1993,40.67,4.1,166.1
60,61,Iowa,13,89,3633,40.82,6.8,279.5
61,62,South Carolina,13,58,2373,40.91,4.5,182.5
62,63,Illinois,12,49,2006,40.94,4.1,167.2
63,64,Miami (Ohio),12,46,1885,40.98,3.8,157.1
64,65,New Mexico,12,41,1682,41.02,3.4,140.2
65,66,UCF,13,66,2710,41.06,5.1,208.5
66,67,Arizona,13,69,2836,41.10,5.3,218.2
67,68,Maryland,13,85,3494,41.11,6.5,268.8
68,69,Minnesota,13,63,2593,41.16,4.8,199.5
69,70,California,12,62,2556,41.23,5.2,213.0
70,71,TCU,12,80,3299,41.24,6.7,274.9
71,72,UTSA,12,57,2354,41.30,4.8,196.2
72,73,Idaho,12,51,2110,41.37,4.3,175.8
73,74,Western Kentucky,12,51,2111,41.39,4.3,175.9
74,74,Memphis,12,59,2442,41.39,4.9,203.5
75,76,Central Michigan,12,45,1867,41.49,3.8,155.6
76,76,Florida International,12,51,2116,41.49,4.3,176.3
77,78,Ohio,13,65,2698,41.51,5.0,207.5
78,79,Mississippi,13,71,2948,41.52,5.5,226.8
79,80,East Carolina,13,63,2619,41.57,4.8,201.5
80,81,Georgia,13,66,2744,41.58,5.1,211.1
81,82,Massachusetts,12,42,1752,41.71,3.5,146.0
82,83,North Carolina,13,73,3046,41.73,5.6,234.3
83,84,UTEP,12,48,2005,41.77,4.0,167.1
84,85,Colorado State,14,77,3217,41.78,5.5,229.8
85,86,Rice,14,75,3143,41.91,5.4,224.5
86,87,Arkansas,12,48,2012,41.92,4.0,167.7
87,88,LSU,13,61,2561,41.98,4.7,197.0
88,89,Alabama,13,81,3401,41.99,6.2,261.6
89,90,Louisiana-Lafayette,13,56,2355,42.05,4.3,181.2
90,91,Arizona State,14,80,3365,42.06,5.7,240.4
91,92,South Alabama,12,66,2777,42.08,5.5,231.4
92,93,Fresno State,13,76,3199,42.09,5.8,246.1
93,94,Texas,13,80,3370,42.13,6.2,259.2
94,95,Arkansas State,13,70,2950,42.14,5.4,226.9
95,96,Oklahoma State,13,89,3753,42.17,6.8,288.7
96,97,BYU,13,95,4007,42.18,7.3,308.2
97,98,Iowa State,12,66,2787,42.23,5.5,232.3
98,99,Northern Illinois,14,71,3002,42.28,5.1,214.4
99,100,Clemson,13,94,3976,42.30,7.2,305.8
100,101,Florida Atlantic,12,80,3386,42.33,6.7,282.2
101,102,Texas State,12,59,2504,42.44,4.9,208.7
102,103,Marshall,14,87,3698,42.51,6.2,264.1
103,104,Florida,12,51,2170,42.55,4.3,180.8
104,105,San Jose State,12,48,2043,42.56,4.0,170.3
105,106,Colorado,12,59,2515,42.63,4.9,209.6
106,107,Texas Tech,13,85,3634,42.75,6.5,279.5
107,108,Florida State,14,96,4109,42.80,6.9,293.5
108,109,Penn State,12,70,2998,42.83,5.8,249.8
109,110,Louisiana-Monroe,12,75,3221,42.95,6.3,268.4
110,111,Air Force,12,31,1333,43.00,2.6,111.1
111,111,Virginia Tech,13,84,3612,43.00,6.5,277.8
112,113,Indiana,12,44,1894,43.05,3.7,157.8
113,114,Cincinnati,13,78,3362,43.10,6.0,258.6
114,115,Michigan State,14,95,4115,43.32,6.8,293.9
115,116,Nevada,12,43,1864,43.35,3.6,155.3
116,117,Boston College,13,68,2950,43.38,5.2,226.9
117,118,New Mexico State,12,41,1783,43.49,3.4,148.6
118,119,Auburn,14,76,3334,43.87,5.4,238.1
119,120,South Florida,12,53,2326,43.89,4.4,193.8
120,121,Mississippi State,13,70,3073,43.90,5.4,236.4
121,121,Baylor,13,96,4214,43.90,7.4,324.2
122,123,Pittsburgh,13,62,2761,44.53,4.8,212.4
123,124,Kentucky,12,52,2365,45.48,4.3,197.1
124,125,Wyoming,12,66,3012,45.64,5.5,251.0
