,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Kent State,12,67,3685,55.00,12,17.91,1,0
1,2,Ball State,13,68,3837,56.43,20,29.41,3,0
2,3,Toledo,12,62,3510,56.61,14,22.58,1,2
3,4,Rutgers,13,70,3973,56.76,15,21.43,2,3
4,5,San Diego State,13,74,4223,57.07,14,18.92,2,2
5,6,Louisiana-Lafayette,13,68,3886,57.15,21,30.88,0,1
6,7,Akron,12,63,3604,57.21,17,26.98,2,5
7,7,Kansas State,13,63,3604,57.21,22,34.92,3,3
8,9,Minnesota,13,62,3566,57.52,17,27.42,3,1
9,10,New Mexico,12,86,4956,57.63,17,19.77,0,2
10,11,Oregon,13,56,3238,57.82,6,10.71,1,1
11,12,Maryland,13,72,4168,57.89,16,22.22,2,0
12,13,Western Kentucky,12,61,3536,57.97,19,31.15,1,2
13,14,USC,14,60,3484,58.07,21,35.00,4,0
14,15,Stanford,14,58,3370,58.10,11,18.97,2,5
15,16,Baylor,13,60,3492,58.20,11,18.33,0,1
16,17,Boston College,13,72,4198,58.31,18,25.00,4,0
17,18,Hawai'i,12,83,4856,58.51,26,31.33,5,2
18,19,Memphis,12,60,3526,58.77,11,18.33,0,1
19,20,Eastern Michigan,12,96,5658,58.94,24,25.00,4,0
20,21,Ohio,13,69,4072,59.01,11,15.94,3,2
21,22,Fresno State,13,72,4252,59.06,12,16.67,2,5
22,23,Northern Illinois,14,71,4194,59.07,22,30.99,3,4
23,24,UAB,12,89,5258,59.08,30,33.71,4,0
24,25,Arkansas State,13,68,4024,59.18,24,35.29,2,1
25,26,Illinois,12,79,4692,59.39,23,29.11,2,0
26,27,Troy,12,76,4516,59.42,28,36.84,2,2
27,28,Army,12,72,4281,59.46,27,37.50,3,0
28,29,Iowa State,12,78,4640,59.49,29,37.18,0,0
29,30,Western Michigan,12,80,4760,59.50,30,37.50,4,1
30,31,Massachusetts,12,77,4583,59.52,14,18.18,2,0
31,32,Clemson,13,55,3274,59.53,20,36.36,2,4
32,33,Virginia,12,77,4593,59.65,17,22.08,5,1
33,34,UCF,13,57,3407,59.77,15,26.32,1,1
34,35,Oklahoma State,13,58,3468,59.79,20,34.48,2,2
35,36,Buffalo,13,63,3770,59.84,15,23.81,1,0
36,37,Northwestern,12,59,3533,59.88,24,40.68,3,2
37,38,Iowa,13,52,3118,59.96,13,25.00,0,3
38,39,Florida State,14,42,2523,60.07,10,23.81,0,2
39,40,Texas State,12,65,3905,60.08,25,38.46,1,1
40,41,Oklahoma,13,61,3667,60.11,25,40.98,3,2
41,42,Florida,12,61,3674,60.23,20,32.79,5,0
42,43,Oregon State,13,81,4889,60.36,12,14.81,3,2
43,44,San Jose State,12,77,4650,60.39,25,32.47,3,1
44,45,Wisconsin,13,49,2961,60.43,17,34.69,0,2
45,46,Kansas,12,72,4352,60.44,24,33.33,3,2
46,47,Miami (Ohio),12,80,4836,60.45,28,35.00,2,1
47,48,Southern Mississippi,12,92,5564,60.48,32,34.78,1,0
48,49,UCLA,13,62,3751,60.50,13,20.97,3,2
49,50,Marshall,14,66,3999,60.59,17,25.76,2,0
50,50,Nebraska,13,68,4120,60.59,24,35.29,0,2
51,52,Louisiana Tech,12,63,3818,60.60,27,42.86,1,1
52,52,Ohio State,14,63,3818,60.60,29,46.03,4,3
53,54,Temple,12,72,4377,60.79,25,34.72,0,0
54,55,Navy,13,56,3405,60.80,24,42.86,0,2
55,56,Connecticut,12,71,4320,60.85,26,36.62,4,0
56,57,Mississippi,13,63,3835,60.87,27,42.86,1,0
57,58,Alabama,13,41,2497,60.90,9,21.95,2,2
58,59,Central Michigan,12,70,4264,60.91,24,34.29,3,0
59,60,Notre Dame,13,64,3899,60.92,20,31.25,2,1
60,61,North Carolina,13,67,4082,60.93,14,20.90,3,2
