,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,San Jose State,12,7,0.58
1,1,Air Force,12,7,0.58
2,1,North Texas,13,7,0.54
3,4,USC,14,6,0.43
4,5,Southern Mississippi,12,5,0.42
5,5,San Diego State,13,5,0.38
6,5,Kansas State,13,5,0.38
7,5,Georgia Tech,13,5,0.38
8,5,Rice,14,5,0.36
9,10,Akron,12,4,0.33
10,10,UAB,12,4,0.33
11,10,Florida International,12,4,0.33
12,10,Kansas,12,4,0.33
13,10,Oklahoma State,13,4,0.31
14,10,UCLA,13,4,0.31
15,10,Rutgers,13,4,0.31
16,10,Buffalo,13,4,0.31
17,10,Houston,13,4,0.31
18,10,Minnesota,13,4,0.31
19,10,Arkansas State,13,4,0.31
20,10,Northern Illinois,14,4,0.29
21,10,Colorado State,14,4,0.29
22,23,New Mexico,12,3,0.25
23,23,Virginia,12,3,0.25
24,23,Idaho,12,3,0.25
25,23,Troy,12,3,0.25
26,23,Indiana,12,3,0.25
27,23,South Florida,12,3,0.25
28,23,Wyoming,12,3,0.25
29,23,Arkansas,12,3,0.25
30,23,Oklahoma,13,3,0.23
31,23,Oregon,13,3,0.23
32,23,Alabama,13,3,0.23
33,23,Ohio,13,3,0.23
34,23,Washington State,13,3,0.23
35,23,Texas A&M,13,3,0.23
36,23,BYU,13,3,0.23
37,23,Syracuse,13,3,0.23
38,23,Boise State,13,3,0.23
39,23,Miami (Florida),13,3,0.23
40,23,Ohio State,14,3,0.21
41,23,Duke,14,3,0.21
42,23,Utah State,14,3,0.21
43,23,Stanford,14,3,0.21
44,45,Massachusetts,12,2,0.17
45,45,West Virginia,12,2,0.17
46,45,Memphis,12,2,0.17
47,45,South Alabama,12,2,0.17
48,45,New Mexico State,12,2,0.17
49,45,Wake Forest,12,2,0.17
50,45,Northwestern,12,2,0.17
51,45,Kentucky,12,2,0.17
52,45,Tennessee,12,2,0.17
53,45,Utah,12,2,0.17
54,45,Temple,12,2,0.17
55,45,Iowa State,12,2,0.17
56,45,SMU,12,2,0.17
57,45,Western Kentucky,12,2,0.17
58,45,Western Michigan,12,2,0.17
59,45,Georgia State,12,2,0.17
60,45,Louisville,13,2,0.15
61,45,Oregon State,13,2,0.15
62,45,Fresno State,13,2,0.15
63,45,Notre Dame,13,2,0.15
64,45,Washington,13,2,0.15
65,45,Virginia Tech,13,2,0.15
66,45,Vanderbilt,13,2,0.15
67,45,Wisconsin,13,2,0.15
68,45,Mississippi State,13,2,0.15
69,45,Baylor,13,2,0.15
70,45,Tulane,13,2,0.15
71,45,Texas,13,2,0.15
72,45,Texas Tech,13,2,0.15
73,45,Georgia,13,2,0.15
74,45,Michigan,13,2,0.15
75,45,Middle Tennessee,13,2,0.15
76,45,Arizona State,14,2,0.14
77,45,Missouri,14,2,0.14
78,45,Auburn,14,2,0.14
79,80,Louisiana Tech,12,1,0.08
80,80,LSU,13,1,0.08
81,80,Florida,12,1,0.08
82,80,UNLV,13,1,0.08
83,80,Nebraska,13,1,0.08
84,80,Florida Atlantic,12,1,0.08
85,80,Kent State,12,1,0.08
86,80,North Carolina,13,1,0.08
87,80,Boston College,13,1,0.08
88,80,Mississippi,13,1,0.08
89,80,Texas State,12,1,0.08
90,80,Purdue,12,1,0.08
91,80,Tulsa,12,1,0.08
92,80,Pittsburgh,13,1,0.08
93,80,Ball State,13,1,0.08
94,80,Maryland,13,1,0.08
95,80,Louisiana-Monroe,12,1,0.08
96,80,Penn State,12,1,0.08
97,80,Miami (Ohio),12,1,0.08
98,80,Bowling Green,14,1,0.07
99,80,Marshall,14,1,0.07
100,80,Michigan State,14,1,0.07
