,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Idaho,12,75,3587,47.83,6.3,298.9
1,2,Alabama,13,40,1875,46.88,3.1,144.2
2,3,Texas A&M,13,45,2085,46.33,3.5,160.4
3,4,Miami (Florida),13,54,2498,46.26,4.2,192.2
4,5,New Mexico,12,47,2152,45.79,3.9,179.3
5,6,Miami (Ohio),12,83,3764,45.35,6.9,313.7
6,7,Baylor,13,53,2379,44.89,4.1,183.0
7,8,Louisiana-Monroe,12,82,3668,44.73,6.8,305.7
8,9,Arkansas,12,53,2358,44.49,4.4,196.5
9,10,Memphis,12,63,2800,44.44,5.3,233.3
10,11,Mississippi,13,51,2266,44.43,3.9,174.3
11,12,Virginia Tech,13,79,3491,44.19,6.1,268.5
12,13,West Virginia,12,73,3218,44.08,6.1,268.2
13,14,Ohio State,14,49,2156,44.00,3.5,154.0
14,15,Texas State,12,72,3160,43.89,6.0,263.3
15,16,Tennessee,12,64,2801,43.77,5.3,233.4
16,16,Nevada,12,60,2626,43.77,5.0,218.8
17,18,Troy,12,60,2615,43.58,5.0,217.9
18,19,Utah,12,76,3300,43.42,6.3,275.0
19,20,San Jose State,12,48,2082,43.38,4.0,173.5
20,21,Minnesota,13,62,2687,43.34,4.8,206.7
21,22,Purdue,12,73,3158,43.26,6.1,263.2
22,23,Houston,13,73,3153,43.19,5.6,242.5
23,24,Central Michigan,12,52,2241,43.10,4.3,186.8
24,25,Kansas,12,86,3695,42.97,7.2,307.9
25,26,Stanford,14,52,2230,42.88,3.7,159.3
26,27,East Carolina,13,47,2013,42.83,3.6,154.8
27,28,UAB,12,56,2396,42.79,4.7,199.7
28,29,North Carolina,13,68,2909,42.78,5.2,223.8
29,30,Temple,12,61,2609,42.77,5.1,217.4
30,31,Vanderbilt,13,63,2694,42.76,4.8,207.2
31,32,Florida Atlantic,12,72,3077,42.74,6.0,256.4
32,33,Duke,14,69,2943,42.65,4.9,210.2
33,34,Auburn,14,56,2385,42.59,4.0,170.4
34,35,Michigan State,14,76,3233,42.54,5.4,230.9
35,36,Pittsburgh,13,71,3017,42.49,5.5,232.1
36,37,New Mexico State,12,80,3386,42.33,6.7,282.2
37,38,Georgia Tech,13,45,1902,42.27,3.5,146.3
38,39,Akron,12,66,2789,42.26,5.5,232.4
39,40,Texas Tech,13,65,2741,42.17,5.0,210.8
40,41,Fresno State,13,59,2486,42.14,4.5,191.2
41,42,North Carolina State,12,68,2859,42.04,5.7,238.3
42,43,Wyoming,12,70,2933,41.90,5.8,244.4
43,44,UNLV,13,65,2719,41.83,5.0,209.2
44,45,Rice,14,82,3429,41.82,5.9,244.9
45,46,Louisiana-Lafayette,13,53,2210,41.70,4.1,170.0
46,47,UCLA,13,55,2292,41.67,4.2,176.3
47,48,Middle Tennessee,13,66,2748,41.64,5.1,211.4
48,49,Nebraska,13,71,2954,41.61,5.5,227.2
49,50,Iowa State,12,84,3493,41.58,7.0,291.1
50,51,California,12,75,3115,41.53,6.3,259.6
51,52,Navy,13,40,1657,41.43,3.1,127.5
52,53,Cincinnati,13,48,1988,41.42,3.7,152.9
53,54,Kansas State,13,48,1986,41.38,3.7,152.8
54,55,Syracuse,13,84,3474,41.36,6.5,267.2
55,56,Bowling Green,14,49,2025,41.33,3.5,144.6
56,57,Boston College,13,76,3129,41.17,5.8,240.7
57,58,Georgia,13,44,1808,41.09,3.4,139.1
58,59,Florida State,14,42,1725,41.07,3.0,123.2
59,60,Illinois,12,51,2094,41.06,4.3,174.5
60,61,LSU,13,43,1765,41.05,3.3,135.8
61,62,Missouri,14,68,2790,41.03,4.9,199.3
62,63,Oklahoma,13,67,2746,40.99,5.2,211.2
63,64,Kent State,12,59,2417,40.97,4.9,201.4
64,65,Florida,12,51,2085,40.88,4.3,173.8
65,66,Marshall,14,58,2366,40.79,4.1,169.0
66,67,Georgia State,12,82,3344,40.78,6.8,278.7
67,68,Colorado State,14,70,2854,40.77,5.0,203.9
68,69,Michigan,13,62,2527,40.76,4.8,194.4
69,70,Ball State,13,46,1872,40.70,3.5,144.0
70,71,Kentucky,12,69,2807,40.68,5.8,233.9
71,72,Rutgers,13,65,2640,40.62,5.0,203.1
72,73,Virginia,12,87,3528,40.55,7.3,294.0
73,74,Washington,13,62,2506,40.42,4.8,192.8
74,75,Boise State,13,53,2141,40.40,4.1,164.7
75,76,Arkansas State,13,64,2580,40.31,4.9,198.5
76,77,Maryland,13,76,3063,40.30,5.8,235.6
77,78,Mississippi State,13,51,2053,40.25,3.9,157.9
78,79,Louisville,13,41,1650,40.24,3.2,126.9
79,80,South Florida,12,73,2937,40.23,6.1,244.8
80,81,North Texas,13,69,2773,40.19,5.3,213.3
81,82,Texas,13,76,3053,40.17,5.8,234.8
82,83,Hawai'i,12,82,3291,40.13,6.8,274.3
83,83,Toledo,12,47,1886,40.13,3.9,157.2
84,85,South Alabama,12,53,2126,40.11,4.4,177.2
85,86,Oregon State,13,56,2243,40.05,4.3,172.5
86,87,Iowa,13,65,2598,39.97,5.0,199.8
87,88,Tulane,13,83,3316,39.95,6.4,255.1
88,89,Colorado,12,67,2673,39.90,5.6,222.8
89,90,UCF,13,43,1714,39.86,3.3,131.8
90,91,TCU,12,81,3226,39.83,6.8,268.8
91,92,Utah State,14,73,2904,39.78,5.2,207.4
92,93,BYU,13,85,3376,39.72,6.5,259.7
93,94,Wake Forest,12,86,3413,39.69,7.2,284.4
94,94,Western Michigan,12,77,3056,39.69,6.4,254.7
95,96,Southern Mississippi,12,76,3015,39.67,6.3,251.3
96,97,Arizona,13,58,2299,39.64,4.5,176.8
97,98,Clemson,13,60,2369,39.48,4.6,182.2
98,99,Notre Dame,13,52,2045,39.33,4.0,157.3
99,100,Buffalo,13,74,2908,39.30,5.7,223.7
100,101,UTSA,12,54,2117,39.20,4.5,176.4
101,102,Oregon,13,43,1681,39.09,3.3,129.3
102,103,Northern Illinois,14,53,2071,39.08,3.8,147.9
103,104,Indiana,12,54,2110,39.07,4.5,175.8
104,105,Oklahoma State,13,82,3201,39.04,6.3,246.2
105,106,San Diego State,13,57,2214,38.84,4.4,170.3
106,107,UTEP,12,67,2597,38.76,5.6,216.4
107,108,Ohio,13,65,2517,38.72,5.0,193.6
108,109,Air Force,12,49,1895,38.67,4.1,157.9
109,110,Connecticut,12,73,2820,38.63,6.1,235.0
110,111,Washington State,13,64,2471,38.61,4.9,190.1
111,112,Wisconsin,13,53,2045,38.58,4.1,157.3
112,113,Eastern Michigan,12,68,2616,38.47,5.7,218.0
113,114,Florida International,12,88,3381,38.42,7.3,281.8
114,115,Western Kentucky,12,37,1417,38.30,3.1,118.1
115,116,Tulsa,12,74,2830,38.24,6.2,235.8
116,117,Penn State,12,55,2086,37.93,4.6,173.8
117,118,SMU,12,63,2372,37.65,5.3,197.7
118,119,Louisiana Tech,12,69,2594,37.59,5.8,216.2
119,120,Arizona State,14,65,2428,37.35,4.6,173.4
120,121,Massachusetts,12,69,2572,37.28,5.8,214.3
