,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Middle Tennessee,13,24,1.85
1,2,Toledo,12,21,1.75
2,3,Baylor,13,20,1.54
3,4,Colorado State,14,18,1.29
4,5,West Virginia,12,17,1.42
5,5,Troy,12,17,1.42
6,5,Oregon,13,17,1.31
7,5,UCLA,13,17,1.31
8,5,Washington State,13,17,1.31
9,5,Houston,13,17,1.31
10,5,North Texas,13,17,1.31
11,12,Louisville,13,16,1.23
12,12,Buffalo,13,16,1.23
13,12,Mississippi,13,16,1.23
14,12,Tulane,13,16,1.23
15,16,Western Michigan,12,15,1.25
16,16,Wisconsin,13,15,1.15
17,16,Clemson,13,15,1.15
18,16,Texas Tech,13,15,1.15
19,16,Miami (Florida),13,15,1.15
20,21,Akron,12,14,1.17
21,21,Central Michigan,12,14,1.17
22,21,New Mexico,12,14,1.17
23,21,Hawai'i,12,14,1.17
24,21,Indiana,12,14,1.17
25,21,Oklahoma State,13,14,1.08
26,21,San Diego State,13,14,1.08
27,21,Boston College,13,14,1.08
28,21,Iowa,13,14,1.08
29,21,Ball State,13,14,1.08
30,21,Arizona State,14,14,1.00
31,21,Northern Illinois,14,14,1.00
32,21,Utah State,14,14,1.00
33,21,Stanford,14,14,1.00
34,21,Missouri,14,14,1.00
35,36,Virginia,12,13,1.08
36,36,Kentucky,12,13,1.08
37,36,Utah,12,13,1.08
38,36,Iowa State,12,13,1.08
39,36,SMU,12,13,1.08
40,36,South Florida,12,13,1.08
41,36,Wyoming,12,13,1.08
42,36,Oregon State,13,13,1.00
43,36,UCF,13,13,1.00
44,36,Rutgers,13,13,1.00
45,36,Vanderbilt,13,13,1.00
46,36,Kansas State,13,13,1.00
47,36,Maryland,13,13,1.00
48,36,Rice,14,13,0.93
49,50,North Carolina State,12,12,1.00
50,50,TCU,12,12,1.00
51,50,Colorado,12,12,1.00
52,50,Penn State,12,12,1.00
53,50,Alabama,13,12,0.92
54,50,UNLV,13,12,0.92
55,50,Navy,13,12,0.92
56,50,Mississippi State,13,12,0.92
57,50,Louisiana-Lafayette,13,12,0.92
58,50,Texas,13,12,0.92
59,50,Arkansas State,13,12,0.92
60,50,Florida State,14,12,0.86
61,50,Ohio State,14,12,0.86
62,63,Connecticut,12,11,0.92
63,63,Air Force,12,11,0.92
64,63,Kansas,12,11,0.92
65,63,Southern Mississippi,12,11,0.92
66,63,Western Kentucky,12,11,0.92
67,63,Washington,13,11,0.85
68,63,Boise State,13,11,0.85
69,63,Minnesota,13,11,0.85
70,63,Georgia Tech,13,11,0.85
71,63,Cincinnati,13,11,0.85
72,63,Bowling Green,14,11,0.79
73,63,Auburn,14,11,0.79
74,75,Massachusetts,12,10,0.83
75,75,Florida International,12,10,0.83
76,75,Wake Forest,12,10,0.83
77,75,Army,12,10,0.83
78,75,Illinois,12,10,0.83
79,75,South Carolina,13,10,0.77
80,75,Fresno State,13,10,0.77
81,75,Nebraska,13,10,0.77
82,75,Syracuse,13,10,0.77
83,75,Pittsburgh,13,10,0.77
84,75,Georgia,13,10,0.77
85,75,Duke,14,10,0.71
86,75,Michigan State,14,10,0.71
87,88,Louisiana Tech,12,9,0.75
88,88,UAB,12,9,0.75
89,88,South Alabama,12,9,0.75
90,88,California,12,9,0.75
91,88,Temple,12,9,0.75
92,88,Tulsa,12,9,0.75
93,88,UTEP,12,9,0.75
94,88,Georgia State,12,9,0.75
95,88,LSU,13,9,0.69
96,88,Arizona,13,9,0.69
97,88,Ohio,13,9,0.69
98,88,North Carolina,13,9,0.69
99,88,BYU,13,9,0.69
100,88,Marshall,14,9,0.64
101,102,New Mexico State,12,8,0.67
102,102,Northwestern,12,8,0.67
103,102,Tennessee,12,8,0.67
104,102,Miami (Ohio),12,8,0.67
105,102,Arkansas,12,8,0.67
106,102,East Carolina,13,8,0.62
107,102,Virginia Tech,13,8,0.62
108,102,Texas A&M,13,8,0.62
109,102,Michigan,13,8,0.62
110,102,USC,14,8,0.57
111,112,Florida,12,7,0.58
112,112,Nevada,12,7,0.58
113,112,Idaho,12,7,0.58
114,112,UTSA,12,7,0.58
115,112,Oklahoma,13,7,0.54
116,117,Memphis,12,6,0.50
117,117,Florida Atlantic,12,6,0.50
118,117,Eastern Michigan,12,6,0.50
119,117,Purdue,12,6,0.50
120,117,Louisiana-Monroe,12,6,0.50
121,117,Notre Dame,13,6,0.46
122,123,Kent State,12,5,0.42
123,123,Texas State,12,5,0.42
124,125,San Jose State,12,2,0.17
